Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1375,0.1681,0.1461,0.06498,0.03867,0.04995,0.03706,0.02685,0.02578,0.03652,0.03706,0.03169,0.07895,0.1455,0.1106,0.02900,0.04941,0.04619
0.1375, 1.000,0.04458,0.06391,0.08110,0.1182,0.1923,0.02256,0.03222,0.03008,0.02470,0.04565,0.03491,0.1020,0.1429,0.06230,0.03115,0.05639,0.06015
0.1681,0.04458, 1.000,0.06498,0.03222,0.02041,0.02256,0.1053,0.02256,0.02095,0.06069,0.02041,0.02846,0.02578,0.06391,0.1015,0.03008,0.03061,0.04780
0.1461,0.06391,0.06498, 1.000,0.2299,0.05693,0.03061,0.03598,0.02900,0.02846,0.03115,0.03383,0.03759,0.04350,0.04028,0.04941,0.03974,0.06122,0.07143
0.06498,0.08110,0.03222,0.2299, 1.000,0.1606,0.03008,0.02524,0.02685,0.04028,0.03061,0.03169,0.04780,0.04834,0.02846,0.02900,0.03921,0.07626,0.07411
0.03867,0.1182,0.02041,0.05693,0.1606, 1.000,0.07787,0.02793,0.02202,0.03545,0.04135,0.03276,0.04619,0.05961,0.04511,0.02793,0.03169,0.06982,0.05424
0.04995,0.1923,0.02256,0.03061,0.03008,0.07787, 1.000,0.02148,0.04941,0.01504,0.02417,0.09023,0.03491,0.07573,0.06230,0.02846,0.02309,0.06498,0.03598
0.03706,0.02256,0.1053,0.03598,0.02524,0.02793,0.02148, 1.000,0.04189,0.02793,0.07411,0.02041,0.1058,0.03222,0.03921,0.04834,0.03813,0.02739,0.03115
0.02685,0.03222,0.02256,0.02900,0.02685,0.02202,0.04941,0.04189, 1.000,0.05800,0.02632,0.06767,0.03115,0.04565,0.02793,0.02739,0.07895,0.03491,0.05424
0.02578,0.03008,0.02095,0.02846,0.04028,0.03545,0.01504,0.02793,0.05800, 1.000,0.04726,0.03008,0.03867,0.01880,0.02202,0.02632,0.02793,0.03652,0.03169
0.03652,0.02470,0.06069,0.03115,0.03061,0.04135,0.02417,0.07411,0.02632,0.04726, 1.000,0.01504,0.05209,0.02900,0.02954,0.05693,0.02793,0.03706,0.03061
0.03706,0.04565,0.02041,0.03383,0.03169,0.03276,0.09023,0.02041,0.06767,0.03008,0.01504, 1.000,0.03330,0.05156,0.03383,0.02578,0.04189,0.03169,0.02417
0.03169,0.03491,0.02846,0.03759,0.04780,0.04619,0.03491,0.1058,0.03115,0.03867,0.05209,0.03330, 1.000,0.09721,0.03545,0.02148,0.02095,0.09882,0.02202
0.07895,0.1020,0.02578,0.04350,0.04834,0.05961,0.07573,0.03222,0.04565,0.01880,0.02900,0.05156,0.09721, 1.000,0.08217,0.02256,0.01933,0.07680,0.02578
0.1455,0.1429,0.06391,0.04028,0.02846,0.04511,0.06230,0.03921,0.02793,0.02202,0.02954,0.03383,0.03545,0.08217, 1.000,0.07250,0.03008,0.03921,0.03437
0.1106,0.06230,0.1015,0.04941,0.02900,0.02793,0.02846,0.04834,0.02739,0.02632,0.05693,0.02578,0.02148,0.02256,0.07250, 1.000,0.06015,0.02632,0.06284
0.02900,0.03115,0.03008,0.03974,0.03921,0.03169,0.02309,0.03813,0.07895,0.02793,0.02793,0.04189,0.02095,0.01933,0.03008,0.06015, 1.000,0.02954,0.08861
0.04941,0.05639,0.03061,0.06122,0.07626,0.06982,0.06498,0.02739,0.03491,0.03652,0.03706,0.03169,0.09882,0.07680,0.03921,0.02632,0.02954, 1.000,0.05800
0.04619,0.06015,0.04780,0.07143,0.07411,0.05424,0.03598,0.03115,0.05424,0.03169,0.03061,0.02417,0.02202,0.02578,0.03437,0.06284,0.08861,0.05800, 1.000
