Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1213,0.1779,0.1634,0.05414,0.03258,0.03559,0.04261,0.02206,0.02406,0.02256,0.02556,0.02657,0.07218,0.1779,0.1133,0.02757,0.04912,0.04411
0.1213, 1.000,0.02857,0.04411,0.04912,0.1278,0.2622,0.02657,0.03659,0.02657,0.02456,0.04261,0.03559,0.1153,0.1363,0.06717,0.03208,0.05564,0.03960
0.1779,0.02857, 1.000,0.06967,0.02005,0.02406,0.01955,0.1273,0.02356,0.02206,0.04962,0.01855,0.02406,0.03008,0.07419,0.08170,0.02807,0.03308,0.02907
0.1634,0.04411,0.06967, 1.000,0.2140,0.02907,0.01955,0.02506,0.01905,0.03108,0.01554,0.02055,0.03358,0.04712,0.05614,0.05664,0.02757,0.04712,0.06065
0.05414,0.04912,0.02005,0.2140, 1.000,0.1138,0.02155,0.02657,0.02657,0.04261,0.02306,0.02456,0.05363,0.04662,0.04010,0.04261,0.04110,0.05764,0.07168
0.03258,0.1278,0.02406,0.02907,0.1138, 1.000,0.08872,0.03709,0.02055,0.01805,0.02957,0.02356,0.04912,0.04461,0.03960,0.03659,0.02957,0.05664,0.05263
0.03559,0.2622,0.01955,0.01955,0.02155,0.08872, 1.000,0.02556,0.04561,0.02256,0.02657,0.09774,0.04010,0.06316,0.05764,0.02957,0.01905,0.04662,0.02506
0.04261,0.02657,0.1273,0.02506,0.02657,0.03709,0.02556, 1.000,0.03308,0.02657,0.07820,0.02356,0.1268,0.03358,0.04511,0.05514,0.03609,0.01855,0.02456
0.02206,0.03659,0.02356,0.01905,0.02657,0.02055,0.04561,0.03308, 1.000,0.06266,0.02356,0.06617,0.03409,0.05063,0.03308,0.02607,0.08070,0.02206,0.05313
0.02406,0.02657,0.02206,0.03108,0.04261,0.01805,0.02256,0.02657,0.06266, 1.000,0.04361,0.02957,0.03058,0.01654,0.03058,0.02105,0.03509,0.03358,0.03509
0.02256,0.02456,0.04962,0.01554,0.02306,0.02957,0.02657,0.07820,0.02356,0.04361, 1.000,0.02807,0.05965,0.02807,0.02306,0.04211,0.02005,0.03910,0.02306
0.02556,0.04261,0.01855,0.02055,0.02456,0.02356,0.09774,0.02356,0.06617,0.02957,0.02807, 1.000,0.03810,0.04862,0.02907,0.02055,0.03358,0.03659,0.02155
0.02657,0.03559,0.02406,0.03358,0.05363,0.04912,0.04010,0.1268,0.03409,0.03058,0.05965,0.03810, 1.000,0.08321,0.02957,0.03559,0.03008,0.1123,0.03108
0.07218,0.1153,0.03008,0.04712,0.04662,0.04461,0.06316,0.03358,0.05063,0.01654,0.02807,0.04862,0.08321, 1.000,0.07970,0.02857,0.02206,0.08371,0.03008
0.1779,0.1363,0.07419,0.05614,0.04010,0.03960,0.05764,0.04511,0.03308,0.03058,0.02306,0.02907,0.02957,0.07970, 1.000,0.09474,0.02757,0.04612,0.04561
0.1133,0.06717,0.08170,0.05664,0.04261,0.03659,0.02957,0.05514,0.02607,0.02105,0.04211,0.02055,0.03559,0.02857,0.09474, 1.000,0.07769,0.03358,0.07268
0.02757,0.03208,0.02807,0.02757,0.04110,0.02957,0.01905,0.03609,0.08070,0.03509,0.02005,0.03358,0.03008,0.02206,0.02757,0.07769, 1.000,0.01654,0.1003
0.04912,0.05564,0.03308,0.04712,0.05764,0.05664,0.04662,0.01855,0.02206,0.03358,0.03910,0.03659,0.1123,0.08371,0.04612,0.03358,0.01654, 1.000,0.05564
0.04411,0.03960,0.02907,0.06065,0.07168,0.05263,0.02506,0.02456,0.05313,0.03509,0.02306,0.02155,0.03108,0.03008,0.04561,0.07268,0.1003,0.05564, 1.000
