Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4216,0.4995,0.3510,0.2548,0.3486,0.07732,0.03044,0.02557,0.02466,0.02070,0.02344,0.04140,0.06514,0.09619,0.09498,0.04536,0.07184,0.06849
0.4216, 1.000,0.2575,0.1766,0.1242,0.2524,0.1205,0.02892,0.02100,0.02466,0.02131,0.02161,0.03805,0.08097,0.08858,0.06271,0.03135,0.06088,0.05419
0.4995,0.2575, 1.000,0.2289,0.1565,0.1924,0.07397,0.04262,0.02648,0.02070,0.02192,0.02374,0.03318,0.05875,0.1318,0.1428,0.05145,0.05967,0.06393
0.3510,0.1766,0.2289, 1.000,0.3960,0.2822,0.03683,0.02953,0.02983,0.02435,0.01826,0.02374,0.03957,0.03531,0.04901,0.07275,0.04901,0.06636,0.07549
0.2548,0.1242,0.1565,0.3960, 1.000,0.3903,0.03501,0.02648,0.02922,0.03409,0.01826,0.02344,0.05175,0.04201,0.04110,0.05693,0.05053,0.08402,0.1035
0.3486,0.2524,0.1924,0.2822,0.3903, 1.000,0.06667,0.02435,0.02709,0.02161,0.02344,0.02192,0.06088,0.08158,0.05814,0.04688,0.03135,0.1050,0.09285
0.07732,0.1205,0.07397,0.03683,0.03501,0.06667, 1.000,0.02405,0.02588,0.02131,0.02344,0.1047,0.03318,0.08767,0.07093,0.04079,0.02161,0.04566,0.03623
0.03044,0.02892,0.04262,0.02953,0.02648,0.02435,0.02405, 1.000,0.03044,0.02466,0.03014,0.01766,0.04018,0.02618,0.04079,0.1029,0.04658,0.02192,0.03470
0.02557,0.02100,0.02648,0.02983,0.02922,0.02709,0.02588,0.03044, 1.000,0.03044,0.02161,0.04018,0.02070,0.03470,0.02161,0.03135,0.04627,0.02070,0.03714
0.02466,0.02466,0.02070,0.02435,0.03409,0.02161,0.02131,0.02466,0.03044, 1.000,0.03227,0.02496,0.02801,0.02070,0.02709,0.02070,0.02831,0.02527,0.03501
0.02070,0.02131,0.02192,0.01826,0.01826,0.02344,0.02344,0.03014,0.02161,0.03227, 1.000,0.02344,0.04475,0.02405,0.02192,0.02983,0.02435,0.03135,0.02192
0.02344,0.02161,0.02374,0.02374,0.02344,0.02192,0.1047,0.01766,0.04018,0.02496,0.02344, 1.000,0.02588,0.03896,0.02953,0.02283,0.02740,0.03044,0.02618
0.04140,0.03805,0.03318,0.03957,0.05175,0.06088,0.03318,0.04018,0.02070,0.02801,0.04475,0.02588, 1.000,0.07397,0.02344,0.02557,0.02740,0.1099,0.02405
0.06514,0.08097,0.05875,0.03531,0.04201,0.08158,0.08767,0.02618,0.03470,0.02070,0.02405,0.03896,0.07397, 1.000,0.06454,0.02435,0.02100,0.07763,0.02557
0.09619,0.08858,0.1318,0.04901,0.04110,0.05814,0.07093,0.04079,0.02161,0.02709,0.02192,0.02953,0.02344,0.06454, 1.000,0.06088,0.02192,0.02770,0.03196
0.09498,0.06271,0.1428,0.07275,0.05693,0.04688,0.04079,0.1029,0.03135,0.02070,0.02983,0.02283,0.02557,0.02435,0.06088, 1.000,0.07367,0.02283,0.07367
0.04536,0.03135,0.05145,0.04901,0.05053,0.03135,0.02161,0.04658,0.04627,0.02831,0.02435,0.02740,0.02740,0.02100,0.02192,0.07367, 1.000,0.02040,0.09072
0.07184,0.06088,0.05967,0.06636,0.08402,0.1050,0.04566,0.02192,0.02070,0.02527,0.03135,0.03044,0.1099,0.07763,0.02770,0.02283,0.02040, 1.000,0.05205
0.06849,0.05419,0.06393,0.07549,0.1035,0.09285,0.03623,0.03470,0.03714,0.03501,0.02192,0.02618,0.02405,0.02557,0.03196,0.07367,0.09072,0.05205, 1.000
