Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2939,0.2179,0.3107,0.1528,0.1239,0.07384,0.02562,0.02562,0.02562,0.02622,0.02592,0.04039,0.06962,0.08981,0.1242,0.04702,0.07746,0.08258
0.2939, 1.000,0.08198,0.1386,0.1615,0.2649,0.2110,0.01929,0.02471,0.02471,0.01899,0.02954,0.05787,0.1341,0.09885,0.08379,0.04250,0.1100,0.07896
0.2179,0.08198, 1.000,0.1269,0.04792,0.03617,0.04129,0.06269,0.02712,0.02200,0.03104,0.01718,0.02291,0.04310,0.08469,0.1190,0.04189,0.03345,0.06420
0.3107,0.1386,0.1269, 1.000,0.2486,0.1046,0.04340,0.02893,0.03828,0.02863,0.02321,0.02622,0.03737,0.03677,0.05726,0.1206,0.06118,0.06811,0.1218
0.1528,0.1615,0.04792,0.2486, 1.000,0.2327,0.04762,0.02291,0.03707,0.05847,0.03044,0.02652,0.06811,0.05877,0.04792,0.06902,0.06239,0.09584,0.1067
0.1239,0.2649,0.03617,0.1046,0.2327, 1.000,0.1193,0.01869,0.03315,0.03406,0.03526,0.03044,0.08590,0.09885,0.05636,0.04039,0.04491,0.1426,0.08891
0.07384,0.2110,0.04129,0.04340,0.04762,0.1193, 1.000,0.02230,0.03165,0.02502,0.02471,0.07052,0.06721,0.1534,0.09132,0.04189,0.02833,0.08620,0.04008
0.02562,0.01929,0.06269,0.02893,0.02291,0.01869,0.02230, 1.000,0.03918,0.02019,0.06389,0.01778,0.03797,0.02019,0.03888,0.06510,0.02954,0.02260,0.03376
0.02562,0.02471,0.02712,0.03828,0.03707,0.03315,0.03165,0.03918, 1.000,0.05184,0.02140,0.06420,0.02984,0.03707,0.01838,0.04008,0.08077,0.02291,0.04581
0.02562,0.02471,0.02200,0.02863,0.05847,0.03406,0.02502,0.02019,0.05184, 1.000,0.04973,0.02923,0.04250,0.02170,0.02562,0.01959,0.04400,0.03074,0.03104
0.02622,0.01899,0.03104,0.02321,0.03044,0.03526,0.02471,0.06389,0.02140,0.04973, 1.000,0.03104,0.05184,0.01989,0.02502,0.03315,0.02230,0.04039,0.02260
0.02592,0.02954,0.01718,0.02622,0.02652,0.03044,0.07052,0.01778,0.06420,0.02923,0.03104, 1.000,0.03345,0.06721,0.04189,0.02622,0.05877,0.03165,0.02140
0.04039,0.05787,0.02291,0.03737,0.06811,0.08590,0.06721,0.03797,0.02984,0.04250,0.05184,0.03345, 1.000,0.08981,0.02863,0.02471,0.02954,0.1404,0.03195
0.06962,0.1341,0.04310,0.03677,0.05877,0.09885,0.1534,0.02019,0.03707,0.02170,0.01989,0.06721,0.08981, 1.000,0.1145,0.03315,0.02712,0.1163,0.02803
0.08981,0.09885,0.08469,0.05726,0.04792,0.05636,0.09132,0.03888,0.01838,0.02562,0.02502,0.04189,0.02863,0.1145, 1.000,0.07173,0.02441,0.04430,0.04461
0.1242,0.08379,0.1190,0.1206,0.06902,0.04039,0.04189,0.06510,0.04008,0.01959,0.03315,0.02622,0.02471,0.03315,0.07173, 1.000,0.08921,0.02954,0.1082
0.04702,0.04250,0.04189,0.06118,0.06239,0.04491,0.02833,0.02954,0.08077,0.04400,0.02230,0.05877,0.02954,0.02712,0.02441,0.08921, 1.000,0.02502,0.09313
0.07746,0.1100,0.03345,0.06811,0.09584,0.1426,0.08620,0.02260,0.02291,0.03074,0.04039,0.03165,0.1404,0.1163,0.04430,0.02954,0.02502, 1.000,0.06600
0.08258,0.07896,0.06420,0.1218,0.1067,0.08891,0.04008,0.03376,0.04581,0.03104,0.02260,0.02140,0.03195,0.02803,0.04461,0.1082,0.09313,0.06600, 1.000
