Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2413,0.1111,0.03175,0.04127,0.1206,0.1016,0.009524,0.04444,0.05714,0.05079,0.02540,0.04444,0.1333,0.06984,0.1429,0.08254,0.06984,0.09524
0.2413, 1.000,0.07937,0.02857,0.06667,0.1079,0.4095,0.02857,0.1206,0.08571,0.03492,0.03810,0.08889,0.1460,0.09841,0.1143,0.03810,0.05079,0.03810
0.1111,0.07937, 1.000,0.2032,0.04762,0.04762,0.07302,0.08254,0.03810,0.04127,0.03492,0.01905,0.02540,0.07619,0.09524,0.2222,0.07619,0.05079,0.09206
0.03175,0.02857,0.2032, 1.000,0.09524,0.04762,0.04127,0.03810,0.06984,0.05714,0.03175,0.06349,0.03492,0.05714,0.03175,0.03810,0.09206,0.04444,0.1048
0.04127,0.06667,0.04762,0.09524, 1.000,0.07937,0.08254,0.01905,0.06349,0.08571,0.01587,0.04444,0.1397,0.1302,0.04444,0.06032,0.05714,0.09206,0.1302
0.1206,0.1079,0.04762,0.04762,0.07937, 1.000,0.1810,0.03175,0.06032,0.01905,0.01587,0.04444,0.1397,0.2063,0.06032,0.06032,0.07302,0.1048,0.04762
0.1016,0.4095,0.07302,0.04127,0.08254,0.1810, 1.000,0.03492,0.1714,0.06349,0.009524,0.1206,0.07937,0.2286,0.2159,0.09841,0.02857,0.03492,0.06349
0.009524,0.02857,0.08254,0.03810,0.01905,0.03175,0.03492, 1.000,0.04127,0.02540,0.05079,0.01270,0.03175,0.02540,0.01270,0.02857,0.03175,0.02540,0.02857
0.04444,0.1206,0.03810,0.06984,0.06349,0.06032,0.1714,0.04127, 1.000,0.07302,0.04444,0.09524,0.04127,0.08889,0.06032,0.04127,0.03492,0.01905,0.05079
0.05714,0.08571,0.04127,0.05714,0.08571,0.01905,0.06349,0.02540,0.07302, 1.000,0.08889,0.04762,0.03810,0.02222,0.02540,0.05397,0.06667,0.04444,0.05714
0.05079,0.03492,0.03492,0.03175,0.01587,0.01587,0.009524,0.05079,0.04444,0.08889, 1.000,0.02222,0.05714,0.01905,0.02222,0.02222,0.02222,0.04127,0.02857
0.02540,0.03810,0.01905,0.06349,0.04444,0.04444,0.1206,0.01270,0.09524,0.04762,0.02222, 1.000,0.05397,0.1079,0.07619,0.02857,0.05714,0.05079,0.01905
0.04444,0.08889,0.02540,0.03492,0.1397,0.1397,0.07937,0.03175,0.04127,0.03810,0.05714,0.05397, 1.000,0.1683,0.03810,0.02540,0.04762,0.2286,0.06667
0.1333,0.1460,0.07619,0.05714,0.1302,0.2063,0.2286,0.02540,0.08889,0.02222,0.01905,0.1079,0.1683, 1.000,0.1556,0.01905,0.01587,0.1048,0.04762
0.06984,0.09841,0.09524,0.03175,0.04444,0.06032,0.2159,0.01270,0.06032,0.02540,0.02222,0.07619,0.03810,0.1556, 1.000,0.1683,0.02540,0.04444,0.06667
0.1429,0.1143,0.2222,0.03810,0.06032,0.06032,0.09841,0.02857,0.04127,0.05397,0.02222,0.02857,0.02540,0.01905,0.1683, 1.000,0.1079,0.02540,0.09524
0.08254,0.03810,0.07619,0.09206,0.05714,0.07302,0.02857,0.03175,0.03492,0.06667,0.02222,0.05714,0.04762,0.01587,0.02540,0.1079, 1.000,0.06032,0.1302
0.06984,0.05079,0.05079,0.04444,0.09206,0.1048,0.03492,0.02540,0.01905,0.04444,0.04127,0.05079,0.2286,0.1048,0.04444,0.02540,0.06032, 1.000,0.2032
0.09524,0.03810,0.09206,0.1048,0.1302,0.04762,0.06349,0.02857,0.05079,0.05714,0.02857,0.01905,0.06667,0.04762,0.06667,0.09524,0.1302,0.2032, 1.000
