Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03955,0.05706,0.2390,0.03220,0.02655,0.02034,0.02655,0.02373,0.02486,0.02203,0.04068,0.02147,0.02938,0.03898,0.03729,0.02768,0.03107,0.04124
0.03955, 1.000,0.02147,0.02825,0.09322,0.07627,0.02881,0.02599,0.01017,0.02260,0.02655,0.01130,0.03051,0.04181,0.02542,0.02994,0.02655,0.03785,0.03051
0.05706,0.02147, 1.000,0.1294,0.02034,0.02373,0.02260,0.02599,0.02542,0.01977,0.02429,0.04124,0.01525,0.02825,0.03277,0.02825,0.02655,0.02542,0.02316
0.2390,0.02825,0.1294, 1.000,0.02938,0.01921,0.02090,0.03277,0.02486,0.02203,0.02655,0.04407,0.02429,0.03107,0.02881,0.03220,0.02429,0.02994,0.03107
0.03220,0.09322,0.02034,0.02938, 1.000,0.1085,0.02090,0.03220,0.01695,0.04294,0.02203,0.02373,0.03559,0.02486,0.02542,0.02938,0.02994,0.03051,0.03107
0.02655,0.07627,0.02373,0.01921,0.1085, 1.000,0.04463,0.02203,0.01977,0.02373,0.02486,0.01921,0.03220,0.03390,0.03051,0.03672,0.02429,0.02994,0.03955
0.02034,0.02881,0.02260,0.02090,0.02090,0.04463, 1.000,0.02260,0.03616,0.02373,0.02090,0.04689,0.04068,0.02599,0.02147,0.01751,0.02260,0.01977,0.02881
0.02655,0.02599,0.02599,0.03277,0.03220,0.02203,0.02260, 1.000,0.01751,0.02486,0.03390,0.02203,0.1384,0.02599,0.02486,0.02994,0.02486,0.02260,0.02655
0.02373,0.01017,0.02542,0.02486,0.01695,0.01977,0.03616,0.01751, 1.000,0.02938,0.01977,0.03616,0.02260,0.02316,0.01977,0.02825,0.03220,0.02034,0.03220
0.02486,0.02260,0.01977,0.02203,0.04294,0.02373,0.02373,0.02486,0.02938, 1.000,0.03051,0.02542,0.02316,0.02203,0.02034,0.02373,0.02090,0.01864,0.01695
0.02203,0.02655,0.02429,0.02655,0.02203,0.02486,0.02090,0.03390,0.01977,0.03051, 1.000,0.02994,0.03503,0.02090,0.01808,0.03898,0.02429,0.02542,0.02147
0.04068,0.01130,0.04124,0.04407,0.02373,0.01921,0.04689,0.02203,0.03616,0.02542,0.02994, 1.000,0.02768,0.03051,0.01864,0.02090,0.06441,0.01864,0.01582
0.02147,0.03051,0.01525,0.02429,0.03559,0.03220,0.04068,0.1384,0.02260,0.02316,0.03503,0.02768, 1.000,0.03729,0.01808,0.02147,0.02316,0.04294,0.02486
0.02938,0.04181,0.02825,0.03107,0.02486,0.03390,0.02599,0.02599,0.02316,0.02203,0.02090,0.03051,0.03729, 1.000,0.04520,0.02429,0.02316,0.06045,0.01751
0.03898,0.02542,0.03277,0.02881,0.02542,0.03051,0.02147,0.02486,0.01977,0.02034,0.01808,0.01864,0.01808,0.04520, 1.000,0.06384,0.02260,0.03842,0.03898
0.03729,0.02994,0.02825,0.03220,0.02938,0.03672,0.01751,0.02994,0.02825,0.02373,0.03898,0.02090,0.02147,0.02429,0.06384, 1.000,0.05819,0.01695,0.05819
0.02768,0.02655,0.02655,0.02429,0.02994,0.02429,0.02260,0.02486,0.03220,0.02090,0.02429,0.06441,0.02316,0.02316,0.02260,0.05819, 1.000,0.02147,0.04181
0.03107,0.03785,0.02542,0.02994,0.03051,0.02994,0.01977,0.02260,0.02034,0.01864,0.02542,0.01864,0.04294,0.06045,0.03842,0.01695,0.02147, 1.000,0.03785
0.04124,0.03051,0.02316,0.03107,0.03107,0.03955,0.02881,0.02655,0.03220,0.01695,0.02147,0.01582,0.02486,0.01751,0.03898,0.05819,0.04181,0.03785, 1.000
