Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1426,0.1541,0.2911,0.1733,0.06695,0.04332,0.03094,0.02278,0.03516,0.02644,0.02588,0.03488,0.06357,0.1198,0.1030,0.05570,0.05851,0.08298
0.1426, 1.000,0.05091,0.07314,0.1609,0.2079,0.2315,0.02307,0.02307,0.02560,0.02138,0.02813,0.05710,0.09648,0.1257,0.08186,0.04023,0.08636,0.09058
0.1541,0.05091, 1.000,0.1114,0.04023,0.02897,0.02700,0.06104,0.02194,0.02869,0.03572,0.02391,0.02138,0.02841,0.07229,0.07229,0.03826,0.03572,0.05345
0.2911,0.07314,0.1114, 1.000,0.1547,0.04107,0.02644,0.02532,0.03094,0.03460,0.02757,0.03291,0.03122,0.04023,0.07060,0.09395,0.07314,0.05373,0.07792
0.1733,0.1609,0.04023,0.1547, 1.000,0.1367,0.04951,0.02616,0.02672,0.04444,0.02053,0.02560,0.06582,0.06132,0.06639,0.07173,0.06779,0.09255,0.1066
0.06695,0.2079,0.02897,0.04107,0.1367, 1.000,0.1789,0.02925,0.02082,0.02532,0.03179,0.02757,0.08411,0.07511,0.06048,0.03966,0.03629,0.09367,0.07567
0.04332,0.2315,0.02700,0.02644,0.04951,0.1789, 1.000,0.02335,0.03038,0.02925,0.02897,0.05204,0.05541,0.09198,0.07511,0.03910,0.02700,0.08073,0.05823
0.03094,0.02307,0.06104,0.02532,0.02616,0.02925,0.02335, 1.000,0.04219,0.03516,0.05316,0.02560,0.04979,0.02560,0.02757,0.04669,0.03122,0.02194,0.03488
0.02278,0.02307,0.02194,0.03094,0.02672,0.02082,0.03038,0.04219, 1.000,0.03826,0.02841,0.05795,0.02785,0.04107,0.02475,0.03207,0.04360,0.02504,0.03347
0.03516,0.02560,0.02869,0.03460,0.04444,0.02532,0.02925,0.03516,0.03826, 1.000,0.03910,0.02897,0.03544,0.02504,0.02672,0.02925,0.03404,0.03601,0.04023
0.02644,0.02138,0.03572,0.02757,0.02053,0.03179,0.02897,0.05316,0.02841,0.03910, 1.000,0.07370,0.03994,0.02363,0.02110,0.04332,0.02419,0.03122,0.02504
0.02588,0.02813,0.02391,0.03291,0.02560,0.02757,0.05204,0.02560,0.05795,0.02897,0.07370, 1.000,0.03966,0.05710,0.02616,0.02982,0.05204,0.02982,0.02250
0.03488,0.05710,0.02138,0.03122,0.06582,0.08411,0.05541,0.04979,0.02785,0.03544,0.03994,0.03966, 1.000,0.1105,0.02869,0.02025,0.02475,0.1541,0.03910
0.06357,0.09648,0.02841,0.04023,0.06132,0.07511,0.09198,0.02560,0.04107,0.02504,0.02363,0.05710,0.1105, 1.000,0.08439,0.02250,0.02250,0.08805,0.02729
0.1198,0.1257,0.07229,0.07060,0.06639,0.06048,0.07511,0.02757,0.02475,0.02672,0.02110,0.02616,0.02869,0.08439, 1.000,0.09395,0.03713,0.06048,0.05682
0.1030,0.08186,0.07229,0.09395,0.07173,0.03966,0.03910,0.04669,0.03207,0.02925,0.04332,0.02982,0.02025,0.02250,0.09395, 1.000,0.1013,0.03263,0.07820
0.05570,0.04023,0.03826,0.07314,0.06779,0.03629,0.02700,0.03122,0.04360,0.03404,0.02419,0.05204,0.02475,0.02250,0.03713,0.1013, 1.000,0.03601,0.1302
0.05851,0.08636,0.03572,0.05373,0.09255,0.09367,0.08073,0.02194,0.02504,0.03601,0.03122,0.02982,0.1541,0.08805,0.06048,0.03263,0.03601, 1.000,0.1058
0.08298,0.09058,0.05345,0.07792,0.1066,0.07567,0.05823,0.03488,0.03347,0.04023,0.02504,0.02250,0.03910,0.02729,0.05682,0.07820,0.1302,0.1058, 1.000
