Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.08507,0.1447,0.1389,0.1518,0.07035,0.02477,0.02513,0.02584,0.02405,0.02118,0.02513,0.1077,0.08471,0.1353,0.1019,0.03410,0.2854,0.1059
0.08507, 1.000,0.02907,0.02836,0.05851,0.1009,0.03877,0.01902,0.02800,0.02297,0.02764,0.02656,0.06425,0.1263,0.1005,0.03446,0.02010,0.06533,0.03841
0.1447,0.02907, 1.000,0.1626,0.05922,0.02513,0.03482,0.07251,0.06174,0.03302,0.03230,0.02872,0.02943,0.02764,0.06712,0.1263,0.04451,0.1515,0.1084
0.1389,0.02836,0.1626, 1.000,0.2599,0.03302,0.02943,0.03230,0.05815,0.05384,0.01938,0.04235,0.03912,0.02405,0.03482,0.1195,0.1059,0.05528,0.1454
0.1518,0.05851,0.05922,0.2599, 1.000,0.08507,0.01866,0.01508,0.02872,0.04702,0.02154,0.02907,0.06533,0.03051,0.02692,0.07681,0.08830,0.04307,0.1098
0.07035,0.1009,0.02513,0.03302,0.08507, 1.000,0.02943,0.02620,0.02010,0.02513,0.05384,0.02225,0.1256,0.07968,0.03553,0.03769,0.02728,0.04451,0.04128
0.02477,0.03877,0.03482,0.02943,0.01866,0.02943, 1.000,0.02764,0.1421,0.05599,0.03877,0.1357,0.02333,0.06389,0.04738,0.02405,0.06963,0.02548,0.02118
0.02513,0.01902,0.07251,0.03230,0.01508,0.02620,0.02764, 1.000,0.04774,0.01795,0.1231,0.02441,0.02513,0.01615,0.02620,0.06030,0.02046,0.02728,0.03948
0.02584,0.02800,0.06174,0.05815,0.02872,0.02010,0.1421,0.04774, 1.000,0.09117,0.05851,0.1360,0.02333,0.05528,0.03123,0.03984,0.1206,0.02369,0.04271
0.02405,0.02297,0.03302,0.05384,0.04702,0.02513,0.05599,0.01795,0.09117, 1.000,0.02728,0.09691,0.03877,0.02584,0.02584,0.03195,0.1866,0.02548,0.04056
0.02118,0.02764,0.03230,0.01938,0.02154,0.05384,0.03877,0.1231,0.05851,0.02728, 1.000,0.04020,0.07753,0.05887,0.02261,0.03446,0.02872,0.02154,0.02548
0.02513,0.02656,0.02872,0.04235,0.02907,0.02225,0.1357,0.02441,0.1360,0.09691,0.04020, 1.000,0.02010,0.05599,0.06066,0.02943,0.2308,0.02943,0.02872
0.1077,0.06425,0.02943,0.03912,0.06533,0.1256,0.02333,0.02513,0.02333,0.03877,0.07753,0.02010, 1.000,0.1202,0.05671,0.02836,0.02405,0.08040,0.03087
0.08471,0.1263,0.02764,0.02405,0.03051,0.07968,0.06389,0.01615,0.05528,0.02584,0.05887,0.05599,0.1202, 1.000,0.1662,0.03051,0.02728,0.1098,0.02943
0.1353,0.1005,0.06712,0.03482,0.02692,0.03553,0.04738,0.02620,0.03123,0.02584,0.02261,0.06066,0.05671,0.1662, 1.000,0.05348,0.02656,0.3112,0.04989
0.1019,0.03446,0.1263,0.1195,0.07681,0.03769,0.02405,0.06030,0.03984,0.03195,0.03446,0.02943,0.02836,0.03051,0.05348, 1.000,0.04056,0.06963,0.5402
0.03410,0.02010,0.04451,0.1059,0.08830,0.02728,0.06963,0.02046,0.1206,0.1866,0.02872,0.2308,0.02405,0.02728,0.02656,0.04056, 1.000,0.02261,0.04738
0.2854,0.06533,0.1515,0.05528,0.04307,0.04451,0.02548,0.02728,0.02369,0.02548,0.02154,0.02943,0.08040,0.1098,0.3112,0.06963,0.02261, 1.000,0.07215
0.1059,0.03841,0.1084,0.1454,0.1098,0.04128,0.02118,0.03948,0.04271,0.04056,0.02548,0.02872,0.03087,0.02943,0.04989,0.5402,0.04738,0.07215, 1.000
