Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1687,0.2052,0.04696,0.03304,0.06783,0.06261,0.04174,0.04174,0.04000,0.05391,0.03478,0.01565,0.05565,0.1043,0.1148,0.05565,0.04348,0.03478
0.1687, 1.000,0.06957,0.03652,0.07478,0.1374,0.2557,0.03652,0.06261,0.06261,0.04348,0.09217,0.02261,0.1009,0.1304,0.05565,0.08870,0.04000,0.02087
0.2052,0.06957, 1.000,0.05043,0.03826,0.03826,0.04522,0.1252,0.03826,0.03478,0.03478,0.04348,0.008696,0.04174,0.05217,0.1409,0.05565,0.02609,0.1096
0.04696,0.03652,0.05043, 1.000,0.08174,0.03826,0.04696,0.07130,0.1513,0.02087,0.04522,0.06261,0.03652,0.03304,0.05043,0.06435,0.1478,0.06087,0.1826
0.03304,0.07478,0.03826,0.08174, 1.000,0.1409,0.06609,0.07130,0.06957,0.1809,0.08000,0.08522,0.06957,0.07304,0.04348,0.04174,0.07478,0.05739,0.03826
0.06783,0.1374,0.03826,0.03826,0.1409, 1.000,0.1617,0.07826,0.03826,0.05391,0.1078,0.07478,0.1304,0.1930,0.08696,0.02609,0.02957,0.1739,0.08000
0.06261,0.2557,0.04522,0.04696,0.06609,0.1617, 1.000,0.05913,0.06609,0.07826,0.04174,0.1217,0.01913,0.1722,0.1113,0.03826,0.1113,0.03130,0.04348
0.04174,0.03652,0.1252,0.07130,0.07130,0.07826,0.05913, 1.000,0.05739,0.06087,0.1565,0.05217,0.1061,0.03652,0.04348,0.1148,0.07304,0.02261,0.04870
0.04174,0.06261,0.03826,0.1513,0.06957,0.03826,0.06609,0.05739, 1.000,0.03478,0.05043,0.1322,0.04348,0.06261,0.04522,0.05565,0.1496,0.05565,0.06087
0.04000,0.06261,0.03478,0.02087,0.1809,0.05391,0.07826,0.06087,0.03478, 1.000,0.05217,0.05739,0.05913,0.04348,0.05043,0.03478,0.08870,0.03130,0.01565
0.05391,0.04348,0.03478,0.04522,0.08000,0.1078,0.04174,0.1565,0.05043,0.05217, 1.000,0.07652,0.1513,0.09217,0.02609,0.06261,0.03478,0.05565,0.03826
0.03478,0.09217,0.04348,0.06261,0.08522,0.07478,0.1217,0.05217,0.1322,0.05739,0.07652, 1.000,0.06435,0.1409,0.06087,0.02609,0.1148,0.05739,0.03652
0.01565,0.02261,0.008696,0.03652,0.06957,0.1304,0.01913,0.1061,0.04348,0.05913,0.1513,0.06435, 1.000,0.1148,0.01739,0.03130,0.02957,0.1113,0.02261
0.05565,0.1009,0.04174,0.03304,0.07304,0.1930,0.1722,0.03652,0.06261,0.04348,0.09217,0.1409,0.1148, 1.000,0.07304,0.02957,0.04522,0.1304,0.06609
0.1043,0.1304,0.05217,0.05043,0.04348,0.08696,0.1113,0.04348,0.04522,0.05043,0.02609,0.06087,0.01739,0.07304, 1.000,0.08174,0.04174,0.05043,0.06261
0.1148,0.05565,0.1409,0.06435,0.04174,0.02609,0.03826,0.1148,0.05565,0.03478,0.06261,0.02609,0.03130,0.02957,0.08174, 1.000,0.1009,0.04174,0.09043
0.05565,0.08870,0.05565,0.1478,0.07478,0.02957,0.1113,0.07304,0.1496,0.08870,0.03478,0.1148,0.02957,0.04522,0.04174,0.1009, 1.000,0.03478,0.1078
0.04348,0.04000,0.02609,0.06087,0.05739,0.1739,0.03130,0.02261,0.05565,0.03130,0.05565,0.05739,0.1113,0.1304,0.05043,0.04174,0.03478, 1.000,0.09913
0.03478,0.02087,0.1096,0.1826,0.03826,0.08000,0.04348,0.04870,0.06087,0.01565,0.03826,0.03652,0.02261,0.06609,0.06261,0.09043,0.1078,0.09913, 1.000
