Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1942,0.2058,0.07826,0.02609,0.06087,0.08406,0.05217,0.01739,0.03478,0.04058,0.07246,0.03188,0.07246,0.1101,0.1275,0.07826,0.08696,0.08696
0.1942, 1.000,0.03478,0.01449,0.01739,0.1246,0.3710,0.005797,0.03188,0.01739,0.03478,0.1101,0.06667,0.1333,0.2406,0.02899,0.02899,0.09855,0.02319
0.2058,0.03478, 1.000,0.1768,0.02899,0.01739,0.02319,0.2174,0.05797,0.05217,0.03478,0.02899,0.008696,0.01159,0.04928,0.1652,0.1014,0.06667,0.1130
0.07826,0.01449,0.1768, 1.000,0.1130,0.04928,0.02029,0.1217,0.2406,0.04928,0.02609,0.04638,0.03478,0.02899,0.02029,0.1246,0.1710,0.05217,0.2174
0.02609,0.01739,0.02899,0.1130, 1.000,0.1275,0.02899,0.02609,0.07246,0.2580,0.02609,0.03478,0.04348,0.04928,0.01159,0.05797,0.06377,0.09565,0.1159
0.06087,0.1246,0.01739,0.04928,0.1275, 1.000,0.1304,0.02029,0.03768,0.04928,0.07826,0.04638,0.2406,0.1942,0.06667,0.02899,0.03768,0.1652,0.1014
0.08406,0.3710,0.02319,0.02029,0.02899,0.1304, 1.000,0.02609,0.06377,0.01739,0.05797,0.1130,0.09565,0.1652,0.1739,0.01159,0.01449,0.07536,0.01449
0.05217,0.005797,0.2174,0.1217,0.02609,0.02029,0.02609, 1.000,0.08406,0.02029,0.04928,0.04928,0.04928,0.02899,0.02899,0.1217,0.04638,0.02319,0.04348
0.01739,0.03188,0.05797,0.2406,0.07246,0.03768,0.06377,0.08406, 1.000,0.04058,0.04928,0.09855,0.07246,0.04638,0.03188,0.04638,0.1420,0.04058,0.06667
0.03478,0.01739,0.05217,0.04928,0.2580,0.04928,0.01739,0.02029,0.04058, 1.000,0.04058,0.02609,0.03768,0.03478,0.02029,0.05217,0.03188,0.05507,0.05217
0.04058,0.03478,0.03478,0.02609,0.02609,0.07826,0.05797,0.04928,0.04928,0.04058, 1.000,0.1043,0.1159,0.05217,0.005797,0.06957,0.01739,0.05507,0.002899
0.07246,0.1101,0.02899,0.04638,0.03478,0.04638,0.1130,0.04928,0.09855,0.02609,0.1043, 1.000,0.03768,0.1275,0.06377,0.02319,0.04638,0.04058,0.002899
0.03188,0.06667,0.008696,0.03478,0.04348,0.2406,0.09565,0.04928,0.07246,0.03768,0.1159,0.03768, 1.000,0.1710,0.03768,0.01159,0.01159,0.1449,0.02029
0.07246,0.1333,0.01159,0.02899,0.04928,0.1942,0.1652,0.02899,0.04638,0.03478,0.05217,0.1275,0.1710, 1.000,0.1507,0.01449,0.01739,0.2058,0.04638
0.1101,0.2406,0.04928,0.02029,0.01159,0.06667,0.1739,0.02899,0.03188,0.02029,0.005797,0.06377,0.03768,0.1507, 1.000,0.06957,0.03478,0.08406,0.03768
0.1275,0.02899,0.1652,0.1246,0.05797,0.02899,0.01159,0.1217,0.04638,0.05217,0.06957,0.02319,0.01159,0.01449,0.06957, 1.000,0.1507,0.03188,0.2058
0.07826,0.02899,0.1014,0.1710,0.06377,0.03768,0.01449,0.04638,0.1420,0.03188,0.01739,0.04638,0.01159,0.01739,0.03478,0.1507, 1.000,0.02319,0.1855
0.08696,0.09855,0.06667,0.05217,0.09565,0.1652,0.07536,0.02319,0.04058,0.05507,0.05507,0.04058,0.1449,0.2058,0.08406,0.03188,0.02319, 1.000,0.07826
0.08696,0.02319,0.1130,0.2174,0.1159,0.1014,0.01449,0.04348,0.06667,0.05217,0.002899,0.002899,0.02029,0.04638,0.03768,0.2058,0.1855,0.07826, 1.000
