Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2543,0.05911,0.2451,0.1355,0.1644,0.05542,0.02217,0.03818,0.04064,0.1509,0.03387,0.03571,0.1576,0.1884,0.8153,0.02771,0.09975,0.2026
0.2543, 1.000,0.03325,0.2180,0.04187,0.06589,0.09914,0.03079,0.1158,0.02709,0.09421,0.1041,0.04680,0.4286,0.8079,0.2032,0.01478,0.05911,0.07143
0.05911,0.03325, 1.000,0.02094,0.07882,0.3356,0.04126,0.03633,0.02463,0.04865,0.2728,0.02340,0.07759,0.04988,0.02709,0.07143,0.09791,0.4507,0.2549
0.2451,0.2180,0.02094, 1.000,0.06342,0.04988,0.02894,0.01170,0.06404,0.03756,0.04680,0.03387,0.02401,0.08313,0.1890,0.1952,0.03264,0.03325,0.05727
0.1355,0.04187,0.07882,0.06342, 1.000,0.1946,0.02709,0.02155,0.02833,0.1706,0.09791,0.02463,0.01478,0.03571,0.03202,0.1730,0.1281,0.08251,0.2463
0.1644,0.06589,0.3356,0.04988,0.1946, 1.000,0.04926,0.02586,0.01663,0.04310,0.5105,0.01970,0.05111,0.08374,0.04803,0.2007,0.05727,0.4982,0.7993
0.05542,0.09914,0.04126,0.02894,0.02709,0.04926, 1.000,0.2765,0.06650,0.01970,0.1133,0.1613,0.3473,0.2297,0.1139,0.04926,0.01970,0.08313,0.04988
0.02217,0.03079,0.03633,0.01170,0.02155,0.02586,0.2765, 1.000,0.03510,0.03264,0.04187,0.1151,0.3227,0.05049,0.03695,0.02217,0.03695,0.03941,0.02401
0.03818,0.1158,0.02463,0.06404,0.02833,0.01663,0.06650,0.03510, 1.000,0.06158,0.02094,0.2919,0.02217,0.09975,0.1539,0.03325,0.05603,0.02463,0.01539
0.04064,0.02709,0.04865,0.03756,0.1706,0.04310,0.01970,0.03264,0.06158, 1.000,0.01970,0.04310,0.02032,0.01970,0.02648,0.04310,0.4624,0.02217,0.04803
0.1509,0.09421,0.2728,0.04680,0.09791,0.5105,0.1133,0.04187,0.02094,0.01970, 1.000,0.02771,0.1041,0.1583,0.07451,0.1650,0.03325,0.6349,0.4298
0.03387,0.1041,0.02340,0.03387,0.02463,0.01970,0.1613,0.1151,0.2919,0.04310,0.02771, 1.000,0.05542,0.1429,0.1305,0.03017,0.03079,0.03017,0.02217
0.03571,0.04680,0.07759,0.02401,0.01478,0.05111,0.3473,0.3227,0.02217,0.02032,0.1041,0.05542, 1.000,0.09544,0.04618,0.03448,0.02648,0.1078,0.04310
0.1576,0.4286,0.04988,0.08313,0.03571,0.08374,0.2297,0.05049,0.09975,0.01970,0.1583,0.1429,0.09544, 1.000,0.4224,0.1385,0.01416,0.1022,0.08682
0.1884,0.8079,0.02709,0.1890,0.03202,0.04803,0.1139,0.03695,0.1539,0.02648,0.07451,0.1305,0.04618,0.4224, 1.000,0.1478,0.01416,0.05296,0.05172
0.8153,0.2032,0.07143,0.1952,0.1730,0.2007,0.04926,0.02217,0.03325,0.04310,0.1650,0.03017,0.03448,0.1385,0.1478, 1.000,0.02956,0.1127,0.2463
0.02771,0.01478,0.09791,0.03264,0.1281,0.05727,0.01970,0.03695,0.05603,0.4624,0.03325,0.03079,0.02648,0.01416,0.01416,0.02956, 1.000,0.03879,0.05419
0.09975,0.05911,0.4507,0.03325,0.08251,0.4982,0.08313,0.03941,0.02463,0.02217,0.6349,0.03017,0.1078,0.1022,0.05296,0.1127,0.03879, 1.000,0.3830
0.2026,0.07143,0.2549,0.05727,0.2463,0.7993,0.04988,0.02401,0.01539,0.04803,0.4298,0.02217,0.04310,0.08682,0.05172,0.2463,0.05419,0.3830, 1.000
