Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2378,0.1591,0.2399,0.08976,0.07559,0.03307,0.01575,0.02100,0.02992,0.01890,0.02520,0.02047,0.06982,0.1522,0.1291,0.06982,0.07664,0.08399
0.2378, 1.000,0.05302,0.08451,0.09554,0.2247,0.07559,0.02152,0.01890,0.02835,0.02152,0.02520,0.03727,0.2136,0.1732,0.06614,0.04199,0.08294,0.05564
0.1591,0.05302, 1.000,0.09396,0.03097,0.03202,0.03150,0.03412,0.02887,0.02940,0.04672,0.01837,0.01837,0.03045,0.1050,0.1648,0.04514,0.05459,0.06667
0.2399,0.08451,0.09396, 1.000,0.08924,0.04199,0.01890,0.01522,0.03202,0.02625,0.02415,0.03517,0.02100,0.03780,0.05774,0.07664,0.09449,0.05197,0.07087
0.08976,0.09554,0.03097,0.08924, 1.000,0.09449,0.02152,0.02887,0.02047,0.03675,0.02730,0.02992,0.03990,0.04462,0.04357,0.04252,0.09659,0.06142,0.05984
0.07559,0.2247,0.03202,0.04199,0.09449, 1.000,0.1050,0.03150,0.02257,0.02310,0.04462,0.04042,0.05407,0.1207,0.06824,0.03937,0.03990,0.09291,0.06037
0.03307,0.07559,0.03150,0.01890,0.02152,0.1050, 1.000,0.02362,0.03780,0.02887,0.03307,0.08136,0.04094,0.09606,0.05249,0.02257,0.01995,0.04304,0.02992
0.01575,0.02152,0.03412,0.01522,0.02887,0.03150,0.02362, 1.000,0.02835,0.02625,0.06457,0.02992,0.2289,0.02992,0.02940,0.02835,0.02467,0.01942,0.03202
0.02100,0.01890,0.02887,0.03202,0.02047,0.02257,0.03780,0.02835, 1.000,0.03727,0.03780,0.08556,0.02362,0.02835,0.01995,0.02362,0.05774,0.02782,0.02730
0.02992,0.02835,0.02940,0.02625,0.03675,0.02310,0.02887,0.02625,0.03727, 1.000,0.02887,0.03412,0.01785,0.02415,0.02415,0.02415,0.04409,0.02835,0.02782
0.01890,0.02152,0.04672,0.02415,0.02730,0.04462,0.03307,0.06457,0.03780,0.02887, 1.000,0.04042,0.05249,0.03412,0.02310,0.03780,0.02152,0.01995,0.02152
0.02520,0.02520,0.01837,0.03517,0.02992,0.04042,0.08136,0.02992,0.08556,0.03412,0.04042, 1.000,0.02782,0.04199,0.02520,0.02520,0.09291,0.02310,0.02625
0.02047,0.03727,0.01837,0.02100,0.03990,0.05407,0.04094,0.2289,0.02362,0.01785,0.05249,0.02782, 1.000,0.05879,0.02625,0.02047,0.02362,0.02782,0.03045
0.06982,0.2136,0.03045,0.03780,0.04462,0.1207,0.09606,0.02992,0.02835,0.02415,0.03412,0.04199,0.05879, 1.000,0.08556,0.02782,0.02572,0.07192,0.02992
0.1522,0.1732,0.1050,0.05774,0.04357,0.06824,0.05249,0.02940,0.01995,0.02415,0.02310,0.02520,0.02625,0.08556, 1.000,0.1160,0.03465,0.07402,0.06352
0.1291,0.06614,0.1648,0.07664,0.04252,0.03937,0.02257,0.02835,0.02362,0.02415,0.03780,0.02520,0.02047,0.02782,0.1160, 1.000,0.07297,0.04724,0.1013
0.06982,0.04199,0.04514,0.09449,0.09659,0.03990,0.01995,0.02467,0.05774,0.04409,0.02152,0.09291,0.02362,0.02572,0.03465,0.07297, 1.000,0.05669,0.1522
0.07664,0.08294,0.05459,0.05197,0.06142,0.09291,0.04304,0.01942,0.02782,0.02835,0.01995,0.02310,0.02782,0.07192,0.07402,0.04724,0.05669, 1.000,0.1475
0.08399,0.05564,0.06667,0.07087,0.05984,0.06037,0.02992,0.03202,0.02730,0.02782,0.02152,0.02625,0.03045,0.02992,0.06352,0.1013,0.1522,0.1475, 1.000
