Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.5328,0.1109,0.2689,0.2084,0.2034,0.1277,0.06218,0.06218,0.04706,0.03025,0.01513,0.08908,0.2471,0.2975,0.4403,0.08571,0.1647,0.2723
0.5328, 1.000,0.09580,0.2235,0.1899,0.3025,0.2151,0.02521,0.05546,0.05042,0.02689,0.01513,0.1059,0.3630,0.3429,0.3059,0.07395,0.2118,0.2773
0.1109,0.09580, 1.000,0.09916,0.06555,0.06387,0.1092,0.1261,0.03529,0.07899,0.04874,0.01849,0.05714,0.08067,0.09244,0.1126,0.03193,0.06891,0.08403
0.2689,0.2235,0.09916, 1.000,0.3227,0.1933,0.07731,0.03025,0.08403,0.04706,0.01345,0.02185,0.06218,0.1160,0.1395,0.2454,0.1613,0.09580,0.2235
0.2084,0.1899,0.06555,0.3227, 1.000,0.3076,0.07563,0.02521,0.07059,0.05042,0.02689,0.03193,0.08739,0.1261,0.1008,0.1328,0.1261,0.07563,0.2034
0.2034,0.3025,0.06387,0.1933,0.3076, 1.000,0.1664,0.02017,0.06555,0.07059,0.01849,0.04706,0.1210,0.2672,0.1109,0.1227,0.08403,0.2605,0.3143
0.1277,0.2151,0.1092,0.07731,0.07563,0.1664, 1.000,0.05210,0.1025,0.09244,0.04874,0.09076,0.1160,0.4134,0.2555,0.1076,0.05546,0.2185,0.1126
0.06218,0.02521,0.1261,0.03025,0.02521,0.02017,0.05210, 1.000,0.03193,0.06218,0.08908,0.006723,0.03025,0.03193,0.05378,0.04538,0.03025,0.03529,0.02185
0.06218,0.05546,0.03529,0.08403,0.07059,0.06555,0.1025,0.03193, 1.000,0.1059,0.05210,0.1210,0.02689,0.07059,0.07059,0.03866,0.05714,0.05210,0.06555
0.04706,0.05042,0.07899,0.04706,0.05042,0.07059,0.09244,0.06218,0.1059, 1.000,0.1328,0.03866,0.05378,0.05378,0.04538,0.04874,0.02353,0.05714,0.05714
0.03025,0.02689,0.04874,0.01345,0.02689,0.01849,0.04874,0.08908,0.05210,0.1328, 1.000,0.03361,0.04034,0.02185,0.01849,0.03529,0.03193,0.03361,0.04538
0.01513,0.01513,0.01849,0.02185,0.03193,0.04706,0.09076,0.006723,0.1210,0.03866,0.03361, 1.000,0.05714,0.04034,0.02017,0.02353,0.05378,0.05882,0.01681
0.08908,0.1059,0.05714,0.06218,0.08739,0.1210,0.1160,0.03025,0.02689,0.05378,0.04034,0.05714, 1.000,0.1395,0.05210,0.06723,0.02857,0.1697,0.07899
0.2471,0.3630,0.08067,0.1160,0.1261,0.2672,0.4134,0.03193,0.07059,0.05378,0.02185,0.04034,0.1395, 1.000,0.2672,0.1529,0.05210,0.2824,0.1731
0.2975,0.3429,0.09244,0.1395,0.1008,0.1109,0.2555,0.05378,0.07059,0.04538,0.01849,0.02017,0.05210,0.2672, 1.000,0.1899,0.05042,0.09412,0.1277
0.4403,0.3059,0.1126,0.2454,0.1328,0.1227,0.1076,0.04538,0.03866,0.04874,0.03529,0.02353,0.06723,0.1529,0.1899, 1.000,0.07563,0.1008,0.2286
0.08571,0.07395,0.03193,0.1613,0.1261,0.08403,0.05546,0.03025,0.05714,0.02353,0.03193,0.05378,0.02857,0.05210,0.05042,0.07563, 1.000,0.04874,0.1126
0.1647,0.2118,0.06891,0.09580,0.07563,0.2605,0.2185,0.03529,0.05210,0.05714,0.03361,0.05882,0.1697,0.2824,0.09412,0.1008,0.04874, 1.000,0.1563
0.2723,0.2773,0.08403,0.2235,0.2034,0.3143,0.1126,0.02185,0.06555,0.05714,0.04538,0.01681,0.07899,0.1731,0.1277,0.2286,0.1126,0.1563, 1.000
