Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2075,0.2167,0.1138,0.06862,0.08033,0.1732,0.05021,0.03096,0.04686,0.03933,0.08368,0.08787,0.2351,0.1690,0.1749,0.04937,0.1414,0.1289
0.2075, 1.000,0.1004,0.06611,0.03598,0.1071,0.2268,0.04351,0.05523,0.02594,0.01841,0.07615,0.08703,0.1849,0.1163,0.1280,0.05523,0.1021,0.09623
0.2167,0.1004, 1.000,0.03515,0.03515,0.02092,0.1623,0.08368,0.02845,0.07448,0.07615,0.1146,0.02845,0.08787,0.1188,0.1105,0.02929,0.05523,0.06109
0.1138,0.06611,0.03515, 1.000,0.2745,0.08536,0.03347,0.02594,0.05188,0.02427,0.02343,0.02259,0.08870,0.07113,0.03264,0.08619,0.09958,0.1029,0.1816
0.06862,0.03598,0.03515,0.2745, 1.000,0.1381,0.02678,0.03347,0.05439,0.06444,0.03347,0.02510,0.08452,0.05272,0.01841,0.04351,0.07782,0.08536,0.1088
0.08033,0.1071,0.02092,0.08536,0.1381, 1.000,0.02762,0.03264,0.03013,0.01841,0.02929,0.02008,0.06109,0.06695,0.03431,0.04268,0.06192,0.08536,0.09372
0.1732,0.2268,0.1623,0.03347,0.02678,0.02762, 1.000,0.04854,0.07197,0.07029,0.04184,0.2510,0.06276,0.1498,0.1305,0.08368,0.03180,0.06778,0.06444
0.05021,0.04351,0.08368,0.02594,0.03347,0.03264,0.04854, 1.000,0.03515,0.05356,0.09456,0.05941,0.06360,0.03598,0.03849,0.06025,0.03682,0.04351,0.04351
0.03096,0.05523,0.02845,0.05188,0.05439,0.03013,0.07197,0.03515, 1.000,0.08033,0.02762,0.09289,0.06276,0.02845,0.03515,0.01172,0.07615,0.02176,0.04268
0.04686,0.02594,0.07448,0.02427,0.06444,0.01841,0.07029,0.05356,0.08033, 1.000,0.08619,0.08033,0.04100,0.03180,0.05439,0.03766,0.04435,0.03598,0.02343
0.03933,0.01841,0.07615,0.02343,0.03347,0.02929,0.04184,0.09456,0.02762,0.08619, 1.000,0.04184,0.03598,0.03431,0.04017,0.03849,0.02678,0.01841,0.02594
0.08368,0.07615,0.1146,0.02259,0.02510,0.02008,0.2510,0.05941,0.09289,0.08033,0.04184, 1.000,0.04017,0.09372,0.1038,0.05021,0.04351,0.02678,0.04351
0.08787,0.08703,0.02845,0.08870,0.08452,0.06109,0.06276,0.06360,0.06276,0.04100,0.03598,0.04017, 1.000,0.1339,0.03347,0.04770,0.03180,0.1163,0.08703
0.2351,0.1849,0.08787,0.07113,0.05272,0.06695,0.1498,0.03598,0.02845,0.03180,0.03431,0.09372,0.1339, 1.000,0.1615,0.07950,0.02762,0.1305,0.08033
0.1690,0.1163,0.1188,0.03264,0.01841,0.03431,0.1305,0.03849,0.03515,0.05439,0.04017,0.1038,0.03347,0.1615, 1.000,0.1640,0.02762,0.04351,0.04519
0.1749,0.1280,0.1105,0.08619,0.04351,0.04268,0.08368,0.06025,0.01172,0.03766,0.03849,0.05021,0.04770,0.07950,0.1640, 1.000,0.05272,0.07531,0.1113
0.04937,0.05523,0.02929,0.09958,0.07782,0.06192,0.03180,0.03682,0.07615,0.04435,0.02678,0.04351,0.03180,0.02762,0.02762,0.05272, 1.000,0.05272,0.1774
0.1414,0.1021,0.05523,0.1029,0.08536,0.08536,0.06778,0.04351,0.02176,0.03598,0.01841,0.02678,0.1163,0.1305,0.04351,0.07531,0.05272, 1.000,0.1565
0.1289,0.09623,0.06109,0.1816,0.1088,0.09372,0.06444,0.04351,0.04268,0.02343,0.02594,0.04351,0.08703,0.08033,0.04519,0.1113,0.1774,0.1565, 1.000
