Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.02147,0.1499,0.04896,0.02335,0.02448,0.03352,0.1228,0.01846,0.02185,0.02185,0.01959,0.01996,0.02147,0.03465,0.05122,0.07345,0.04670
0.02147, 1.000,0.02712,0.01846,0.01846,0.02448,0.1134,0.02109,0.02185,0.02185,0.03503,0.03766,0.02599,0.02863,0.04444,0.02072,0.03955,0.02561
0.1499,0.02712, 1.000,0.1883,0.01582,0.02486,0.01883,0.2712,0.01921,0.02222,0.01921,0.04331,0.02486,0.02260,0.03202,0.03616,0.1831,0.06064
0.04896,0.01846,0.1883, 1.000,0.01846,0.01921,0.02260,0.1815,0.03089,0.01959,0.03277,0.03842,0.02222,0.01883,0.02373,0.03089,0.07345,0.03164
0.02335,0.01846,0.01582,0.01846, 1.000,0.02787,0.02938,0.02185,0.02222,0.01846,0.02147,0.03202,0.02147,0.02524,0.02825,0.02373,0.02260,0.02411
0.02448,0.02448,0.02486,0.01921,0.02787, 1.000,0.02486,0.02260,0.02072,0.02109,0.02750,0.02750,0.02373,0.02524,0.02976,0.02373,0.02298,0.02335
0.03352,0.1134,0.01883,0.02260,0.02938,0.02486, 1.000,0.02448,0.03578,0.02222,0.02411,0.03352,0.02637,0.04068,0.06441,0.02863,0.02486,0.02222
0.1228,0.02109,0.2712,0.1815,0.02185,0.02260,0.02448, 1.000,0.02109,0.02411,0.02674,0.02561,0.02335,0.01770,0.02373,0.02787,0.09718,0.03465
0.01846,0.02185,0.01921,0.03089,0.02222,0.02072,0.03578,0.02109, 1.000,0.02147,0.02486,0.03051,0.02448,0.02109,0.02411,0.02147,0.02674,0.02222
0.02185,0.02185,0.02222,0.01959,0.01846,0.02109,0.02222,0.02411,0.02147, 1.000,0.02335,0.02561,0.01996,0.01808,0.02222,0.02373,0.02147,0.02561
0.02185,0.03503,0.01921,0.03277,0.02147,0.02750,0.02411,0.02674,0.02486,0.02335, 1.000,0.02561,0.02147,0.02260,0.01695,0.02072,0.02298,0.02373
0.01959,0.03766,0.04331,0.03842,0.03202,0.02750,0.03352,0.02561,0.03051,0.02561,0.02561, 1.000,0.07232,0.02335,0.02599,0.02335,0.08437,0.03277
0.01996,0.02599,0.02486,0.02222,0.02147,0.02373,0.02637,0.02335,0.02448,0.01996,0.02147,0.07232, 1.000,0.02712,0.02825,0.02486,0.03465,0.02147
0.02147,0.02863,0.02260,0.01883,0.02524,0.02524,0.04068,0.01770,0.02109,0.01808,0.02260,0.02335,0.02712, 1.000,0.02900,0.02561,0.02147,0.02863
0.03465,0.04444,0.03202,0.02373,0.02825,0.02976,0.06441,0.02373,0.02411,0.02222,0.01695,0.02599,0.02825,0.02900, 1.000,0.02448,0.02185,0.03804
0.05122,0.02072,0.03616,0.03089,0.02373,0.02373,0.02863,0.02787,0.02147,0.02373,0.02072,0.02335,0.02486,0.02561,0.02448, 1.000,0.03051,0.03352
0.07345,0.03955,0.1831,0.07345,0.02260,0.02298,0.02486,0.09718,0.02674,0.02147,0.02298,0.08437,0.03465,0.02147,0.02185,0.03051, 1.000,0.05386
0.04670,0.02561,0.06064,0.03164,0.02411,0.02335,0.02222,0.03465,0.02222,0.02561,0.02373,0.03277,0.02147,0.02863,0.03804,0.03352,0.05386, 1.000
