Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.3993,0.05241,0.05062,0.04456,0.04385,0.1230,0.03565,0.02246,0.02175,0.02638,0.02674,0.02638,0.05312,0.08699,0.08271,0.03209,0.04100
0.3993, 1.000,0.06453,0.08093,0.06702,0.05668,0.09947,0.02674,0.01925,0.02032,0.02389,0.03137,0.03815,0.06595,0.09127,0.06560,0.03280,0.05882
0.05241,0.06453, 1.000,0.03850,0.02781,0.02496,0.02781,0.04100,0.02496,0.02317,0.03030,0.02317,0.02781,0.02424,0.05205,0.06275,0.03351,0.02959
0.05062,0.08093,0.03850, 1.000,0.1020,0.04100,0.02460,0.02068,0.02888,0.02567,0.02602,0.01889,0.02745,0.02531,0.02745,0.05989,0.03886,0.04670
0.04456,0.06702,0.02781,0.1020, 1.000,0.1298,0.03494,0.02638,0.02674,0.03494,0.02139,0.02638,0.04813,0.03209,0.02995,0.04171,0.04349,0.05633
0.04385,0.05668,0.02496,0.04100,0.1298, 1.000,0.08877,0.02175,0.02246,0.02032,0.03030,0.02353,0.03565,0.04706,0.03137,0.03494,0.03280,0.04955
0.1230,0.09947,0.02781,0.02460,0.03494,0.08877, 1.000,0.02282,0.02210,0.01604,0.02852,0.05847,0.03601,0.05740,0.05348,0.03636,0.02816,0.03708
0.03565,0.02674,0.04100,0.02068,0.02638,0.02175,0.02282, 1.000,0.02923,0.03244,0.04991,0.02353,0.04278,0.02923,0.03458,0.04385,0.03316,0.02246
0.02246,0.01925,0.02496,0.02888,0.02674,0.02246,0.02210,0.02923, 1.000,0.02139,0.02923,0.03601,0.02389,0.03565,0.02531,0.03280,0.03672,0.02531
0.02175,0.02032,0.02317,0.02567,0.03494,0.02032,0.01604,0.03244,0.02139, 1.000,0.02602,0.02745,0.02816,0.01783,0.02995,0.02139,0.02888,0.03636
0.02638,0.02389,0.03030,0.02602,0.02139,0.03030,0.02852,0.04991,0.02923,0.02602, 1.000,0.02923,0.03922,0.03708,0.02210,0.04848,0.01889,0.02709
0.02674,0.03137,0.02317,0.01889,0.02638,0.02353,0.05847,0.02353,0.03601,0.02745,0.02923, 1.000,0.03030,0.04171,0.03173,0.02282,0.03957,0.02923
0.02638,0.03815,0.02781,0.02745,0.04813,0.03565,0.03601,0.04278,0.02389,0.02816,0.03922,0.03030, 1.000,0.05205,0.02781,0.02567,0.02531,0.1055
0.05312,0.06595,0.02424,0.02531,0.03209,0.04706,0.05740,0.02923,0.03565,0.01783,0.03708,0.04171,0.05205, 1.000,0.06774,0.01818,0.01996,0.05241
0.08699,0.09127,0.05205,0.02745,0.02995,0.03137,0.05348,0.03458,0.02531,0.02995,0.02210,0.03173,0.02781,0.06774, 1.000,0.04920,0.02353,0.02389
0.08271,0.06560,0.06275,0.05989,0.04171,0.03494,0.03636,0.04385,0.03280,0.02139,0.04848,0.02282,0.02567,0.01818,0.04920, 1.000,0.06203,0.02424
0.03209,0.03280,0.03351,0.03886,0.04349,0.03280,0.02816,0.03316,0.03672,0.02888,0.01889,0.03957,0.02531,0.01996,0.02353,0.06203, 1.000,0.02103
0.04100,0.05882,0.02959,0.04670,0.05633,0.04955,0.03708,0.02246,0.02531,0.03636,0.02709,0.02923,0.1055,0.05241,0.02389,0.02424,0.02103, 1.000
