Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2766,0.1925,0.2080,0.1380,0.1007,0.09748,0.02869,0.03948,0.04843,0.03114,0.02930,0.06573,0.07611,0.07692,0.09870,0.05718,0.09687,0.09219
0.2766, 1.000,0.09503,0.1549,0.1736,0.1781,0.1874,0.02564,0.03398,0.05149,0.03419,0.03134,0.07814,0.07855,0.06980,0.07000,0.06370,0.1209,0.1123
0.1925,0.09503, 1.000,0.1095,0.06553,0.05454,0.05637,0.1048,0.03602,0.03032,0.03175,0.02666,0.04253,0.04681,0.08954,0.08689,0.03867,0.06044,0.06166
0.2080,0.1549,0.1095, 1.000,0.2527,0.1300,0.07123,0.02523,0.06268,0.08140,0.03460,0.02625,0.06105,0.04721,0.04904,0.07916,0.07814,0.1034,0.1180
0.1380,0.1736,0.06553,0.2527, 1.000,0.2287,0.08282,0.02442,0.04009,0.08893,0.04070,0.02666,0.07835,0.06573,0.04986,0.04762,0.06980,0.1091,0.1044
0.1007,0.1781,0.05454,0.1300,0.2287, 1.000,0.1280,0.02727,0.02768,0.06919,0.04660,0.02503,0.08852,0.06675,0.05271,0.04274,0.05718,0.1064,0.09666
0.09748,0.1874,0.05637,0.07123,0.08282,0.1280, 1.000,0.02869,0.02218,0.03378,0.03236,0.03602,0.06532,0.07591,0.06247,0.05026,0.04233,0.08608,0.08018
0.02869,0.02564,0.1048,0.02523,0.02442,0.02727,0.02869, 1.000,0.02951,0.02401,0.03805,0.02076,0.02747,0.02829,0.03643,0.04945,0.03236,0.02320,0.03398
0.03948,0.03398,0.03602,0.06268,0.04009,0.02768,0.02218,0.02951, 1.000,0.04355,0.02177,0.02869,0.02910,0.04151,0.03012,0.03968,0.04925,0.03297,0.04518
0.04843,0.05149,0.03032,0.08140,0.08893,0.06919,0.03378,0.02401,0.04355, 1.000,0.04762,0.03053,0.06105,0.03134,0.02483,0.02788,0.05515,0.06471,0.05495
0.03114,0.03419,0.03175,0.03460,0.04070,0.04660,0.03236,0.03805,0.02177,0.04762, 1.000,0.02361,0.08486,0.03521,0.02096,0.02991,0.02788,0.04436,0.02605
0.02930,0.03134,0.02666,0.02625,0.02666,0.02503,0.03602,0.02076,0.02869,0.03053,0.02361, 1.000,0.02808,0.03114,0.03276,0.02259,0.01974,0.02991,0.02727
0.06573,0.07814,0.04253,0.06105,0.07835,0.08852,0.06532,0.02747,0.02910,0.06105,0.08486,0.02808, 1.000,0.1079,0.03073,0.02951,0.02829,0.2705,0.03195
0.07611,0.07855,0.04681,0.04721,0.06573,0.06675,0.07591,0.02829,0.04151,0.03134,0.03521,0.03114,0.1079, 1.000,0.05779,0.03134,0.02279,0.1042,0.02869
0.07692,0.06980,0.08954,0.04904,0.04986,0.05271,0.06247,0.03643,0.03012,0.02483,0.02096,0.03276,0.03073,0.05779, 1.000,0.1062,0.02829,0.04619,0.04497
0.09870,0.07000,0.08689,0.07916,0.04762,0.04274,0.05026,0.04945,0.03968,0.02788,0.02991,0.02259,0.02951,0.03134,0.1062, 1.000,0.06247,0.03867,0.09117
0.05718,0.06370,0.03867,0.07814,0.06980,0.05718,0.04233,0.03236,0.04925,0.05515,0.02788,0.01974,0.02829,0.02279,0.02829,0.06247, 1.000,0.03460,0.1642
0.09687,0.1209,0.06044,0.1034,0.1091,0.1064,0.08608,0.02320,0.03297,0.06471,0.04436,0.02991,0.2705,0.1042,0.04619,0.03867,0.03460, 1.000,0.05800
0.09219,0.1123,0.06166,0.1180,0.1044,0.09666,0.08018,0.03398,0.04518,0.05495,0.02605,0.02727,0.03195,0.02869,0.04497,0.09117,0.1642,0.05800, 1.000
