Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.04343,0.07840,0.2448,0.04932,0.03533,0.01583,0.04380,0.08612,0.02245,0.02319,0.01803,0.03607,0.03018,0.07103,0.1483,0.04196,0.06146
0.04343, 1.000,0.03165,0.02944,0.06625,0.1664,0.1741,0.02760,0.02135,0.04049,0.05852,0.05006,0.08686,0.2448,0.05778,0.03386,0.02650,0.1722
0.07840,0.03165, 1.000,0.02797,0.01877,0.02319,0.02687,0.07030,0.05042,0.02245,0.04674,0.02724,0.02024,0.01141,0.03202,0.06110,0.03128,0.01583
0.2448,0.02944,0.02797, 1.000,0.1285,0.03570,0.01693,0.03055,0.1049,0.03533,0.02356,0.02613,0.02834,0.01693,0.03644,0.1299,0.06772,0.04233
0.04932,0.06625,0.01877,0.1285, 1.000,0.1016,0.04417,0.02172,0.04269,0.05116,0.02392,0.02834,0.07287,0.03754,0.03312,0.02908,0.04196,0.05337
0.03533,0.1664,0.02319,0.03570,0.1016, 1.000,0.1340,0.04895,0.02392,0.08576,0.1023,0.02650,0.2484,0.09680,0.02429,0.03128,0.03533,0.1215
0.01583,0.1741,0.02687,0.01693,0.04417,0.1340, 1.000,0.02908,0.03533,0.02429,0.1100,0.1307,0.1031,0.1785,0.02576,0.02172,0.02834,0.08318
0.04380,0.02760,0.07030,0.03055,0.02172,0.04895,0.02908, 1.000,0.05631,0.03865,0.1108,0.03312,0.06993,0.03165,0.03165,0.03644,0.02319,0.02466
0.08612,0.02135,0.05042,0.1049,0.04269,0.02392,0.03533,0.05631, 1.000,0.03092,0.04453,0.1185,0.02392,0.02208,0.01509,0.08208,0.1204,0.02208
0.02245,0.04049,0.02245,0.03533,0.05116,0.08576,0.02429,0.03865,0.03092, 1.000,0.04527,0.02061,0.06146,0.02797,0.02319,0.02282,0.04417,0.03239
0.02319,0.05852,0.04674,0.02356,0.02392,0.1023,0.1100,0.1108,0.04453,0.04527, 1.000,0.05079,0.08576,0.03791,0.01362,0.02871,0.01619,0.03791
0.01803,0.05006,0.02724,0.02613,0.02834,0.02650,0.1307,0.03312,0.1185,0.02061,0.05079, 1.000,0.03975,0.07251,0.03423,0.01472,0.04196,0.05190
0.03607,0.08686,0.02024,0.02834,0.07287,0.2484,0.1031,0.06993,0.02392,0.06146,0.08576,0.03975, 1.000,0.09128,0.02356,0.03165,0.02576,0.1697
0.03018,0.2448,0.01141,0.01693,0.03754,0.09680,0.1785,0.03165,0.02208,0.02797,0.03791,0.07251,0.09128, 1.000,0.07803,0.01730,0.03128,0.1737
0.07103,0.05778,0.03202,0.03644,0.03312,0.02429,0.02576,0.03165,0.01509,0.02319,0.01362,0.03423,0.02356,0.07803, 1.000,0.05006,0.02871,0.03423
0.1483,0.03386,0.06110,0.1299,0.02908,0.03128,0.02172,0.03644,0.08208,0.02282,0.02871,0.01472,0.03165,0.01730,0.05006, 1.000,0.1034,0.02466
0.04196,0.02650,0.03128,0.06772,0.04196,0.03533,0.02834,0.02319,0.1204,0.04417,0.01619,0.04196,0.02576,0.03128,0.02871,0.1034, 1.000,0.03018
0.06146,0.1722,0.01583,0.04233,0.05337,0.1215,0.08318,0.02466,0.02208,0.03239,0.03791,0.05190,0.1697,0.1737,0.03423,0.02466,0.03018, 1.000
