Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1431,0.1480,0.05203,0.03252,0.2195,0.03415,0.06829,0.04878,0.03089,0.05691,0.04878,0.06504,0.08455,0.04065,0.1268,0.04715,0.08130
0.1431, 1.000,0.06016,0.1089,0.03902,0.04553,0.03415,0.05691,0.06667,0.004878,0.06179,0.05691,0.07642,0.1122,0.1382,0.03902,0.05366,0.09268
0.1480,0.06016, 1.000,0.03902,0.02439,0.07154,0.02276,0.07154,0.06504,0.03252,0.04228,0.03577,0.06016,0.04878,0.09593,0.2081,0.03415,0.04390
0.05203,0.1089,0.03902, 1.000,0.1089,0.05691,0.05366,0.03415,0.05041,0.08780,0.07805,0.06992,0.1366,0.04878,0.03902,0.06016,0.08455,0.1285
0.03252,0.03902,0.02439,0.1089, 1.000,0.05691,0.06992,0.06504,0.04553,0.05691,0.01626,0.06179,0.04553,0.05041,0.02114,0.03415,0.07967,0.02114
0.2195,0.04553,0.07154,0.05691,0.05691, 1.000,0.06667,0.03577,0.03740,0.1106,0.06341,0.04390,0.04228,0.1024,0.01626,0.1382,0.04715,0.06341
0.03415,0.03415,0.02276,0.05366,0.06992,0.06667, 1.000,0.05366,0.09268,0.01463,0.01138,0.06667,0.06016,0.02276,0.06341,0.08455,0.03252,0.04390
0.06829,0.05691,0.07154,0.03415,0.06504,0.03577,0.05366, 1.000,0.04228,0.04390,0.03577,0.03415,0.05854,0.02276,0.04715,0.09756,0.05203,0.04390
0.04878,0.06667,0.06504,0.05041,0.04553,0.03740,0.09268,0.04228, 1.000,0.04553,0.07967,0.05528,0.07805,0.03577,0.1008,0.06179,0.02602,0.05528
0.03089,0.004878,0.03252,0.08780,0.05691,0.1106,0.01463,0.04390,0.04553, 1.000,0.06179,0.06341,0.02114,0.01138,0.02114,0.03577,0.03089,0.03740
0.05691,0.06179,0.04228,0.07805,0.01626,0.06341,0.01138,0.03577,0.07967,0.06179, 1.000,0.06504,0.07317,0.02114,0.04715,0.08943,0.06016,0.05366
0.04878,0.05691,0.03577,0.06992,0.06179,0.04390,0.06667,0.03415,0.05528,0.06341,0.06504, 1.000,0.08130,0.01789,0.02764,0.05366,0.04390,0.05366
0.06504,0.07642,0.06016,0.1366,0.04553,0.04228,0.06016,0.05854,0.07805,0.02114,0.07317,0.08130, 1.000,0.05528,0.04553,0.06504,0.08293,0.1057
0.08455,0.1122,0.04878,0.04878,0.05041,0.1024,0.02276,0.02276,0.03577,0.01138,0.02114,0.01789,0.05528, 1.000,0.05366,0.08455,0.04065,0.06016
0.04065,0.1382,0.09593,0.03902,0.02114,0.01626,0.06341,0.04715,0.1008,0.02114,0.04715,0.02764,0.04553,0.05366, 1.000,0.06667,0.02114,0.03415
0.1268,0.03902,0.2081,0.06016,0.03415,0.1382,0.08455,0.09756,0.06179,0.03577,0.08943,0.05366,0.06504,0.08455,0.06667, 1.000,0.01951,0.01789
0.04715,0.05366,0.03415,0.08455,0.07967,0.04715,0.03252,0.05203,0.02602,0.03089,0.06016,0.04390,0.08293,0.04065,0.02114,0.01951, 1.000,0.03415
0.08130,0.09268,0.04390,0.1285,0.02114,0.06341,0.04390,0.04390,0.05528,0.03740,0.05366,0.05366,0.1057,0.06016,0.03415,0.01789,0.03415, 1.000
