Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1372,0.07284,0.02900,0.02970,0.02122,0.03253,0.02475,0.02970,0.02829,0.02758,0.02405,0.02970,0.03748,0.06436,0.03819,0.01980,0.03819
0.1372, 1.000,0.02405,0.02263,0.02475,0.01627,0.06223,0.02900,0.05658,0.03890,0.02263,0.05092,0.02970,0.06365,0.05163,0.02051,0.03678,0.01980
0.07284,0.02405, 1.000,0.03182,0.02475,0.02758,0.02192,0.06719,0.01627,0.03819,0.09194,0.01909,0.06153,0.01697,0.07496,0.1103,0.02051,0.03395
0.02900,0.02263,0.03182, 1.000,0.07709,0.02192,0.02687,0.01414,0.03819,0.03819,0.03536,0.04314,0.02970,0.02263,0.02687,0.05587,0.06648,0.01627
0.02970,0.02475,0.02475,0.07709, 1.000,0.02475,0.02617,0.01839,0.02475,0.04526,0.02475,0.04173,0.02687,0.02758,0.03536,0.03465,0.03182,0.02263
0.02122,0.01627,0.02758,0.02192,0.02475, 1.000,0.02192,0.03112,0.02687,0.01485,0.03819,0.02122,0.07638,0.03890,0.02829,0.02122,0.01273,0.06223
0.03253,0.06223,0.02192,0.02687,0.02617,0.02192, 1.000,0.03182,0.06931,0.04597,0.02687,0.2730,0.05941,0.05587,0.04526,0.02900,0.08628,0.04950
0.02475,0.02900,0.06719,0.01414,0.01839,0.03112,0.03182, 1.000,0.02829,0.03536,0.04243,0.03536,0.2107,0.03182,0.03324,0.03748,0.04102,0.04173
0.02970,0.05658,0.01627,0.03819,0.02475,0.02687,0.06931,0.02829, 1.000,0.02475,0.03890,0.07992,0.03890,0.07992,0.02546,0.04314,0.1223,0.02617
0.02829,0.03890,0.03819,0.03819,0.04526,0.01485,0.04597,0.03536,0.02475, 1.000,0.01839,0.05375,0.03890,0.03536,0.04809,0.03182,0.03890,0.03465
0.02758,0.02263,0.09194,0.03536,0.02475,0.03819,0.02687,0.04243,0.03890,0.01839, 1.000,0.02546,0.07850,0.02334,0.03324,0.1068,0.03748,0.05233
0.02405,0.05092,0.01909,0.04314,0.04173,0.02122,0.2730,0.03536,0.07992,0.05375,0.02546, 1.000,0.04950,0.04950,0.03253,0.03678,0.1782,0.05870
0.02970,0.02970,0.06153,0.02970,0.02687,0.07638,0.05941,0.2107,0.03890,0.03890,0.07850,0.04950, 1.000,0.05587,0.04738,0.04809,0.04173,0.1796
0.03748,0.06365,0.01697,0.02263,0.02758,0.03890,0.05587,0.03182,0.07992,0.03536,0.02334,0.04950,0.05587, 1.000,0.04880,0.03041,0.05516,0.07072
0.06436,0.05163,0.07496,0.02687,0.03536,0.02829,0.04526,0.03324,0.02546,0.04809,0.03324,0.03253,0.04738,0.04880, 1.000,0.06648,0.03041,0.02687
0.03819,0.02051,0.1103,0.05587,0.03465,0.02122,0.02900,0.03748,0.04314,0.03182,0.1068,0.03678,0.04809,0.03041,0.06648, 1.000,0.07709,0.03819
0.01980,0.03678,0.02051,0.06648,0.03182,0.01273,0.08628,0.04102,0.1223,0.03890,0.03748,0.1782,0.04173,0.05516,0.03041,0.07709, 1.000,0.02263
0.03819,0.01980,0.03395,0.01627,0.02263,0.06223,0.04950,0.04173,0.02617,0.03465,0.05233,0.05870,0.1796,0.07072,0.02687,0.03819,0.02263, 1.000
