Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.02309,0.02280,0.01847,0.03838,0.02771,0.06811,0.02136,0.02309,0.02395,0.02742,0.02540,0.02511,0.02915,0.04473,0.03694,0.02973,0.03059
0.02309, 1.000,0.03434,0.02222,0.03059,0.02626,0.02511,0.02107,0.02309,0.01847,0.01847,0.02511,0.02771,0.03608,0.02799,0.02915,0.02338,0.03867
0.02280,0.03434, 1.000,0.02107,0.02655,0.02222,0.07532,0.02222,0.02597,0.01876,0.02626,0.02540,0.01991,0.02626,0.03088,0.02367,0.02482,0.05339
0.01847,0.02222,0.02107, 1.000,0.02569,0.01558,0.01905,0.02136,0.02915,0.02020,0.02626,0.02309,0.02280,0.02597,0.02655,0.03088,0.03348,0.02973
0.03838,0.03059,0.02655,0.02569, 1.000,0.03059,0.02742,0.02107,0.02338,0.02424,0.02280,0.02395,0.03954,0.02771,0.02684,0.02309,0.02655,0.06349
0.02771,0.02626,0.02222,0.01558,0.03059, 1.000,0.03925,0.02626,0.05830,0.02251,0.04993,0.03781,0.03983,0.04387,0.02771,0.02338,0.01789,0.03088
0.06811,0.02511,0.07532,0.01905,0.02742,0.03925, 1.000,0.02049,0.03203,0.02367,0.01818,0.03723,0.03175,0.06667,0.04704,0.02424,0.02107,0.04012
0.02136,0.02107,0.02222,0.02136,0.02107,0.02626,0.02049, 1.000,0.02049,0.02482,0.02944,0.02886,0.1172,0.02626,0.02049,0.03117,0.02857,0.01847
0.02309,0.02309,0.02597,0.02915,0.02338,0.05830,0.03203,0.02049, 1.000,0.02222,0.03550,0.06234,0.02309,0.04646,0.02020,0.03434,0.04242,0.02424
0.02395,0.01847,0.01876,0.02020,0.02424,0.02251,0.02367,0.02482,0.02222, 1.000,0.02222,0.03665,0.02742,0.01934,0.02453,0.02395,0.02482,0.02713
0.02742,0.01847,0.02626,0.02626,0.02280,0.04993,0.01818,0.02944,0.03550,0.02222, 1.000,0.03463,0.03203,0.02540,0.02078,0.04300,0.01905,0.02424
0.02540,0.02511,0.02540,0.02309,0.02395,0.03781,0.03723,0.02886,0.06234,0.03665,0.03463, 1.000,0.02597,0.03290,0.02280,0.02799,0.05426,0.02367
0.02511,0.02771,0.01991,0.02280,0.03954,0.03983,0.03175,0.1172,0.02309,0.02742,0.03203,0.02597, 1.000,0.03319,0.02309,0.02453,0.01962,0.03492
0.02915,0.03608,0.02626,0.02597,0.02771,0.04387,0.06667,0.02626,0.04646,0.01934,0.02540,0.03290,0.03319, 1.000,0.02771,0.02742,0.02453,0.03954
0.04473,0.02799,0.03088,0.02655,0.02684,0.02771,0.04704,0.02049,0.02020,0.02453,0.02078,0.02280,0.02309,0.02771, 1.000,0.04675,0.02482,0.03521
0.03694,0.02915,0.02367,0.03088,0.02309,0.02338,0.02424,0.03117,0.03434,0.02395,0.04300,0.02799,0.02453,0.02742,0.04675, 1.000,0.06436,0.02626
0.02973,0.02338,0.02482,0.03348,0.02655,0.01789,0.02107,0.02857,0.04242,0.02482,0.01905,0.05426,0.01962,0.02453,0.02482,0.06436, 1.000,0.04444
0.03059,0.03867,0.05339,0.02973,0.06349,0.03088,0.04012,0.01847,0.02424,0.02713,0.02424,0.02367,0.03492,0.03954,0.03521,0.02626,0.04444, 1.000
