Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03476,0.02450,0.03989,0.02051,0.02963,0.01538,0.02051,0.01652,0.01538,0.03989,0.01368,0.03191,0.03704,0.04900,0.05185,0.01368,0.04444,0.03134
0.03476, 1.000,0.02393,0.01425,0.02222,0.02279,0.01311,0.02279,0.02222,0.02963,0.02906,0.01766,0.02222,0.02678,0.02621,0.01368,0.02735,0.02450,0.02222
0.02450,0.02393, 1.000,0.03191,0.03704,0.03191,0.02279,0.03875,0.02678,0.02393,0.02279,0.02108,0.03419,0.04046,0.02963,0.02222,0.04046,0.02963,0.01880
0.03989,0.01425,0.03191, 1.000,0.04160,0.01425,0.03305,0.01425,0.01709,0.02963,0.02735,0.02621,0.03134,0.01709,0.03704,0.03989,0.02963,0.01937,0.04444
0.02051,0.02222,0.03704,0.04160, 1.000,0.04160,0.03134,0.02792,0.02450,0.02678,0.03191,0.02621,0.04274,0.03362,0.05071,0.03134,0.03704,0.05071,0.04729
0.02963,0.02279,0.03191,0.01425,0.04160, 1.000,0.03134,0.01538,0.01994,0.02507,0.04387,0.01766,0.05470,0.02393,0.02279,0.02450,0.01880,0.04501,0.03818
0.01538,0.01311,0.02279,0.03305,0.03134,0.03134, 1.000,0.02792,0.04274,0.02507,0.01937,0.1413,0.02450,0.03932,0.03077,0.03020,0.01994,0.03077,0.02165
0.02051,0.02279,0.03875,0.01425,0.02792,0.01538,0.02792, 1.000,0.03362,0.02279,0.03704,0.03305,0.02108,0.02222,0.02450,0.02222,0.01709,0.02336,0.02621
0.01652,0.02222,0.02678,0.01709,0.02450,0.01994,0.04274,0.03362, 1.000,0.02564,0.01709,0.02564,0.02279,0.03989,0.01538,0.01254,0.02792,0.01937,0.01140
0.01538,0.02963,0.02393,0.02963,0.02678,0.02507,0.02507,0.02279,0.02564, 1.000,0.03875,0.02735,0.02336,0.02792,0.02849,0.02564,0.02564,0.02450,0.02165
0.03989,0.02906,0.02279,0.02735,0.03191,0.04387,0.01937,0.03704,0.01709,0.03875, 1.000,0.03305,0.03818,0.006268,0.02792,0.02279,0.01766,0.03020,0.03248
0.01368,0.01766,0.02108,0.02621,0.02621,0.01766,0.1413,0.03305,0.02564,0.02735,0.03305, 1.000,0.02792,0.02393,0.01652,0.02963,0.04274,0.03248,0.02108
0.03191,0.02222,0.03419,0.03134,0.04274,0.05470,0.02450,0.02108,0.02279,0.02336,0.03818,0.02792, 1.000,0.08091,0.03989,0.01880,0.03647,0.1413,0.04046
0.03704,0.02678,0.04046,0.01709,0.03362,0.02393,0.03932,0.02222,0.03989,0.02792,0.006268,0.02393,0.08091, 1.000,0.06496,0.02393,0.02678,0.07407,0.02963
0.04900,0.02621,0.02963,0.03704,0.05071,0.02279,0.03077,0.02450,0.01538,0.02849,0.02792,0.01652,0.03989,0.06496, 1.000,0.02678,0.03248,0.04274,0.04274
0.05185,0.01368,0.02222,0.03989,0.03134,0.02450,0.03020,0.02222,0.01254,0.02564,0.02279,0.02963,0.01880,0.02393,0.02678, 1.000,0.03248,0.02393,0.02222
0.01368,0.02735,0.04046,0.02963,0.03704,0.01880,0.01994,0.01709,0.02792,0.02564,0.01766,0.04274,0.03647,0.02678,0.03248,0.03248, 1.000,0.04217,0.04330
0.04444,0.02450,0.02963,0.01937,0.05071,0.04501,0.03077,0.02336,0.01937,0.02450,0.03020,0.03248,0.1413,0.07407,0.04274,0.02393,0.04217, 1.000,0.1618
0.03134,0.02222,0.01880,0.04444,0.04729,0.03818,0.02165,0.02621,0.01140,0.02165,0.03248,0.02108,0.04046,0.02963,0.04274,0.02222,0.04330,0.1618, 1.000
