Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.6163,0.4193,0.2607,0.2770,0.2504,0.2593,0.05926,0.06519,0.09185,0.04296,0.04296,0.09926,0.2267,0.1793,0.1822,0.1170,0.2000,0.2133
0.6163, 1.000,0.2696,0.1926,0.2696,0.3170,0.4459,0.03407,0.05926,0.1037,0.04444,0.07259,0.1126,0.2385,0.1481,0.1437,0.1037,0.2193,0.1941
0.4193,0.2696, 1.000,0.1733,0.1393,0.1244,0.1956,0.1274,0.05037,0.06963,0.03852,0.04148,0.06370,0.1437,0.1659,0.1867,0.09481,0.1496,0.1733
0.2607,0.1926,0.1733, 1.000,0.4667,0.2193,0.09630,0.05037,0.09037,0.08741,0.04889,0.02667,0.08889,0.08296,0.07111,0.1096,0.1007,0.1822,0.1630
0.2770,0.2696,0.1393,0.4667, 1.000,0.4089,0.1319,0.03111,0.04593,0.1481,0.05333,0.03259,0.1156,0.1215,0.08000,0.09926,0.1259,0.2133,0.1748
0.2504,0.3170,0.1244,0.2193,0.4089, 1.000,0.1822,0.02963,0.03556,0.1304,0.05333,0.02963,0.1037,0.1511,0.08889,0.09333,0.1067,0.2178,0.1733
0.2593,0.4459,0.1956,0.09630,0.1319,0.1822, 1.000,0.06074,0.05333,0.06519,0.06370,0.1511,0.1022,0.1630,0.1141,0.1067,0.06519,0.1644,0.1141
0.05926,0.03407,0.1274,0.05037,0.03111,0.02963,0.06074, 1.000,0.05481,0.03111,0.05185,0.02815,0.04444,0.03111,0.08000,0.08148,0.03556,0.01630,0.05333
0.06519,0.05926,0.05037,0.09037,0.04593,0.03556,0.05333,0.05481, 1.000,0.05185,0.02667,0.03407,0.04741,0.04889,0.02963,0.07407,0.07111,0.04000,0.07704
0.09185,0.1037,0.06963,0.08741,0.1481,0.1304,0.06519,0.03111,0.05185, 1.000,0.07111,0.02222,0.08889,0.07556,0.04593,0.04000,0.09926,0.1319,0.07704
0.04296,0.04444,0.03852,0.04889,0.05333,0.05333,0.06370,0.05185,0.02667,0.07111, 1.000,0.05333,0.07852,0.05778,0.03407,0.04000,0.04593,0.06074,0.04593
0.04296,0.07259,0.04148,0.02667,0.03259,0.02963,0.1511,0.02815,0.03407,0.02222,0.05333, 1.000,0.04889,0.08593,0.05778,0.02667,0.02519,0.04889,0.03556
0.09926,0.1126,0.06370,0.08889,0.1156,0.1037,0.1022,0.04444,0.04741,0.08889,0.07852,0.04889, 1.000,0.1393,0.02667,0.04148,0.05185,0.2326,0.04741
0.2267,0.2385,0.1437,0.08296,0.1215,0.1511,0.1630,0.03111,0.04889,0.07556,0.05778,0.08593,0.1393, 1.000,0.1437,0.07111,0.04148,0.2119,0.05333
0.1793,0.1481,0.1659,0.07111,0.08000,0.08889,0.1141,0.08000,0.02963,0.04593,0.03407,0.05778,0.02667,0.1437, 1.000,0.1867,0.03852,0.06815,0.07852
0.1822,0.1437,0.1867,0.1096,0.09926,0.09333,0.1067,0.08148,0.07407,0.04000,0.04000,0.02667,0.04148,0.07111,0.1867, 1.000,0.1467,0.05037,0.1970
0.1170,0.1037,0.09481,0.1007,0.1259,0.1067,0.06519,0.03556,0.07111,0.09926,0.04593,0.02519,0.05185,0.04148,0.03852,0.1467, 1.000,0.07407,0.2933
0.2000,0.2193,0.1496,0.1822,0.2133,0.2178,0.1644,0.01630,0.04000,0.1319,0.06074,0.04889,0.2326,0.2119,0.06815,0.05037,0.07407, 1.000,0.1052
0.2133,0.1941,0.1733,0.1630,0.1748,0.1733,0.1141,0.05333,0.07704,0.07704,0.04593,0.03556,0.04741,0.05333,0.07852,0.1970,0.2933,0.1052, 1.000
