Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.08821,0.2068,0.06120,0.03795,0.02188,0.02667,0.03077,0.02222,0.03453,0.02564,0.01709,0.01504,0.03350,0.2243,0.04786,0.04342,0.03043,0.07179
0.08821, 1.000,0.03453,0.02598,0.03145,0.07829,0.1655,0.02462,0.02188,0.02291,0.02017,0.03350,0.02427,0.03932,0.09265,0.02940,0.03179,0.05128,0.06496
0.2068,0.03453, 1.000,0.05949,0.03658,0.01915,0.01744,0.05265,0.02051,0.02462,0.02769,0.02427,0.02496,0.02291,0.06154,0.04581,0.03419,0.02598,0.04444
0.06120,0.02598,0.05949, 1.000,0.03829,0.02393,0.01880,0.02427,0.02564,0.02393,0.02769,0.02291,0.02393,0.01983,0.02701,0.03829,0.03350,0.03521,0.04684
0.03795,0.03145,0.03658,0.03829, 1.000,0.02872,0.01949,0.02701,0.02222,0.02359,0.02359,0.02598,0.02838,0.02632,0.04171,0.02462,0.02530,0.03316,0.03761
0.02188,0.07829,0.01915,0.02393,0.02872, 1.000,0.09641,0.02222,0.02256,0.01573,0.02667,0.01846,0.04376,0.03590,0.03487,0.02427,0.03009,0.05197,0.04376
0.02667,0.1655,0.01744,0.01880,0.01949,0.09641, 1.000,0.02222,0.02188,0.02325,0.02393,0.08239,0.02838,0.02803,0.04068,0.02154,0.01846,0.03214,0.03419
0.03077,0.02462,0.05265,0.02427,0.02701,0.02222,0.02222, 1.000,0.01880,0.02701,0.02906,0.03043,0.02154,0.02256,0.03179,0.01915,0.02017,0.02291,0.02051
0.02222,0.02188,0.02051,0.02564,0.02222,0.02256,0.02188,0.01880, 1.000,0.02838,0.02735,0.02427,0.02598,0.02359,0.02188,0.02188,0.02222,0.02325,0.02735
0.03453,0.02291,0.02462,0.02393,0.02359,0.01573,0.02325,0.02701,0.02838, 1.000,0.03009,0.01675,0.02803,0.02085,0.07145,0.01709,0.01812,0.01812,0.02462
0.02564,0.02017,0.02769,0.02769,0.02359,0.02667,0.02393,0.02906,0.02735,0.03009, 1.000,0.02667,0.03077,0.02462,0.02564,0.02735,0.02598,0.01983,0.02530
0.01709,0.03350,0.02427,0.02291,0.02598,0.01846,0.08239,0.03043,0.02427,0.01675,0.02667, 1.000,0.02325,0.02188,0.02325,0.02803,0.02769,0.02291,0.02120
0.01504,0.02427,0.02496,0.02393,0.02838,0.04376,0.02838,0.02154,0.02598,0.02803,0.03077,0.02325, 1.000,0.03419,0.02017,0.02291,0.02051,0.05060,0.02803
0.03350,0.03932,0.02291,0.01983,0.02632,0.03590,0.02803,0.02256,0.02359,0.02085,0.02462,0.02188,0.03419, 1.000,0.04786,0.02564,0.01949,0.02632,0.02598
0.2243,0.09265,0.06154,0.02701,0.04171,0.03487,0.04068,0.03179,0.02188,0.07145,0.02564,0.02325,0.02017,0.04786, 1.000,0.03111,0.02735,0.03590,0.04274
0.04786,0.02940,0.04581,0.03829,0.02462,0.02427,0.02154,0.01915,0.02188,0.01709,0.02735,0.02803,0.02291,0.02564,0.03111, 1.000,0.02393,0.02838,0.02974
0.04342,0.03179,0.03419,0.03350,0.02530,0.03009,0.01846,0.02017,0.02222,0.01812,0.02598,0.02769,0.02051,0.01949,0.02735,0.02393, 1.000,0.02701,0.1812
0.03043,0.05128,0.02598,0.03521,0.03316,0.05197,0.03214,0.02291,0.02325,0.01812,0.01983,0.02291,0.05060,0.02632,0.03590,0.02838,0.02701, 1.000,0.07932
0.07179,0.06496,0.04444,0.04684,0.03761,0.04376,0.03419,0.02051,0.02735,0.02462,0.02530,0.02120,0.02803,0.02598,0.04274,0.02974,0.1812,0.07932, 1.000
