Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.07359,0.04329,0.05628,0.04473,0.03030,0.03463,0.01732,0.01299,0.03608,0.02886,0.02886,0.01732,0.03463,0.06205,0.06638,0.02165,0.03175,0.05339
0.07359, 1.000,0.04040,0.02597,0.05195,0.06926,0.06061,0.02453,0.03752,0.03175,0.01876,0.02020,0.03030,0.04906,0.06349,0.06638,0.02742,0.07648,0.05628
0.04329,0.04040, 1.000,0.04040,0.02020,0.05051,0.04185,0.09235,0.04618,0.02165,0.05772,0.01732,0.02165,0.03608,0.07504,0.09091,0.03752,0.02309,0.02309
0.05628,0.02597,0.04040, 1.000,0.1429,0.04906,0.03175,0.03030,0.03752,0.03608,0.03463,0.02453,0.05916,0.04618,0.06205,0.06349,0.09091,0.04329,0.08081
0.04473,0.05195,0.02020,0.1429, 1.000,0.1847,0.04329,0.04473,0.03896,0.03030,0.04329,0.02453,0.08081,0.06061,0.04618,0.06494,0.08947,0.1039,0.1140
0.03030,0.06926,0.05051,0.04906,0.1847, 1.000,0.07071,0.03030,0.01732,0.03319,0.04762,0.02020,0.09812,0.07937,0.06205,0.05339,0.05339,0.1111,0.07937
0.03463,0.06061,0.04185,0.03175,0.04329,0.07071, 1.000,0.01154,0.03896,0.02165,0.02165,0.08225,0.03175,0.07359,0.09668,0.03608,0.02597,0.04329,0.02309
0.01732,0.02453,0.09235,0.03030,0.04473,0.03030,0.01154, 1.000,0.03175,0.04040,0.04762,0.01443,0.1241,0.04040,0.02886,0.05051,0.01876,0.03896,0.03608
0.01299,0.03752,0.04618,0.03752,0.03896,0.01732,0.03896,0.03175, 1.000,0.08225,0.02453,0.02453,0.03030,0.06638,0.02020,0.05483,0.08658,0.02886,0.06494
0.03608,0.03175,0.02165,0.03608,0.03030,0.03319,0.02165,0.04040,0.08225, 1.000,0.07071,0.04040,0.03175,0.03896,0.03752,0.05195,0.03319,0.03463,0.04329
0.02886,0.01876,0.05772,0.03463,0.04329,0.04762,0.02165,0.04762,0.02453,0.07071, 1.000,0.03319,0.04329,0.02020,0.01299,0.02597,0.02742,0.02742,0.03319
0.02886,0.02020,0.01732,0.02453,0.02453,0.02020,0.08225,0.01443,0.02453,0.04040,0.03319, 1.000,0.03319,0.05339,0.02886,0.03175,0.04762,0.03319,0.02309
0.01732,0.03030,0.02165,0.05916,0.08081,0.09812,0.03175,0.1241,0.03030,0.03175,0.04329,0.03319, 1.000,0.05483,0.01876,0.03463,0.04618,0.07359,0.02309
0.03463,0.04906,0.03608,0.04618,0.06061,0.07937,0.07359,0.04040,0.06638,0.03896,0.02020,0.05339,0.05483, 1.000,0.08802,0.03608,0.01587,0.08369,0.01732
0.06205,0.06349,0.07504,0.06205,0.04618,0.06205,0.09668,0.02886,0.02020,0.03752,0.01299,0.02886,0.01876,0.08802, 1.000,0.1255,0.03608,0.04618,0.06638
0.06638,0.06638,0.09091,0.06349,0.06494,0.05339,0.03608,0.05051,0.05483,0.05195,0.02597,0.03175,0.03463,0.03608,0.1255, 1.000,0.09668,0.03319,0.1414
0.02165,0.02742,0.03752,0.09091,0.08947,0.05339,0.02597,0.01876,0.08658,0.03319,0.02742,0.04762,0.04618,0.01587,0.03608,0.09668, 1.000,0.04906,0.2381
0.03175,0.07648,0.02309,0.04329,0.1039,0.1111,0.04329,0.03896,0.02886,0.03463,0.02742,0.03319,0.07359,0.08369,0.04618,0.03319,0.04906, 1.000,0.06494
0.05339,0.05628,0.02309,0.08081,0.1140,0.07937,0.02309,0.03608,0.06494,0.04329,0.03319,0.02309,0.02309,0.01732,0.06638,0.1414,0.2381,0.06494, 1.000
