Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.2683,0.08696,0.09503,0.05714,0.03230,0.03913,0.02919,0.02981,0.02981,0.04596,0.01242,0.03168,0.03540,0.08137,0.04969,0.03478,0.04783
0.2683, 1.000,0.04596,0.05528,0.05652,0.07329,0.09627,0.02857,0.03851,0.02795,0.03106,0.03665,0.04161,0.06025,0.09006,0.04596,0.03416,0.04969
0.08696,0.04596, 1.000,0.07578,0.03851,0.03478,0.03975,0.1311,0.02360,0.02422,0.05155,0.02050,0.02547,0.03230,0.08820,0.08385,0.03602,0.03478
0.09503,0.05528,0.07578, 1.000,0.1547,0.04845,0.02609,0.03665,0.02733,0.02857,0.03665,0.02484,0.03727,0.03478,0.04286,0.07453,0.05963,0.07453
0.05714,0.05652,0.03851,0.1547, 1.000,0.09814,0.03106,0.02671,0.04286,0.02857,0.03043,0.02422,0.04845,0.03230,0.04099,0.05714,0.06770,0.07640
0.03230,0.07329,0.03478,0.04845,0.09814, 1.000,0.08447,0.02919,0.05652,0.02919,0.04410,0.04037,0.04907,0.07888,0.07019,0.03230,0.03913,0.09006
0.03913,0.09627,0.03975,0.02609,0.03106,0.08447, 1.000,0.02236,0.05652,0.03665,0.02609,0.08261,0.02174,0.1037,0.1180,0.03913,0.02547,0.03665
0.02919,0.02857,0.1311,0.03665,0.02671,0.02919,0.02236, 1.000,0.03292,0.02609,0.06025,0.01988,0.07950,0.02050,0.04658,0.06646,0.04720,0.02671
0.02981,0.03851,0.02360,0.02733,0.04286,0.05652,0.05652,0.03292, 1.000,0.03168,0.03043,0.05776,0.03230,0.04472,0.02671,0.03727,0.04658,0.04348
0.02981,0.02795,0.02422,0.02857,0.02857,0.02919,0.03665,0.02609,0.03168, 1.000,0.03602,0.04969,0.03727,0.02609,0.02422,0.02360,0.04907,0.04472
0.04596,0.03106,0.05155,0.03665,0.03043,0.04410,0.02609,0.06025,0.03043,0.03602, 1.000,0.04099,0.03727,0.03727,0.02733,0.03292,0.01429,0.04037
0.01242,0.03665,0.02050,0.02484,0.02422,0.04037,0.08261,0.01988,0.05776,0.04969,0.04099, 1.000,0.02547,0.06522,0.03292,0.02174,0.06584,0.03354
0.03168,0.04161,0.02547,0.03727,0.04845,0.04907,0.02174,0.07950,0.03230,0.03727,0.03727,0.02547, 1.000,0.06646,0.01615,0.03230,0.02671,0.06957
0.03540,0.06025,0.03230,0.03478,0.03230,0.07888,0.1037,0.02050,0.04472,0.02609,0.03727,0.06522,0.06646, 1.000,0.08261,0.02857,0.02112,0.1025
0.08137,0.09006,0.08820,0.04286,0.04099,0.07019,0.1180,0.04658,0.02671,0.02422,0.02733,0.03292,0.01615,0.08261, 1.000,0.06087,0.03043,0.06273
0.04969,0.04596,0.08385,0.07453,0.05714,0.03230,0.03913,0.06646,0.03727,0.02360,0.03292,0.02174,0.03230,0.02857,0.06087, 1.000,0.08820,0.05963
0.03478,0.03416,0.03602,0.05963,0.06770,0.03913,0.02547,0.04720,0.04658,0.04907,0.01429,0.06584,0.02671,0.02112,0.03043,0.08820, 1.000,0.04907
0.04783,0.04969,0.03478,0.07453,0.07640,0.09006,0.03665,0.02671,0.04348,0.04472,0.04037,0.03354,0.06957,0.1025,0.06273,0.05963,0.04907, 1.000
