Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.2041,0.2174,0.1184,0.06370,0.05380,0.08287,0.04113,0.04360,0.05102,0.04174,0.03185,0.03803,0.04360,0.1172,0.06834,0.04113,0.04886
0.2041, 1.000,0.1243,0.09988,0.06865,0.07050,0.1095,0.03463,0.04545,0.04174,0.03834,0.03989,0.03680,0.05844,0.09184,0.04236,0.03061,0.06153
0.2174,0.1243, 1.000,0.07978,0.04947,0.03401,0.06555,0.05906,0.04329,0.06277,0.05164,0.03123,0.02814,0.02783,0.08967,0.09431,0.04391,0.03587
0.1184,0.09988,0.07978, 1.000,0.1478,0.08534,0.05009,0.03216,0.06555,0.05875,0.04267,0.04484,0.05318,0.03030,0.05071,0.05442,0.08071,0.06586
0.06370,0.06865,0.04947,0.1478, 1.000,0.1824,0.04267,0.03525,0.03741,0.06463,0.04545,0.03494,0.07205,0.03154,0.03958,0.03803,0.06617,0.08287
0.05380,0.07050,0.03401,0.08534,0.1824, 1.000,0.04793,0.03216,0.03525,0.05040,0.05195,0.02814,0.07854,0.03494,0.03865,0.03247,0.06122,0.08844
0.08287,0.1095,0.06555,0.05009,0.04267,0.04793, 1.000,0.02783,0.03989,0.02752,0.03185,0.05535,0.03803,0.08874,0.06741,0.03092,0.03618,0.05473
0.04113,0.03463,0.05906,0.03216,0.03525,0.03216,0.02783, 1.000,0.03463,0.05659,0.06648,0.02474,0.04762,0.02103,0.05288,0.06617,0.03834,0.03401
0.04360,0.04545,0.04329,0.06555,0.03741,0.03525,0.03989,0.03463, 1.000,0.05102,0.03401,0.04051,0.02783,0.05133,0.05628,0.03680,0.04886,0.02938
0.05102,0.04174,0.06277,0.05875,0.06463,0.05040,0.02752,0.05659,0.05102, 1.000,0.07545,0.03927,0.07483,0.02876,0.08998,0.04638,0.09555,0.06710
0.04174,0.03834,0.05164,0.04267,0.04545,0.05195,0.03185,0.06648,0.03401,0.07545, 1.000,0.02814,0.06772,0.03309,0.05380,0.08689,0.04391,0.05473
0.03185,0.03989,0.03123,0.04484,0.03494,0.02814,0.05535,0.02474,0.04051,0.03927,0.02814, 1.000,0.02474,0.05442,0.04700,0.02721,0.03741,0.02505
0.03803,0.03680,0.02814,0.05318,0.07205,0.07854,0.03803,0.04762,0.02783,0.07483,0.06772,0.02474, 1.000,0.03154,0.03247,0.04267,0.03680,0.1509
0.04360,0.05844,0.02783,0.03030,0.03154,0.03494,0.08874,0.02103,0.05133,0.02876,0.03309,0.05442,0.03154, 1.000,0.07947,0.02628,0.02536,0.03401
0.1172,0.09184,0.08967,0.05071,0.03958,0.03865,0.06741,0.05288,0.05628,0.08998,0.05380,0.04700,0.03247,0.07947, 1.000,0.05813,0.04298,0.03556
0.06834,0.04236,0.09431,0.05442,0.03803,0.03247,0.03092,0.06617,0.03680,0.04638,0.08689,0.02721,0.04267,0.02628,0.05813, 1.000,0.05040,0.02690
0.04113,0.03061,0.04391,0.08071,0.06617,0.06122,0.03618,0.03834,0.04886,0.09555,0.04391,0.03741,0.03680,0.02536,0.04298,0.05040, 1.000,0.05566
0.04886,0.06153,0.03587,0.06586,0.08287,0.08844,0.05473,0.03401,0.02938,0.06710,0.05473,0.02505,0.1509,0.03401,0.03556,0.02690,0.05566, 1.000
