Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1681,0.2153,0.1788,0.09329,0.1127,0.06657,0.05394,0.04373,0.03013,0.02478,0.02138,0.03013,0.07094,0.07677,0.09913,0.04519,0.09961,0.1190
0.1681, 1.000,0.06997,0.09232,0.1030,0.1540,0.1832,0.02672,0.02575,0.03304,0.03984,0.03207,0.02964,0.1084,0.07094,0.06317,0.03158,0.1234,0.07386
0.2153,0.06997, 1.000,0.1064,0.04422,0.04568,0.03887,0.06754,0.04276,0.02187,0.02381,0.02381,0.03256,0.03596,0.06851,0.08017,0.02964,0.05296,0.07434
0.1788,0.09232,0.1064, 1.000,0.2357,0.1526,0.03790,0.02478,0.09475,0.06948,0.03741,0.01603,0.02915,0.03644,0.02915,0.06608,0.09038,0.07775,0.1424
0.09329,0.1030,0.04422,0.2357, 1.000,0.3431,0.04082,0.02770,0.05199,0.1142,0.05296,0.01749,0.04568,0.04762,0.02915,0.03499,0.07094,0.1079,0.1113
0.1127,0.1540,0.04568,0.1526,0.3431, 1.000,0.06414,0.03256,0.03110,0.07191,0.08844,0.01166,0.05782,0.05637,0.02915,0.04179,0.06220,0.1351,0.1273
0.06657,0.1832,0.03887,0.03790,0.04082,0.06414, 1.000,0.02235,0.02818,0.02721,0.03499,0.05831,0.02867,0.06851,0.07532,0.03984,0.02818,0.05005,0.05151
0.05394,0.02672,0.06754,0.02478,0.02770,0.03256,0.02235, 1.000,0.02430,0.02284,0.02818,0.02818,0.03693,0.02818,0.04179,0.03936,0.02187,0.03061,0.03499
0.04373,0.02575,0.04276,0.09475,0.05199,0.03110,0.02818,0.02430, 1.000,0.09086,0.01701,0.05539,0.02915,0.03790,0.02089,0.03304,0.1084,0.01992,0.05782
0.03013,0.03304,0.02187,0.06948,0.1142,0.07191,0.02721,0.02284,0.09086, 1.000,0.05782,0.03110,0.04956,0.03304,0.02575,0.02284,0.06025,0.05102,0.04568
0.02478,0.03984,0.02381,0.03741,0.05296,0.08844,0.03499,0.02818,0.01701,0.05782, 1.000,0.02624,0.08260,0.03304,0.02624,0.02187,0.02672,0.05782,0.03158
0.02138,0.03207,0.02381,0.01603,0.01749,0.01166,0.05831,0.02818,0.05539,0.03110,0.02624, 1.000,0.02478,0.05394,0.04227,0.01895,0.03790,0.02575,0.02575
0.03013,0.02964,0.03256,0.02915,0.04568,0.05782,0.02867,0.03693,0.02915,0.04956,0.08260,0.02478, 1.000,0.04470,0.02964,0.02235,0.02867,0.07240,0.02672
0.07094,0.1084,0.03596,0.03644,0.04762,0.05637,0.06851,0.02818,0.03790,0.03304,0.03304,0.05394,0.04470, 1.000,0.07775,0.03644,0.02478,0.06463,0.03013
0.07677,0.07094,0.06851,0.02915,0.02915,0.02915,0.07532,0.04179,0.02089,0.02575,0.02624,0.04227,0.02964,0.07775, 1.000,0.07143,0.02770,0.03061,0.04956
0.09913,0.06317,0.08017,0.06608,0.03499,0.04179,0.03984,0.03936,0.03304,0.02284,0.02187,0.01895,0.02235,0.03644,0.07143, 1.000,0.05199,0.04082,0.09378
0.04519,0.03158,0.02964,0.09038,0.07094,0.06220,0.02818,0.02187,0.1084,0.06025,0.02672,0.03790,0.02867,0.02478,0.02770,0.05199, 1.000,0.02089,0.1006
0.09961,0.1234,0.05296,0.07775,0.1079,0.1351,0.05005,0.03061,0.01992,0.05102,0.05782,0.02575,0.07240,0.06463,0.03061,0.04082,0.02089, 1.000,0.05977
0.1190,0.07386,0.07434,0.1424,0.1113,0.1273,0.05151,0.03499,0.05782,0.04568,0.03158,0.02575,0.02672,0.03013,0.04956,0.09378,0.1006,0.05977, 1.000
