Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3333,0.1090,0.09034,0.1153,0.08100,0.07788,0.02181,0.02492,0.009346,0.009346,0.01869,0.02181,0.03115,0.07788,0.08100,0.03115,0.09969,0.1495
0.3333, 1.000,0.08723,0.06231,0.09346,0.09034,0.09969,0.04673,0.04050,0.01246,0.009346,0.006231,0.03738,0.03115,0.1121,0.08723,0.02181,0.09034,0.08100
0.1090,0.08723, 1.000,0.06854,0.02804,0.04673,0.01558,0.05296,0.04361,0.02181,0.04984,0.03738,0.03115,0.03115,0.04050,0.06854,0.03738,0.04984,0.04361
0.09034,0.06231,0.06854, 1.000,0.1651,0.08411,0.04673,0.04050,0.08411,0.04050,0.003115,0.02492,0.04050,0.03738,0.01869,0.1433,0.1277,0.09034,0.1308
0.1153,0.09346,0.02804,0.1651, 1.000,0.2056,0.04673,0.06854,0.01558,0.08411,0.01246,0.02181,0.06854,0.06542,0.03427,0.06542,0.1059,0.1215,0.1371
0.08100,0.09034,0.04673,0.08411,0.2056, 1.000,0.1184,0.04361,0.02492,0.02804,0.04361,0.03738,0.08100,0.1184,0.04673,0.04984,0.06542,0.09034,0.07788
0.07788,0.09969,0.01558,0.04673,0.04673,0.1184, 1.000,0.04673,0.04361,0.03738,0.03427,0.04984,0.03115,0.1433,0.03115,0.02492,0.03738,0.08723,0.03738
0.02181,0.04673,0.05296,0.04050,0.06854,0.04361,0.04673, 1.000,0.03738,0.01869,0.06542,0.03427,0.1153,0.06231,0.04984,0.01558,0.03115,0.04984,0.02804
0.02492,0.04050,0.04361,0.08411,0.01558,0.02492,0.04361,0.03738, 1.000,0.04673,0.02492,0.06542,0.009346,0.03115,0.04984,0.01558,0.05296,0.02492,0.06542
0.009346,0.01246,0.02181,0.04050,0.08411,0.02804,0.03738,0.01869,0.04673, 1.000,0.06854,0.01246,0.01246,0.02804,0.02804,0.04361,0.06231,0.01246,0.04673
0.009346,0.009346,0.04984,0.003115,0.01246,0.04361,0.03427,0.06542,0.02492,0.06854, 1.000,0.02804,0.1121,0.04361,0.01246,0.01246,0.003115,0.04984,0.01869
0.01869,0.006231,0.03738,0.02492,0.02181,0.03738,0.04984,0.03427,0.06542,0.01246,0.02804, 1.000,0.02804,0.1090,0.03738,0.01246,0.07477,0.03738,0.02492
0.02181,0.03738,0.03115,0.04050,0.06854,0.08100,0.03115,0.1153,0.009346,0.01246,0.1121,0.02804, 1.000,0.09346,0.01558,0.009346,0.01869,0.1682,0.04361
0.03115,0.03115,0.03115,0.03738,0.06542,0.1184,0.1433,0.06231,0.03115,0.02804,0.04361,0.1090,0.09346, 1.000,0.1059,0.009346,0.01246,0.09969,0.01869
0.07788,0.1121,0.04050,0.01869,0.03427,0.04673,0.03115,0.04984,0.04984,0.02804,0.01246,0.03738,0.01558,0.1059, 1.000,0.1090,0.03427,0.04050,0.04050
0.08100,0.08723,0.06854,0.1433,0.06542,0.04984,0.02492,0.01558,0.01558,0.04361,0.01246,0.01246,0.009346,0.009346,0.1090, 1.000,0.09034,0.02181,0.1153
0.03115,0.02181,0.03738,0.1277,0.1059,0.06542,0.03738,0.03115,0.05296,0.06231,0.003115,0.07477,0.01869,0.01246,0.03427,0.09034, 1.000,0.01869,0.2648
0.09969,0.09034,0.04984,0.09034,0.1215,0.09034,0.08723,0.04984,0.02492,0.01246,0.04984,0.03738,0.1682,0.09969,0.04050,0.02181,0.01869, 1.000,0.09034
0.1495,0.08100,0.04361,0.1308,0.1371,0.07788,0.03738,0.02804,0.06542,0.04673,0.01869,0.02492,0.04361,0.01869,0.04050,0.1153,0.2648,0.09034, 1.000
