Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04919,0.02908,0.05218,0.04833,0.02994,0.03636,0.02053,0.02139,0.01882,0.03251,0.02524,0.02181,0.03122,0.07100,0.06330,0.02352,0.03379,0.04320
0.04919, 1.000,0.03293,0.02352,0.03721,0.04021,0.08640,0.01411,0.03080,0.02524,0.03593,0.05175,0.02224,0.06501,0.1176,0.07399,0.03379,0.03764,0.05133
0.02908,0.03293, 1.000,0.04448,0.03208,0.02352,0.07271,0.03122,0.01668,0.02352,0.02823,0.02139,0.02780,0.03935,0.05731,0.06929,0.04405,0.02737,0.05432
0.05218,0.02352,0.04448, 1.000,0.1506,0.02695,0.02780,0.03165,0.04919,0.03550,0.02524,0.02866,0.02566,0.03080,0.03464,0.05475,0.06886,0.02951,0.06416
0.04833,0.03721,0.03208,0.1506, 1.000,0.08127,0.02438,0.02652,0.03464,0.08640,0.03293,0.02438,0.04577,0.04021,0.03593,0.04962,0.05603,0.05175,0.1014
0.02994,0.04021,0.02352,0.02695,0.08127, 1.000,0.05004,0.02267,0.02951,0.03336,0.04021,0.02866,0.04277,0.07442,0.03849,0.03208,0.02352,0.06587,0.03935
0.03636,0.08640,0.07271,0.02780,0.02438,0.05004, 1.000,0.01369,0.03764,0.03208,0.02481,0.07143,0.03935,0.08169,0.07956,0.03935,0.02994,0.05218,0.03678
0.02053,0.01411,0.03122,0.03165,0.02652,0.02267,0.01369, 1.000,0.02823,0.03251,0.03892,0.02908,0.04234,0.02481,0.02737,0.04748,0.02951,0.02395,0.02737
0.02139,0.03080,0.01668,0.04919,0.03464,0.02951,0.03764,0.02823, 1.000,0.04192,0.02395,0.05988,0.02481,0.03849,0.02866,0.02652,0.05346,0.02096,0.03464
0.01882,0.02524,0.02352,0.03550,0.08640,0.03336,0.03208,0.03251,0.04192, 1.000,0.03978,0.03422,0.04234,0.02096,0.02737,0.03165,0.02994,0.02823,0.02951
0.03251,0.03593,0.02823,0.02524,0.03293,0.04021,0.02481,0.03892,0.02395,0.03978, 1.000,0.04021,0.06843,0.04534,0.02695,0.04277,0.02481,0.03251,0.03037
0.02524,0.05175,0.02139,0.02866,0.02438,0.02866,0.07143,0.02908,0.05988,0.03422,0.04021, 1.000,0.04705,0.04192,0.03251,0.01882,0.04063,0.03165,0.02780
0.02181,0.02224,0.02780,0.02566,0.04577,0.04277,0.03935,0.04234,0.02481,0.04234,0.06843,0.04705, 1.000,0.06501,0.02609,0.02737,0.02481,0.09153,0.03807
0.03122,0.06501,0.03935,0.03080,0.04021,0.07442,0.08169,0.02481,0.03849,0.02096,0.04534,0.04192,0.06501, 1.000,0.06587,0.02780,0.01882,0.09324,0.03165
0.07100,0.1176,0.05731,0.03464,0.03593,0.03849,0.07956,0.02737,0.02866,0.02737,0.02695,0.03251,0.02609,0.06587, 1.000,0.09367,0.03422,0.02566,0.03807
0.06330,0.07399,0.06929,0.05475,0.04962,0.03208,0.03935,0.04748,0.02652,0.03165,0.04277,0.01882,0.02737,0.02780,0.09367, 1.000,0.05731,0.02096,0.05817
0.02352,0.03379,0.04405,0.06886,0.05603,0.02352,0.02994,0.02951,0.05346,0.02994,0.02481,0.04063,0.02481,0.01882,0.03422,0.05731, 1.000,0.02139,0.1146
0.03379,0.03764,0.02737,0.02951,0.05175,0.06587,0.05218,0.02395,0.02096,0.02823,0.03251,0.03165,0.09153,0.09324,0.02566,0.02096,0.02139, 1.000,0.05774
0.04320,0.05133,0.05432,0.06416,0.1014,0.03935,0.03678,0.02737,0.03464,0.02951,0.03037,0.02780,0.03807,0.03165,0.03807,0.05817,0.1146,0.05774, 1.000
