Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1727,0.1220,0.1416,0.07388,0.04939,0.04776,0.02898,0.01510,0.03224,0.04286,0.03469,0.04041,0.04816,0.09755,0.07388,0.04122,0.05224,0.06612
0.1727, 1.000,0.08490,0.2335,0.2461,0.1678,0.1269,0.02980,0.02980,0.02408,0.03102,0.03469,0.07592,0.08939,0.1363,0.06041,0.04082,0.1351,0.1000
0.1220,0.08490, 1.000,0.1253,0.04776,0.03959,0.04000,0.03510,0.02367,0.03837,0.06939,0.02653,0.03061,0.03102,0.1094,0.1155,0.05020,0.03755,0.05551
0.1416,0.2335,0.1253, 1.000,0.2078,0.07224,0.04245,0.02939,0.02367,0.02408,0.03633,0.02367,0.05265,0.04000,0.08367,0.1135,0.1069,0.07796,0.1608
0.07388,0.2461,0.04776,0.2078, 1.000,0.1743,0.07020,0.03143,0.02735,0.03551,0.02531,0.02612,0.07510,0.06327,0.06122,0.06327,0.05633,0.1049,0.09755
0.04939,0.1678,0.03959,0.07224,0.1743, 1.000,0.2065,0.03347,0.02653,0.04408,0.04082,0.04204,0.09592,0.09714,0.06327,0.03061,0.02612,0.1457,0.06857
0.04776,0.1269,0.04000,0.04245,0.07020,0.2065, 1.000,0.03224,0.04082,0.03224,0.02980,0.09306,0.06122,0.1286,0.09265,0.04082,0.02245,0.07755,0.04735
0.02898,0.02980,0.03510,0.02939,0.03143,0.03347,0.03224, 1.000,0.02694,0.03469,0.04939,0.02898,0.03796,0.02735,0.02980,0.04980,0.03755,0.02571,0.03551
0.01510,0.02980,0.02367,0.02367,0.02735,0.02653,0.04082,0.02694, 1.000,0.03347,0.02816,0.05102,0.02816,0.06041,0.02612,0.03224,0.06000,0.01796,0.03347
0.03224,0.02408,0.03837,0.02408,0.03551,0.04408,0.03224,0.03469,0.03347, 1.000,0.04898,0.02816,0.04694,0.01959,0.02612,0.02082,0.02816,0.04531,0.03388
0.04286,0.03102,0.06939,0.03633,0.02531,0.04082,0.02980,0.04939,0.02816,0.04898, 1.000,0.02980,0.04327,0.02367,0.04449,0.06571,0.04490,0.02980,0.03061
0.03469,0.03469,0.02653,0.02367,0.02612,0.04204,0.09306,0.02898,0.05102,0.02816,0.02980, 1.000,0.05388,0.05633,0.02776,0.03020,0.02939,0.02857,0.02408
0.04041,0.07592,0.03061,0.05265,0.07510,0.09592,0.06122,0.03796,0.02816,0.04694,0.04327,0.05388, 1.000,0.1208,0.03020,0.02571,0.02857,0.1253,0.03469
0.04816,0.08939,0.03102,0.04000,0.06327,0.09714,0.1286,0.02735,0.06041,0.01959,0.02367,0.05633,0.1208, 1.000,0.06816,0.03633,0.02490,0.08653,0.02816
0.09755,0.1363,0.1094,0.08367,0.06122,0.06327,0.09265,0.02980,0.02612,0.02612,0.04449,0.02776,0.03020,0.06816, 1.000,0.1033,0.04000,0.04612,0.05592
0.07388,0.06041,0.1155,0.1135,0.06327,0.03061,0.04082,0.04980,0.03224,0.02082,0.06571,0.03020,0.02571,0.03633,0.1033, 1.000,0.08408,0.02531,0.06857
0.04122,0.04082,0.05020,0.1069,0.05633,0.02612,0.02245,0.03755,0.06000,0.02816,0.04490,0.02939,0.02857,0.02490,0.04000,0.08408, 1.000,0.04286,0.2633
0.05224,0.1351,0.03755,0.07796,0.1049,0.1457,0.07755,0.02571,0.01796,0.04531,0.02980,0.02857,0.1253,0.08653,0.04612,0.02531,0.04286, 1.000,0.1029
0.06612,0.1000,0.05551,0.1608,0.09755,0.06857,0.04735,0.03551,0.03347,0.03388,0.03061,0.02408,0.03469,0.02816,0.05592,0.06857,0.2633,0.1029, 1.000
