Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1591,0.1246,0.2522,0.2152,0.1197,0.2068,0.03557,0.07606,0.07721,0.05090,0.04251,0.07721,0.07114,0.06102,0.1076,0.1174,0.1296,0.1816
0.1591, 1.000,0.06102,0.1411,0.1932,0.1825,0.2733,0.02921,0.06131,0.07519,0.06073,0.04049,0.07432,0.07432,0.04425,0.07259,0.08300,0.1348,0.1434
0.1246,0.06102, 1.000,0.09803,0.06073,0.05090,0.05899,0.05495,0.05842,0.05437,0.04714,0.03094,0.03846,0.03933,0.05292,0.09630,0.06825,0.05639,0.07721
0.2522,0.1411,0.09803, 1.000,0.2001,0.1050,0.1252,0.03123,0.1128,0.1047,0.05957,0.04887,0.07981,0.04714,0.03123,0.08647,0.1573,0.1319,0.2039
0.2152,0.1932,0.06073,0.2001, 1.000,0.2420,0.2322,0.03441,0.06883,0.1209,0.06651,0.03846,0.09717,0.06246,0.03846,0.06767,0.1110,0.1339,0.1559
0.1197,0.1825,0.05090,0.1050,0.2420, 1.000,0.2915,0.04511,0.05321,0.1252,0.09051,0.04425,0.1293,0.07287,0.03499,0.04251,0.08155,0.1478,0.1099
0.2068,0.2733,0.05899,0.1252,0.2322,0.2915, 1.000,0.03991,0.07721,0.08473,0.07721,0.05726,0.1058,0.1353,0.05176,0.04598,0.07663,0.1816,0.1191
0.03557,0.02921,0.05495,0.03123,0.03441,0.04511,0.03991, 1.000,0.03239,0.04858,0.08039,0.04511,0.06189,0.03383,0.03210,0.05928,0.03904,0.02805,0.03470
0.07606,0.06131,0.05842,0.1128,0.06883,0.05321,0.07721,0.03239, 1.000,0.07461,0.05090,0.06796,0.04858,0.05032,0.03586,0.06622,0.1183,0.05928,0.09398
0.07721,0.07519,0.05437,0.1047,0.1209,0.1252,0.08473,0.04858,0.07461, 1.000,0.08994,0.03152,0.09341,0.04078,0.04945,0.04135,0.09341,0.09283,0.08733
0.05090,0.06073,0.04714,0.05957,0.06651,0.09051,0.07721,0.08039,0.05090,0.08994, 1.000,0.05147,0.09861,0.05176,0.02776,0.04135,0.05176,0.07779,0.05176
0.04251,0.04049,0.03094,0.04887,0.03846,0.04425,0.05726,0.04511,0.06796,0.03152,0.05147, 1.000,0.05263,0.1064,0.03586,0.03991,0.05234,0.05437,0.03846
0.07721,0.07432,0.03846,0.07981,0.09717,0.1293,0.1058,0.06189,0.04858,0.09341,0.09861,0.05263, 1.000,0.1067,0.03239,0.04280,0.05147,0.2108,0.05321
0.07114,0.07432,0.03933,0.04714,0.06246,0.07287,0.1353,0.03383,0.05032,0.04078,0.05176,0.1064,0.1067, 1.000,0.04482,0.03355,0.03499,0.1217,0.04193
0.06102,0.04425,0.05292,0.03123,0.03846,0.03499,0.05176,0.03210,0.03586,0.04945,0.02776,0.03586,0.03239,0.04482, 1.000,0.04338,0.03499,0.03499,0.04367
0.1076,0.07259,0.09630,0.08647,0.06767,0.04251,0.04598,0.05928,0.06622,0.04135,0.04135,0.03991,0.04280,0.03355,0.04338, 1.000,0.1090,0.03673,0.1189
0.1174,0.08300,0.06825,0.1573,0.1110,0.08155,0.07663,0.03904,0.1183,0.09341,0.05176,0.05234,0.05147,0.03499,0.03499,0.1090, 1.000,0.05842,0.3161
0.1296,0.1348,0.05639,0.1319,0.1339,0.1478,0.1816,0.02805,0.05928,0.09283,0.07779,0.05437,0.2108,0.1217,0.03499,0.03673,0.05842, 1.000,0.08676
0.1816,0.1434,0.07721,0.2039,0.1559,0.1099,0.1191,0.03470,0.09398,0.08733,0.05176,0.03846,0.05321,0.04193,0.04367,0.1189,0.3161,0.08676, 1.000
