Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04452,0.1385,0.3650,0.1155,0.05106,0.09002,0.03666,0.02717,0.03535,0.01800,0.03011,0.04124,0.07267,0.04910,0.06547,0.06056,0.07594,0.1025
0.04452, 1.000,0.02815,0.03372,0.06809,0.09951,0.1182,0.02815,0.03011,0.02651,0.03077,0.02553,0.04615,0.07561,0.04714,0.02291,0.02619,0.05990,0.04550
0.1385,0.02815, 1.000,0.2111,0.03306,0.02782,0.03110,0.08609,0.02619,0.02455,0.02488,0.02520,0.02291,0.02553,0.03535,0.06481,0.03830,0.04288,0.05205
0.3650,0.03372,0.2111, 1.000,0.09755,0.03568,0.04779,0.03863,0.02717,0.03142,0.02291,0.05106,0.02651,0.04288,0.03372,0.04354,0.06154,0.06678,0.09034
0.1155,0.06809,0.03306,0.09755, 1.000,0.06612,0.09493,0.02390,0.02390,0.04975,0.03470,0.02324,0.1018,0.07234,0.03535,0.02651,0.05336,0.1290,0.06874
0.05106,0.09951,0.02782,0.03568,0.06612, 1.000,0.08674,0.03470,0.03372,0.04092,0.03895,0.02488,0.07234,0.1375,0.04059,0.03077,0.03961,0.09133,0.05532
0.09002,0.1182,0.03110,0.04779,0.09493,0.08674, 1.000,0.03011,0.02422,0.04452,0.02750,0.05008,0.07660,0.1355,0.05696,0.04092,0.01702,0.07758,0.04615
0.03666,0.02815,0.08609,0.03863,0.02390,0.03470,0.03011, 1.000,0.03863,0.04092,0.04386,0.02848,0.05139,0.02815,0.02619,0.05761,0.02291,0.02520,0.02226
0.02717,0.03011,0.02619,0.02717,0.02390,0.03372,0.02422,0.03863, 1.000,0.02390,0.02128,0.03437,0.02422,0.02946,0.01375,0.02782,0.03404,0.02062,0.02815
0.03535,0.02651,0.02455,0.03142,0.04975,0.04092,0.04452,0.04092,0.02390, 1.000,0.03044,0.02520,0.05565,0.02881,0.03110,0.01964,0.03142,0.05106,0.03339
0.01800,0.03077,0.02488,0.02291,0.03470,0.03895,0.02750,0.04386,0.02128,0.03044, 1.000,0.03404,0.04583,0.05106,0.01833,0.03273,0.02128,0.03699,0.02324
0.03011,0.02553,0.02520,0.05106,0.02324,0.02488,0.05008,0.02848,0.03437,0.02520,0.03404, 1.000,0.03568,0.03732,0.02848,0.01899,0.04877,0.02160,0.01997
0.04124,0.04615,0.02291,0.02651,0.1018,0.07234,0.07660,0.05139,0.02422,0.05565,0.04583,0.03568, 1.000,0.1067,0.02488,0.02029,0.02979,0.1463,0.03928
0.07267,0.07561,0.02553,0.04288,0.07234,0.1375,0.1355,0.02815,0.02946,0.02881,0.05106,0.03732,0.1067, 1.000,0.06547,0.02390,0.03077,0.1519,0.03339
0.04910,0.04714,0.03535,0.03372,0.03535,0.04059,0.05696,0.02619,0.01375,0.03110,0.01833,0.02848,0.02488,0.06547, 1.000,0.05270,0.02062,0.03764,0.02422
0.06547,0.02291,0.06481,0.04354,0.02651,0.03077,0.04092,0.05761,0.02782,0.01964,0.03273,0.01899,0.02029,0.02390,0.05270, 1.000,0.03764,0.03339,0.04190
0.06056,0.02619,0.03830,0.06154,0.05336,0.03961,0.01702,0.02291,0.03404,0.03142,0.02128,0.04877,0.02979,0.03077,0.02062,0.03764, 1.000,0.03110,0.09264
0.07594,0.05990,0.04288,0.06678,0.1290,0.09133,0.07758,0.02520,0.02062,0.05106,0.03699,0.02160,0.1463,0.1519,0.03764,0.03339,0.03110, 1.000,0.06088
0.1025,0.04550,0.05205,0.09034,0.06874,0.05532,0.04615,0.02226,0.02815,0.03339,0.02324,0.01997,0.03928,0.03339,0.02422,0.04190,0.09264,0.06088, 1.000
