Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02743,0.07657,0.03771,0.02819,0.02590,0.03200,0.02324,0.02438,0.01676,0.02705,0.02210,0.03048,0.03733,0.05410,0.03733,0.02590,0.02971,0.03543
0.02743, 1.000,0.02095,0.02171,0.02667,0.02514,0.04762,0.02667,0.03352,0.02286,0.02971,0.02438,0.03086,0.05867,0.05448,0.02362,0.03390,0.02476,0.02971
0.07657,0.02095, 1.000,0.04381,0.02286,0.01905,0.02286,0.04762,0.02057,0.02324,0.03390,0.01981,0.02171,0.03162,0.04114,0.04533,0.02324,0.02019,0.03886
0.03771,0.02171,0.04381, 1.000,0.05867,0.03505,0.02705,0.02095,0.05067,0.03086,0.02324,0.02819,0.02933,0.03429,0.03695,0.04114,0.03505,0.04114,0.04724
0.02819,0.02667,0.02286,0.05867, 1.000,0.07543,0.02248,0.03467,0.02171,0.03352,0.02895,0.02667,0.03695,0.02971,0.02743,0.03352,0.03619,0.05333,0.04838
0.02590,0.02514,0.01905,0.03505,0.07543, 1.000,0.05029,0.02514,0.02438,0.02019,0.03200,0.03048,0.03124,0.04533,0.03124,0.02057,0.02781,0.04114,0.03695
0.03200,0.04762,0.02286,0.02705,0.02248,0.05029, 1.000,0.02057,0.02895,0.02095,0.02133,0.05790,0.03429,0.04724,0.04533,0.02095,0.02667,0.03429,0.02971
0.02324,0.02667,0.04762,0.02095,0.03467,0.02514,0.02057, 1.000,0.02819,0.03352,0.03810,0.02552,0.02705,0.02019,0.02971,0.03162,0.01829,0.02438,0.02210
0.02438,0.03352,0.02057,0.05067,0.02171,0.02438,0.02895,0.02819, 1.000,0.04533,0.02362,0.03352,0.02210,0.02819,0.02781,0.02286,0.04152,0.03086,0.03581
0.01676,0.02286,0.02324,0.03086,0.03352,0.02019,0.02095,0.03352,0.04533, 1.000,0.04076,0.04076,0.03505,0.01829,0.02895,0.02248,0.02210,0.02476,0.02438
0.02705,0.02971,0.03390,0.02324,0.02895,0.03200,0.02133,0.03810,0.02362,0.04076, 1.000,0.01867,0.03505,0.02286,0.02705,0.02781,0.02133,0.02286,0.01676
0.02210,0.02438,0.01981,0.02819,0.02667,0.03048,0.05790,0.02552,0.03352,0.04076,0.01867, 1.000,0.02210,0.04229,0.04229,0.02248,0.04952,0.02933,0.01981
0.03048,0.03086,0.02171,0.02933,0.03695,0.03124,0.03429,0.02705,0.02210,0.03505,0.03505,0.02210, 1.000,0.03848,0.02552,0.02667,0.02019,0.04457,0.02895
0.03733,0.05867,0.03162,0.03429,0.02971,0.04533,0.04724,0.02019,0.02819,0.01829,0.02286,0.04229,0.03848, 1.000,0.05371,0.02171,0.01943,0.05790,0.03124
0.05410,0.05448,0.04114,0.03695,0.02743,0.03124,0.04533,0.02971,0.02781,0.02895,0.02705,0.04229,0.02552,0.05371, 1.000,0.04038,0.02781,0.03581,0.03619
0.03733,0.02362,0.04533,0.04114,0.03352,0.02057,0.02095,0.03162,0.02286,0.02248,0.02781,0.02248,0.02667,0.02171,0.04038, 1.000,0.02629,0.02933,0.04114
0.02590,0.03390,0.02324,0.03505,0.03619,0.02781,0.02667,0.01829,0.04152,0.02210,0.02133,0.04952,0.02019,0.01943,0.02781,0.02629, 1.000,0.02133,0.04838
0.02971,0.02476,0.02019,0.04114,0.05333,0.04114,0.03429,0.02438,0.03086,0.02476,0.02286,0.02933,0.04457,0.05790,0.03581,0.02933,0.02133, 1.000,0.08152
0.03543,0.02971,0.03886,0.04724,0.04838,0.03695,0.02971,0.02210,0.03581,0.02438,0.01676,0.01981,0.02895,0.03124,0.03619,0.04114,0.04838,0.08152, 1.000
