Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1756,0.06445,0.1273,0.1251,0.08861,0.04887,0.02900,0.01665,0.01826,0.02793,0.03276,0.04941,0.06445,0.04135,0.06767,0.05424,0.06122,0.06713
0.1756, 1.000,0.02632,0.05478,0.07411,0.08861,0.08647,0.01987,0.02095,0.02578,0.02417,0.03008,0.03813,0.06552,0.06122,0.04511,0.02793,0.04404,0.04619
0.06445,0.02632, 1.000,0.07250,0.03115,0.02095,0.02632,0.1203,0.02417,0.01880,0.03061,0.02363,0.02309,0.04028,0.04350,0.05908,0.04565,0.03867,0.03867
0.1273,0.05478,0.07250, 1.000,0.1262,0.05961,0.03061,0.02954,0.02685,0.02954,0.02363,0.02954,0.03706,0.03974,0.03169,0.07358,0.07035,0.05800,0.06982
0.1251,0.07411,0.03115,0.1262, 1.000,0.1407,0.02632,0.02417,0.02148,0.02900,0.02309,0.01880,0.04995,0.04082,0.03759,0.04887,0.05639,0.04028,0.05048
0.08861,0.08861,0.02095,0.05961,0.1407, 1.000,0.06069,0.03169,0.02846,0.03545,0.01880,0.02417,0.04995,0.05424,0.04243,0.02846,0.02632,0.05371,0.05532
0.04887,0.08647,0.02632,0.03061,0.02632,0.06069, 1.000,0.01880,0.03061,0.02256,0.02256,0.09452,0.03330,0.06767,0.04834,0.03330,0.02095,0.03330,0.02954
0.02900,0.01987,0.1203,0.02954,0.02417,0.03169,0.01880, 1.000,0.03652,0.03222,0.06337,0.01719,0.02846,0.02148,0.03545,0.04028,0.03437,0.02202,0.02578
0.01665,0.02095,0.02417,0.02685,0.02148,0.02846,0.03061,0.03652, 1.000,0.03491,0.03061,0.03491,0.01987,0.05693,0.01987,0.03169,0.04619,0.02202,0.02202
0.01826,0.02578,0.01880,0.02954,0.02900,0.03545,0.02256,0.03222,0.03491, 1.000,0.03813,0.02632,0.02900,0.02739,0.03115,0.02256,0.02632,0.02256,0.02632
0.02793,0.02417,0.03061,0.02363,0.02309,0.01880,0.02256,0.06337,0.03061,0.03813, 1.000,0.02363,0.03813,0.02256,0.02524,0.05156,0.02954,0.02900,0.01772
0.03276,0.03008,0.02363,0.02954,0.01880,0.02417,0.09452,0.01719,0.03491,0.02632,0.02363, 1.000,0.02846,0.05800,0.04672,0.02685,0.02524,0.03652,0.02685
0.04941,0.03813,0.02309,0.03706,0.04995,0.04995,0.03330,0.02846,0.01987,0.02900,0.03813,0.02846, 1.000,0.05854,0.01933,0.02739,0.01719,0.1004,0.02524
0.06445,0.06552,0.04028,0.03974,0.04082,0.05424,0.06767,0.02148,0.05693,0.02739,0.02256,0.05800,0.05854, 1.000,0.06821,0.01880,0.02256,0.06069,0.02202
0.04135,0.06122,0.04350,0.03169,0.03759,0.04243,0.04834,0.03545,0.01987,0.03115,0.02524,0.04672,0.01933,0.06821, 1.000,0.06498,0.02095,0.03545,0.04028
0.06767,0.04511,0.05908,0.07358,0.04887,0.02846,0.03330,0.04028,0.03169,0.02256,0.05156,0.02685,0.02739,0.01880,0.06498, 1.000,0.06660,0.02417,0.08915
0.05424,0.02793,0.04565,0.07035,0.05639,0.02632,0.02095,0.03437,0.04619,0.02632,0.02954,0.02524,0.01719,0.02256,0.02095,0.06660, 1.000,0.02739,0.1122
0.06122,0.04404,0.03867,0.05800,0.04028,0.05371,0.03330,0.02202,0.02202,0.02256,0.02900,0.03652,0.1004,0.06069,0.03545,0.02417,0.02739, 1.000,0.07411
0.06713,0.04619,0.03867,0.06982,0.05048,0.05532,0.02954,0.02578,0.02202,0.02632,0.01772,0.02685,0.02524,0.02202,0.04028,0.08915,0.1122,0.07411, 1.000
