Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3295,0.04770,0.05156,0.1040,0.1351,0.03230,0.02667,0.01896,0.02726,0.02874,0.02370,0.03230,0.06044,0.09215,0.09363,0.04267,0.04207,0.06696
0.3295, 1.000,0.02637,0.03407,0.07941,0.1985,0.08296,0.02696,0.02252,0.03230,0.02519,0.02933,0.02963,0.06430,0.06844,0.06637,0.03556,0.04207,0.04563
0.04770,0.02637, 1.000,0.05007,0.02844,0.02370,0.02281,0.1141,0.02874,0.03319,0.04622,0.02311,0.02489,0.02400,0.05867,0.05630,0.03319,0.02963,0.03763
0.05156,0.03407,0.05007, 1.000,0.1289,0.04593,0.02074,0.02311,0.04030,0.02844,0.02637,0.02726,0.03526,0.02489,0.04178,0.07022,0.06667,0.05363,0.07052
0.1040,0.07941,0.02844,0.1289, 1.000,0.2130,0.02667,0.02548,0.02637,0.04148,0.02519,0.02637,0.05511,0.04563,0.03289,0.04681,0.07022,0.1164,0.1034
0.1351,0.1985,0.02370,0.04593,0.2130, 1.000,0.04593,0.02815,0.02489,0.03022,0.03052,0.02815,0.05659,0.07230,0.04919,0.04800,0.03526,0.07911,0.05570
0.03230,0.08296,0.02281,0.02074,0.02667,0.04593, 1.000,0.02489,0.03289,0.03526,0.02519,0.1908,0.03526,0.06370,0.03911,0.03378,0.02519,0.02933,0.02341
0.02667,0.02696,0.1141,0.02311,0.02548,0.02815,0.02489, 1.000,0.02548,0.04652,0.07407,0.03022,0.07407,0.01807,0.02874,0.03615,0.03022,0.03170,0.02193
0.01896,0.02252,0.02874,0.04030,0.02637,0.02489,0.03289,0.02548, 1.000,0.03081,0.02963,0.05156,0.02459,0.04267,0.02074,0.02726,0.04563,0.01985,0.03141
0.02726,0.03230,0.03319,0.02844,0.04148,0.03022,0.03526,0.04652,0.03081, 1.000,0.03970,0.02963,0.03704,0.01719,0.04000,0.02341,0.04059,0.02904,0.03348
0.02874,0.02519,0.04622,0.02637,0.02519,0.03052,0.02519,0.07407,0.02963,0.03970, 1.000,0.02844,0.04207,0.02874,0.03733,0.04770,0.02519,0.03674,0.02074
0.02370,0.02933,0.02311,0.02726,0.02637,0.02815,0.1908,0.03022,0.05156,0.02963,0.02844, 1.000,0.02607,0.03911,0.02815,0.02933,0.04741,0.02252,0.02667
0.03230,0.02963,0.02489,0.03526,0.05511,0.05659,0.03526,0.07407,0.02459,0.03704,0.04207,0.02607, 1.000,0.05867,0.01926,0.02311,0.02133,0.1138,0.02667
0.06044,0.06430,0.02400,0.02489,0.04563,0.07230,0.06370,0.01807,0.04267,0.01719,0.02874,0.03911,0.05867, 1.000,0.05007,0.02548,0.02400,0.05304,0.02400
0.09215,0.06844,0.05867,0.04178,0.03289,0.04919,0.03911,0.02874,0.02074,0.04000,0.03733,0.02815,0.01926,0.05007, 1.000,0.08681,0.02311,0.02756,0.02667
0.09363,0.06637,0.05630,0.07022,0.04681,0.04800,0.03378,0.03615,0.02726,0.02341,0.04770,0.02933,0.02311,0.02548,0.08681, 1.000,0.1043,0.02489,0.07289
0.04267,0.03556,0.03319,0.06667,0.07022,0.03526,0.02519,0.03022,0.04563,0.04059,0.02519,0.04741,0.02133,0.02400,0.02311,0.1043, 1.000,0.03200,0.3076
0.04207,0.04207,0.02963,0.05363,0.1164,0.07911,0.02933,0.03170,0.01985,0.02904,0.03674,0.02252,0.1138,0.05304,0.02756,0.02489,0.03200, 1.000,0.06074
0.06696,0.04563,0.03763,0.07052,0.1034,0.05570,0.02341,0.02193,0.03141,0.03348,0.02074,0.02667,0.02667,0.02400,0.02667,0.07289,0.3076,0.06074, 1.000
