Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1675,0.06974,0.06393,0.06838,0.08137,0.02632,0.03419,0.02632,0.02530,0.03385,0.02017,0.04274,0.08957,0.07829,0.08239,0.04581,0.05060,0.07179
0.1675, 1.000,0.02222,0.02120,0.06051,0.1409,0.07350,0.02017,0.04034,0.01915,0.03009,0.03590,0.06085,0.09094,0.06632,0.05470,0.02393,0.06051,0.05778
0.06974,0.02222, 1.000,0.06085,0.03726,0.02906,0.02735,0.1942,0.02462,0.03077,0.02906,0.02188,0.03932,0.03111,0.04103,0.05778,0.03487,0.03795,0.04479
0.06393,0.02120,0.06085, 1.000,0.1268,0.04103,0.02769,0.03419,0.04034,0.03556,0.01744,0.03761,0.02769,0.02769,0.03282,0.06256,0.08855,0.04513,0.05778
0.06838,0.06051,0.03726,0.1268, 1.000,0.1443,0.01744,0.02769,0.03897,0.04581,0.02154,0.02496,0.05880,0.03761,0.03145,0.04342,0.05949,0.06735,0.05983
0.08137,0.1409,0.02906,0.04103,0.1443, 1.000,0.04444,0.04034,0.03316,0.02530,0.01915,0.03282,0.07897,0.05504,0.03932,0.03658,0.04205,0.09607,0.05949
0.02632,0.07350,0.02735,0.02769,0.01744,0.04444, 1.000,0.04103,0.04171,0.02906,0.02256,0.2899,0.03795,0.05299,0.04376,0.03214,0.02803,0.04103,0.02154
0.03419,0.02017,0.1942,0.03419,0.02769,0.04034,0.04103, 1.000,0.02359,0.02906,0.05368,0.03214,0.05128,0.03111,0.02769,0.04752,0.02564,0.03385,0.02051
0.02632,0.04034,0.02462,0.04034,0.03897,0.03316,0.04171,0.02359, 1.000,0.04274,0.03590,0.06291,0.02598,0.05265,0.03111,0.02256,0.05368,0.03282,0.02940
0.02530,0.01915,0.03077,0.03556,0.04581,0.02530,0.02906,0.02906,0.04274, 1.000,0.03248,0.03009,0.01949,0.03692,0.03897,0.02427,0.03692,0.02188,0.02838
0.03385,0.03009,0.02906,0.01744,0.02154,0.01915,0.02256,0.05368,0.03590,0.03248, 1.000,0.02085,0.03692,0.01846,0.01915,0.05402,0.02291,0.02906,0.01470
0.02017,0.03590,0.02188,0.03761,0.02496,0.03282,0.2899,0.03214,0.06291,0.03009,0.02085, 1.000,0.03316,0.04684,0.03624,0.03521,0.02940,0.02735,0.02051
0.04274,0.06085,0.03932,0.02769,0.05880,0.07897,0.03795,0.05128,0.02598,0.01949,0.03692,0.03316, 1.000,0.05504,0.02359,0.02154,0.02667,0.09333,0.02906
0.08957,0.09094,0.03111,0.02769,0.03761,0.05504,0.05299,0.03111,0.05265,0.03692,0.01846,0.04684,0.05504, 1.000,0.08752,0.03179,0.02359,0.05709,0.03145
0.07829,0.06632,0.04103,0.03282,0.03145,0.03932,0.04376,0.02769,0.03111,0.03897,0.01915,0.03624,0.02359,0.08752, 1.000,0.07658,0.03316,0.04684,0.05026
0.08239,0.05470,0.05778,0.06256,0.04342,0.03658,0.03214,0.04752,0.02256,0.02427,0.05402,0.03521,0.02154,0.03179,0.07658, 1.000,0.08855,0.02256,0.06051
0.04581,0.02393,0.03487,0.08855,0.05949,0.04205,0.02803,0.02564,0.05368,0.03692,0.02291,0.02940,0.02667,0.02359,0.03316,0.08855, 1.000,0.03214,0.2202
0.05060,0.06051,0.03795,0.04513,0.06735,0.09607,0.04103,0.03385,0.03282,0.02188,0.02906,0.02735,0.09333,0.05709,0.04684,0.02256,0.03214, 1.000,0.08479
0.07179,0.05778,0.04479,0.05778,0.05983,0.05949,0.02154,0.02051,0.02940,0.02838,0.01470,0.02051,0.02906,0.03145,0.05026,0.06051,0.2202,0.08479, 1.000
