Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02458,0.04461,0.03141,0.03732,0.03050,0.01593,0.03550,0.03004,0.02139,0.02777,0.02321,0.02549,0.01274,0.02094,0.1142,0.02048,0.02367,0.03277
0.02458, 1.000,0.03368,0.01866,0.01365,0.08512,0.04688,0.04142,0.02321,0.02549,0.02458,0.02230,0.03914,0.01457,0.04825,0.05735,0.03186,0.04051,0.04779
0.04461,0.03368, 1.000,0.02003,0.02458,0.03004,0.04188,0.06372,0.03914,0.01274,0.02822,0.03641,0.03004,0.01593,0.02321,0.02959,0.02094,0.02868,0.01866
0.03141,0.01866,0.02003, 1.000,0.02640,0.01502,0.03414,0.01730,0.03004,0.02822,0.03277,0.02321,0.03641,0.01957,0.05098,0.01639,0.04461,0.03823,0.02913
0.03732,0.01365,0.02458,0.02640, 1.000,0.02367,0.01866,0.01912,0.01411,0.03550,0.01912,0.02640,0.02685,0.01912,0.02594,0.04415,0.03596,0.05143,0.04688
0.03050,0.08512,0.03004,0.01502,0.02367, 1.000,0.03914,0.02503,0.01639,0.02412,0.03914,0.03778,0.02412,0.02685,0.05189,0.09103,0.03095,0.05234,0.09194
0.01593,0.04688,0.04188,0.03414,0.01866,0.03914, 1.000,0.09741,0.03095,0.02367,0.01548,0.02048,0.02959,0.02003,0.01775,0.03459,0.02139,0.02048,0.02868
0.03550,0.04142,0.06372,0.01730,0.01912,0.02503,0.09741, 1.000,0.04370,0.02276,0.02048,0.02003,0.02822,0.04005,0.03778,0.02185,0.02321,0.02412,0.01957
0.03004,0.02321,0.03914,0.03004,0.01411,0.01639,0.03095,0.04370, 1.000,0.02913,0.02822,0.05234,0.02276,0.02139,0.02503,0.01183,0.02822,0.03368,0.03687
0.02139,0.02549,0.01274,0.02822,0.03550,0.02412,0.02367,0.02276,0.02913, 1.000,0.02685,0.01730,0.02321,0.05644,0.02048,0.02822,0.04324,0.01548,0.02685
0.02777,0.02458,0.02822,0.03277,0.01912,0.03914,0.01548,0.02048,0.02822,0.02685, 1.000,0.01457,0.01548,0.01274,0.02412,0.02640,0.02048,0.01320,0.02640
0.02321,0.02230,0.03641,0.02321,0.02640,0.03778,0.02048,0.02003,0.05234,0.01730,0.01457, 1.000,0.03186,0.01912,0.02868,0.01957,0.01684,0.03596,0.03050
0.02549,0.03914,0.03004,0.03641,0.02685,0.02412,0.02959,0.02822,0.02276,0.02321,0.01548,0.03186, 1.000,0.02094,0.03277,0.03141,0.02458,0.02094,0.02731
0.01274,0.01457,0.01593,0.01957,0.01912,0.02685,0.02003,0.04005,0.02139,0.05644,0.01274,0.01912,0.02094, 1.000,0.01821,0.03095,0.03095,0.02549,0.02777
0.02094,0.04825,0.02321,0.05098,0.02594,0.05189,0.01775,0.03778,0.02503,0.02048,0.02412,0.02868,0.03277,0.01821, 1.000,0.03232,0.02685,0.04324,0.04005
0.1142,0.05735,0.02959,0.01639,0.04415,0.09103,0.03459,0.02185,0.01183,0.02822,0.02640,0.01957,0.03141,0.03095,0.03232, 1.000,0.02868,0.04506,0.05872
0.02048,0.03186,0.02094,0.04461,0.03596,0.03095,0.02139,0.02321,0.02822,0.04324,0.02048,0.01684,0.02458,0.03095,0.02685,0.02868, 1.000,0.1156,0.1871
0.02367,0.04051,0.02868,0.03823,0.05143,0.05234,0.02048,0.02412,0.03368,0.01548,0.01320,0.03596,0.02094,0.02549,0.04324,0.04506,0.1156, 1.000,0.2927
0.03277,0.04779,0.01866,0.02913,0.04688,0.09194,0.02868,0.01957,0.03687,0.02685,0.02640,0.03050,0.02731,0.02777,0.04005,0.05872,0.1871,0.2927, 1.000
