Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02374,0.1092,0.04926,0.03027,0.04095,0.02671,0.02967,0.03858,0.04095,0.03086,0.03976,0.03501,0.04866,0.04807,0.07003,0.03383,0.04748,0.04629
0.02374, 1.000,0.02255,0.02433,0.05045,0.04332,0.05401,0.05341,0.04095,0.03739,0.03620,0.05341,0.1282,0.09258,0.03561,0.04807,0.05757,0.08071,0.04570
0.1092,0.02255, 1.000,0.04570,0.02849,0.02908,0.03739,0.01662,0.05519,0.03917,0.05163,0.02255,0.02433,0.04273,0.05519,0.02967,0.04095,0.01840,0.04273
0.04926,0.02433,0.04570, 1.000,0.06944,0.03027,0.01128,0.02136,0.01840,0.02018,0.02671,0.03798,0.03798,0.02374,0.03205,0.02908,0.04392,0.03027,0.08309
0.03027,0.05045,0.02849,0.06944, 1.000,0.02789,0.01840,0.03620,0.02136,0.05757,0.01899,0.02908,0.05460,0.03680,0.04214,0.04748,0.04570,0.04985,0.07656
0.04095,0.04332,0.02908,0.03027,0.02789, 1.000,0.02018,0.05045,0.03264,0.04688,0.02967,0.02967,0.03917,0.03205,0.02077,0.02552,0.03561,0.02136,0.01780
0.02671,0.05401,0.03739,0.01128,0.01840,0.02018, 1.000,0.05341,0.04214,0.04926,0.02849,0.03739,0.03917,0.04807,0.06291,0.03858,0.01780,0.03323,0.03976
0.02967,0.05341,0.01662,0.02136,0.03620,0.05045,0.05341, 1.000,0.02136,0.04214,0.03442,0.1104,0.03501,0.04154,0.04273,0.03620,0.02196,0.03501,0.02018
0.03858,0.04095,0.05519,0.01840,0.02136,0.03264,0.04214,0.02136, 1.000,0.04332,0.04214,0.04510,0.01306,0.03027,0.04036,0.01840,0.03680,0.01602,0.03323
0.04095,0.03739,0.03917,0.02018,0.05757,0.04688,0.04926,0.04214,0.04332, 1.000,0.05401,0.07300,0.04807,0.03561,0.05104,0.01246,0.02908,0.02967,0.02315
0.03086,0.03620,0.05163,0.02671,0.01899,0.02967,0.02849,0.03442,0.04214,0.05401, 1.000,0.02967,0.02849,0.03086,0.02789,0.03680,0.02849,0.02671,0.02196
0.03976,0.05341,0.02255,0.03798,0.02908,0.02967,0.03739,0.1104,0.04510,0.07300,0.02967, 1.000,0.03086,0.02789,0.04392,0.03858,0.01958,0.02136,0.03501
0.03501,0.1282,0.02433,0.03798,0.05460,0.03917,0.03917,0.03501,0.01306,0.04807,0.02849,0.03086, 1.000,0.07062,0.06825,0.02671,0.04273,0.1056,0.08902
0.04866,0.09258,0.04273,0.02374,0.03680,0.03205,0.04807,0.04154,0.03027,0.03561,0.03086,0.02789,0.07062, 1.000,0.06588,0.05104,0.03798,0.06647,0.02552
0.04807,0.03561,0.05519,0.03205,0.04214,0.02077,0.06291,0.04273,0.04036,0.05104,0.02789,0.04392,0.06825,0.06588, 1.000,0.05104,0.04688,0.06350,0.04748
0.07003,0.04807,0.02967,0.02908,0.04748,0.02552,0.03858,0.03620,0.01840,0.01246,0.03680,0.03858,0.02671,0.05104,0.05104, 1.000,0.04273,0.04036,0.04510
0.03383,0.05757,0.04095,0.04392,0.04570,0.03561,0.01780,0.02196,0.03680,0.02908,0.02849,0.01958,0.04273,0.03798,0.04688,0.04273, 1.000,0.07122,0.1519
0.04748,0.08071,0.01840,0.03027,0.04985,0.02136,0.03323,0.03501,0.01602,0.02967,0.02671,0.02136,0.1056,0.06647,0.06350,0.04036,0.07122, 1.000,0.1068
0.04629,0.04570,0.04273,0.08309,0.07656,0.01780,0.03976,0.02018,0.03323,0.02315,0.02196,0.03501,0.08902,0.02552,0.04748,0.04510,0.1519,0.1068, 1.000
