Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04120,0.1176,0.06180,0.04464,0.02489,0.03433,0.04979,0.01459,0.04120,0.03090,0.02661,0.03433,0.01803,0.05751,0.02318,0.06609,0.02232,0.07554
0.04120, 1.000,0.03176,0.02575,0.03691,0.04378,0.05408,0.03691,0.05665,0.05322,0.01717,0.03691,0.04979,0.04549,0.03004,0.03777,0.05150,0.02403,0.03863
0.1176,0.03176, 1.000,0.05923,0.03004,0.03262,0.04206,0.1794,0.05408,0.03605,0.03605,0.03090,0.04206,0.03348,0.06094,0.03090,0.08841,0.03519,0.07382
0.06180,0.02575,0.05923, 1.000,0.04464,0.01545,0.02918,0.03948,0.08498,0.01888,0.03519,0.03519,0.009442,0.01888,0.02489,0.06180,0.06180,0.03863,0.08326
0.04464,0.03691,0.03004,0.04464, 1.000,0.04807,0.01888,0.05150,0.03777,0.04120,0.02489,0.04120,0.04034,0.03004,0.03176,0.05064,0.04378,0.07639,0.04549
0.02489,0.04378,0.03262,0.01545,0.04807, 1.000,0.07554,0.02489,0.05064,0.03948,0.05064,0.02833,0.03948,0.05837,0.02918,0.03605,0.02747,0.05236,0.04893
0.03433,0.05408,0.04206,0.02918,0.01888,0.07554, 1.000,0.04292,0.03176,0.03519,0.01631,0.04034,0.03262,0.07210,0.01631,0.02318,0.02747,0.01545,0.01974
0.04979,0.03691,0.1794,0.03948,0.05150,0.02489,0.04292, 1.000,0.03863,0.03777,0.05236,0.02747,0.06438,0.03691,0.02918,0.03176,0.03948,0.04635,0.04635
0.01459,0.05665,0.05408,0.08498,0.03777,0.05064,0.03176,0.03863, 1.000,0.07897,0.02403,0.05494,0.04206,0.06609,0.04120,0.04378,0.08584,0.04378,0.07811
0.04120,0.05322,0.03605,0.01888,0.04120,0.03948,0.03519,0.03777,0.07897, 1.000,0.03262,0.03691,0.01888,0.04893,0.04378,0.03433,0.04635,0.05579,0.05064
0.03090,0.01717,0.03605,0.03519,0.02489,0.05064,0.01631,0.05236,0.02403,0.03262, 1.000,0.02833,0.02661,0.02661,0.05751,0.005150,0.03348,0.02060,0.01373
0.02661,0.03691,0.03090,0.03519,0.04120,0.02833,0.04034,0.02747,0.05494,0.03691,0.02833, 1.000,0.03090,0.04635,0.03519,0.03176,0.02747,0.04807,0.05064
0.03433,0.04979,0.04206,0.009442,0.04034,0.03948,0.03262,0.06438,0.04206,0.01888,0.02661,0.03090, 1.000,0.06867,0.02747,0.03262,0.02232,0.1700,0.04549
0.01803,0.04549,0.03348,0.01888,0.03004,0.05837,0.07210,0.03691,0.06609,0.04893,0.02661,0.04635,0.06867, 1.000,0.05236,0.02060,0.02747,0.05751,0.01888
0.05751,0.03004,0.06094,0.02489,0.03176,0.02918,0.01631,0.02918,0.04120,0.04378,0.05751,0.03519,0.02747,0.05236, 1.000,0.04292,0.02575,0.03605,0.03605
0.02318,0.03777,0.03090,0.06180,0.05064,0.03605,0.02318,0.03176,0.04378,0.03433,0.005150,0.03176,0.03262,0.02060,0.04292, 1.000,0.06009,0.02146,0.07210
0.06609,0.05150,0.08841,0.06180,0.04378,0.02747,0.02747,0.03948,0.08584,0.04635,0.03348,0.02747,0.02232,0.02747,0.02575,0.06009, 1.000,0.02489,0.2189
0.02232,0.02403,0.03519,0.03863,0.07639,0.05236,0.01545,0.04635,0.04378,0.05579,0.02060,0.04807,0.1700,0.05751,0.03605,0.02146,0.02489, 1.000,0.06352
0.07554,0.03863,0.07382,0.08326,0.04549,0.04893,0.01974,0.04635,0.07811,0.05064,0.01373,0.05064,0.04549,0.01888,0.03605,0.07210,0.2189,0.06352, 1.000
