Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3993,0.1199,0.1166,0.1184,0.04335,0.1403,0.01931,0.02623,0.02878,0.02623,0.03424,0.04007,0.1191,0.1803,0.1231,0.03169,0.06302,0.09180
0.3993, 1.000,0.05647,0.05464,0.1133,0.08707,0.2353,0.01967,0.02987,0.02805,0.01967,0.06412,0.04736,0.1599,0.2109,0.07104,0.03570,0.07723,0.07832
0.1199,0.05647, 1.000,0.08561,0.02332,0.02769,0.06084,0.03169,0.02077,0.03352,0.06958,0.02659,0.02368,0.03388,0.07031,0.1009,0.02404,0.02951,0.03716
0.1166,0.05464,0.08561, 1.000,0.08452,0.03169,0.03679,0.02441,0.02842,0.03133,0.02477,0.02951,0.03789,0.04590,0.03971,0.07614,0.05319,0.05464,0.09836
0.1184,0.1133,0.02332,0.08452, 1.000,0.06047,0.04226,0.05027,0.02696,0.04299,0.02368,0.01967,0.07942,0.07832,0.04007,0.04954,0.04189,0.09763,0.1100
0.04335,0.08707,0.02769,0.03169,0.06047, 1.000,0.07250,0.03315,0.03097,0.02587,0.02404,0.04991,0.07942,0.07359,0.04335,0.03206,0.03352,0.09617,0.05027
0.1403,0.2353,0.06084,0.03679,0.04226,0.07250, 1.000,0.02222,0.05974,0.03825,0.02259,0.1413,0.03934,0.1231,0.1260,0.04408,0.02587,0.06084,0.04918
0.01931,0.01967,0.03169,0.02441,0.05027,0.03315,0.02222, 1.000,0.04335,0.05574,0.1089,0.02732,0.09654,0.03461,0.02769,0.02805,0.02186,0.05865,0.02805
0.02623,0.02987,0.02077,0.02842,0.02696,0.03097,0.05974,0.04335, 1.000,0.03315,0.02805,0.09217,0.02987,0.04335,0.03315,0.02332,0.04517,0.02587,0.02659
0.02878,0.02805,0.03352,0.03133,0.04299,0.02587,0.03825,0.05574,0.03315, 1.000,0.03570,0.06958,0.02805,0.02441,0.03242,0.02295,0.03315,0.02987,0.03352
0.02623,0.01967,0.06958,0.02477,0.02368,0.02404,0.02259,0.1089,0.02805,0.03570, 1.000,0.02987,0.06885,0.02441,0.02259,0.04481,0.02404,0.03825,0.02186
0.03424,0.06412,0.02659,0.02951,0.01967,0.04991,0.1413,0.02732,0.09217,0.06958,0.02987, 1.000,0.03424,0.07723,0.06302,0.02623,0.03424,0.03279,0.02404
0.04007,0.04736,0.02368,0.03789,0.07942,0.07942,0.03934,0.09654,0.02987,0.02805,0.06885,0.03424, 1.000,0.1570,0.02441,0.02259,0.01931,0.4750,0.03752
0.1191,0.1599,0.03388,0.04590,0.07832,0.07359,0.1231,0.03461,0.04335,0.02441,0.02441,0.07723,0.1570, 1.000,0.1169,0.02587,0.01894,0.2066,0.04189
0.1803,0.2109,0.07031,0.03971,0.04007,0.04335,0.1260,0.02769,0.03315,0.03242,0.02259,0.06302,0.02441,0.1169, 1.000,0.06084,0.02659,0.03789,0.03352
0.1231,0.07104,0.1009,0.07614,0.04954,0.03206,0.04408,0.02805,0.02332,0.02295,0.04481,0.02623,0.02259,0.02587,0.06084, 1.000,0.07760,0.02659,0.1446
0.03169,0.03570,0.02404,0.05319,0.04189,0.03352,0.02587,0.02186,0.04517,0.03315,0.02404,0.03424,0.01931,0.01894,0.02659,0.07760, 1.000,0.02040,0.1279
0.06302,0.07723,0.02951,0.05464,0.09763,0.09617,0.06084,0.05865,0.02587,0.02987,0.03825,0.03279,0.4750,0.2066,0.03789,0.02659,0.02040, 1.000,0.06740
0.09180,0.07832,0.03716,0.09836,0.1100,0.05027,0.04918,0.02805,0.02659,0.03352,0.02186,0.02404,0.03752,0.04189,0.03352,0.1446,0.1279,0.06740, 1.000
