Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2180,0.1448,0.2195,0.1361,0.07597,0.07194,0.04124,0.02667,0.03163,0.03411,0.02450,0.04403,0.08372,0.09209,0.1184,0.05364,0.06853,0.08124
0.2180, 1.000,0.04713,0.07101,0.1095,0.1237,0.2006,0.03101,0.02047,0.02481,0.02047,0.03256,0.05023,0.07504,0.06884,0.06946,0.03628,0.07287,0.05767
0.1448,0.04713, 1.000,0.1426,0.04372,0.03132,0.02729,0.05674,0.03225,0.02977,0.03163,0.03318,0.02357,0.03566,0.06791,0.1014,0.03752,0.03721,0.06357
0.2195,0.07101,0.1426, 1.000,0.1594,0.04682,0.03566,0.02729,0.05302,0.04620,0.02574,0.04465,0.03969,0.04217,0.05271,0.08992,0.09612,0.07163,0.1023
0.1361,0.1095,0.04372,0.1594, 1.000,0.2025,0.03938,0.02977,0.03287,0.07256,0.02884,0.03566,0.08124,0.04465,0.04217,0.05085,0.07194,0.1299,0.09736
0.07597,0.1237,0.03132,0.04682,0.2025, 1.000,0.09581,0.04372,0.02822,0.04031,0.04341,0.03442,0.09178,0.07132,0.04124,0.03752,0.04000,0.1160,0.06791
0.07194,0.2006,0.02729,0.03566,0.03938,0.09581, 1.000,0.03380,0.03659,0.03225,0.02450,0.08868,0.04372,0.1104,0.08310,0.04527,0.02543,0.04217,0.03473
0.04124,0.03101,0.05674,0.02729,0.02977,0.04372,0.03380, 1.000,0.02884,0.03411,0.05488,0.02543,0.05984,0.03039,0.03535,0.05519,0.03132,0.03442,0.02574
0.02667,0.02047,0.03225,0.05302,0.03287,0.02822,0.03659,0.02884, 1.000,0.04558,0.02357,0.05209,0.02295,0.03349,0.02512,0.03039,0.06357,0.02915,0.04558
0.03163,0.02481,0.02977,0.04620,0.07256,0.04031,0.03225,0.03411,0.04558, 1.000,0.03628,0.03938,0.06326,0.03132,0.06109,0.03876,0.06264,0.06171,0.06698
0.03411,0.02047,0.03163,0.02574,0.02884,0.04341,0.02450,0.05488,0.02357,0.03628, 1.000,0.02357,0.04868,0.02853,0.03752,0.05829,0.02388,0.03845,0.02512
0.02450,0.03256,0.03318,0.04465,0.03566,0.03442,0.08868,0.02543,0.05209,0.03938,0.02357, 1.000,0.02233,0.04713,0.02419,0.01643,0.04868,0.02853,0.02481
0.04403,0.05023,0.02357,0.03969,0.08124,0.09178,0.04372,0.05984,0.02295,0.06326,0.04868,0.02233, 1.000,0.05581,0.03163,0.02977,0.02946,0.1451,0.03597
0.08372,0.07504,0.03566,0.04217,0.04465,0.07132,0.1104,0.03039,0.03349,0.03132,0.02853,0.04713,0.05581, 1.000,0.09550,0.04434,0.03070,0.06512,0.03597
0.09209,0.06884,0.06791,0.05271,0.04217,0.04124,0.08310,0.03535,0.02512,0.06109,0.03752,0.02419,0.03163,0.09550, 1.000,0.1054,0.03008,0.04031,0.03256
0.1184,0.06946,0.1014,0.08992,0.05085,0.03752,0.04527,0.05519,0.03039,0.03876,0.05829,0.01643,0.02977,0.04434,0.1054, 1.000,0.04899,0.03690,0.07411
0.05364,0.03628,0.03752,0.09612,0.07194,0.04000,0.02543,0.03132,0.06357,0.06264,0.02388,0.04868,0.02946,0.03070,0.03008,0.04899, 1.000,0.05023,0.2071
0.06853,0.07287,0.03721,0.07163,0.1299,0.1160,0.04217,0.03442,0.02915,0.06171,0.03845,0.02853,0.1451,0.06512,0.04031,0.03690,0.05023, 1.000,0.09147
0.08124,0.05767,0.06357,0.1023,0.09736,0.06791,0.03473,0.02574,0.04558,0.06698,0.02512,0.02481,0.03597,0.03597,0.03256,0.07411,0.2071,0.09147, 1.000
