Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2345,0.1053,0.1521,0.1283,0.06699,0.03995,0.03753,0.02381,0.03753,0.02462,0.02623,0.03027,0.08475,0.1069,0.08111,0.06497,0.06497,0.06659
0.2345, 1.000,0.04076,0.07506,0.1808,0.1449,0.1094,0.02018,0.02583,0.04116,0.03027,0.02098,0.03914,0.1170,0.1094,0.07869,0.05569,0.06941,0.05973
0.1053,0.04076, 1.000,0.06336,0.03390,0.02300,0.03067,0.1473,0.02986,0.03672,0.04036,0.02341,0.02058,0.03874,0.07708,0.07829,0.02825,0.03228,0.03753
0.1521,0.07506,0.06336, 1.000,0.1586,0.06376,0.03228,0.03269,0.03834,0.03551,0.02381,0.04520,0.04520,0.03914,0.04600,0.06013,0.08757,0.09645,0.1045
0.1283,0.1808,0.03390,0.1586, 1.000,0.2696,0.03632,0.02381,0.02341,0.06780,0.02583,0.03471,0.08636,0.05932,0.05730,0.04883,0.07708,0.1061,0.08354
0.06699,0.1449,0.02300,0.06376,0.2696, 1.000,0.05811,0.03349,0.02341,0.05367,0.04116,0.02139,0.09241,0.05448,0.05165,0.04197,0.04964,0.08757,0.06618
0.03995,0.1094,0.03067,0.03228,0.03632,0.05811, 1.000,0.02663,0.04964,0.03753,0.02583,0.06336,0.03793,0.09483,0.07910,0.04116,0.02300,0.04076,0.02825
0.03753,0.02018,0.1473,0.03269,0.02381,0.03349,0.02663, 1.000,0.03349,0.03430,0.06174,0.02220,0.03188,0.02583,0.03430,0.07627,0.03672,0.01735,0.04157
0.02381,0.02583,0.02986,0.03834,0.02341,0.02341,0.04964,0.03349, 1.000,0.05165,0.02744,0.06941,0.02421,0.05609,0.02865,0.03107,0.05690,0.03188,0.05367
0.03753,0.04116,0.03672,0.03551,0.06780,0.05367,0.03753,0.03430,0.05165, 1.000,0.07910,0.03874,0.06659,0.03955,0.04157,0.03390,0.03995,0.04641,0.05085
0.02462,0.03027,0.04036,0.02381,0.02583,0.04116,0.02583,0.06174,0.02744,0.07910, 1.000,0.02663,0.06295,0.02058,0.03471,0.06255,0.02341,0.03592,0.03390
0.02623,0.02098,0.02341,0.04520,0.03471,0.02139,0.06336,0.02220,0.06941,0.03874,0.02663, 1.000,0.02906,0.05569,0.03713,0.01937,0.05206,0.02785,0.03148
0.03027,0.03914,0.02058,0.04520,0.08636,0.09241,0.03793,0.03188,0.02421,0.06659,0.06295,0.02906, 1.000,0.06699,0.02542,0.02260,0.02381,0.1606,0.02865
0.08475,0.1170,0.03874,0.03914,0.05932,0.05448,0.09483,0.02583,0.05609,0.03955,0.02058,0.05569,0.06699, 1.000,0.1082,0.04036,0.03551,0.07466,0.03632
0.1069,0.1094,0.07708,0.04600,0.05730,0.05165,0.07910,0.03430,0.02865,0.04157,0.03471,0.03713,0.02542,0.1082, 1.000,0.1283,0.03955,0.03914,0.03592
0.08111,0.07869,0.07829,0.06013,0.04883,0.04197,0.04116,0.07627,0.03107,0.03390,0.06255,0.01937,0.02260,0.04036,0.1283, 1.000,0.06134,0.02583,0.06174
0.06497,0.05569,0.02825,0.08757,0.07708,0.04964,0.02300,0.03672,0.05690,0.03995,0.02341,0.05206,0.02381,0.03551,0.03955,0.06134, 1.000,0.03592,0.1945
0.06497,0.06941,0.03228,0.09645,0.1061,0.08757,0.04076,0.01735,0.03188,0.04641,0.03592,0.02785,0.1606,0.07466,0.03914,0.02583,0.03592, 1.000,0.07425
0.06659,0.05973,0.03753,0.1045,0.08354,0.06618,0.02825,0.04157,0.05367,0.05085,0.03390,0.03148,0.02865,0.03632,0.03592,0.06174,0.1945,0.07425, 1.000
