Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1864,0.05537,0.1002,0.1224,0.04595,0.02938,0.02599,0.01770,0.02599,0.03315,0.03729,0.03503,0.05876,0.09981,0.07872,0.04896,0.04746,0.05499
0.1864, 1.000,0.03202,0.04972,0.1593,0.1435,0.08324,0.02712,0.02750,0.02260,0.02373,0.02787,0.05198,0.1141,0.1303,0.06139,0.04407,0.07533,0.05235
0.05537,0.03202, 1.000,0.05687,0.03239,0.02448,0.01996,0.1119,0.02900,0.02825,0.04030,0.03126,0.02185,0.03164,0.05273,0.06441,0.03804,0.02298,0.03729
0.1002,0.04972,0.05687, 1.000,0.1175,0.03503,0.02750,0.02637,0.04708,0.02863,0.02900,0.03804,0.03465,0.03503,0.04783,0.06667,0.07458,0.04859,0.09040
0.1224,0.1593,0.03239,0.1175, 1.000,0.2060,0.02938,0.03653,0.02260,0.03315,0.02034,0.03955,0.09680,0.06554,0.06102,0.05989,0.06215,0.1017,0.08324
0.04595,0.1435,0.02448,0.03503,0.2060, 1.000,0.06516,0.04595,0.03277,0.02938,0.03465,0.02335,0.09755,0.07119,0.05725,0.03691,0.03390,0.08663,0.05009
0.02938,0.08324,0.01996,0.02750,0.02938,0.06516, 1.000,0.01695,0.04181,0.02335,0.02674,0.07420,0.03578,0.08023,0.07081,0.02938,0.02222,0.03917,0.02900
0.02599,0.02712,0.1119,0.02637,0.03653,0.04595,0.01695, 1.000,0.02524,0.03427,0.07156,0.02411,0.05348,0.01808,0.03126,0.05725,0.02486,0.03013,0.03277
0.01770,0.02750,0.02900,0.04708,0.02260,0.03277,0.04181,0.02524, 1.000,0.03164,0.02976,0.05574,0.02787,0.05913,0.02373,0.02448,0.03955,0.02448,0.02448
0.02599,0.02260,0.02825,0.02863,0.03315,0.02938,0.02335,0.03427,0.03164, 1.000,0.05311,0.04482,0.05009,0.02185,0.03804,0.03164,0.03616,0.03051,0.02750
0.03315,0.02373,0.04030,0.02900,0.02034,0.03465,0.02674,0.07156,0.02976,0.05311, 1.000,0.02938,0.06026,0.02335,0.02637,0.07269,0.02147,0.03164,0.02411
0.03729,0.02787,0.03126,0.03804,0.03955,0.02335,0.07420,0.02411,0.05574,0.04482,0.02938, 1.000,0.02524,0.05009,0.03691,0.02750,0.05838,0.03013,0.03089
0.03503,0.05198,0.02185,0.03465,0.09680,0.09755,0.03578,0.05348,0.02787,0.05009,0.06026,0.02524, 1.000,0.09454,0.03239,0.02260,0.02825,0.2064,0.03315
0.05876,0.1141,0.03164,0.03503,0.06554,0.07119,0.08023,0.01808,0.05913,0.02185,0.02335,0.05009,0.09454, 1.000,0.1021,0.03126,0.02750,0.07947,0.02712
0.09981,0.1303,0.05273,0.04783,0.06102,0.05725,0.07081,0.03126,0.02373,0.03804,0.02637,0.03691,0.03239,0.1021, 1.000,0.09906,0.02335,0.05122,0.02674
0.07872,0.06139,0.06441,0.06667,0.05989,0.03691,0.02938,0.05725,0.02448,0.03164,0.07269,0.02750,0.02260,0.03126,0.09906, 1.000,0.07232,0.03126,0.06667
0.04896,0.04407,0.03804,0.07458,0.06215,0.03390,0.02222,0.02486,0.03955,0.03616,0.02147,0.05838,0.02825,0.02750,0.02335,0.07232, 1.000,0.03277,0.2169
0.04746,0.07533,0.02298,0.04859,0.1017,0.08663,0.03917,0.03013,0.02448,0.03051,0.03164,0.03013,0.2064,0.07947,0.05122,0.03126,0.03277, 1.000,0.06855
0.05499,0.05235,0.03729,0.09040,0.08324,0.05009,0.02900,0.03277,0.02448,0.02750,0.02411,0.03089,0.03315,0.02712,0.02674,0.06667,0.2169,0.06855, 1.000
