Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.07195,0.09241,0.1406,0.1261,0.06205,0.04290,0.05083,0.03168,0.008581,0.02706,0.03234,0.05281,0.08119,0.05017,0.09175,0.06931,0.1043,0.08449
0.07195, 1.000,0.03564,0.04224,0.04356,0.1802,0.1465,0.04224,0.05479,0.05215,0.02376,0.06865,0.03630,0.1050,0.1036,0.07525,0.04026,0.05215,0.04818
0.09241,0.03564, 1.000,0.06601,0.05083,0.03102,0.03036,0.04884,0.02442,0.03696,0.04422,0.01980,0.02310,0.03366,0.03696,0.04884,0.05017,0.05215,0.04884
0.1406,0.04224,0.06601, 1.000,0.2178,0.05413,0.04554,0.03630,0.08119,0.05281,0.02376,0.06535,0.04950,0.05083,0.02244,0.04752,0.09967,0.1050,0.07327
0.1261,0.04356,0.05083,0.2178, 1.000,0.05017,0.02772,0.03168,0.03696,0.03234,0.02970,0.03696,0.03630,0.04026,0.04422,0.04422,0.1069,0.1188,0.08053
0.06205,0.1802,0.03102,0.05413,0.05017, 1.000,0.1102,0.02838,0.04488,0.03630,0.02640,0.03366,0.05083,0.08845,0.06865,0.04686,0.04818,0.06007,0.05281
0.04290,0.1465,0.03036,0.04554,0.02772,0.1102, 1.000,0.04158,0.08779,0.05215,0.03102,0.1102,0.03498,0.04620,0.07195,0.03168,0.03630,0.02904,0.01452
0.05083,0.04224,0.04884,0.03630,0.03168,0.02838,0.04158, 1.000,0.02772,0.03894,0.04620,0.04620,0.1043,0.03300,0.02112,0.07261,0.03036,0.04884,0.06007
0.03168,0.05479,0.02442,0.08119,0.03696,0.04488,0.08779,0.02772, 1.000,0.06997,0.03498,0.09637,0.01980,0.05809,0.01980,0.01914,0.06139,0.04026,0.03630
0.008581,0.05215,0.03696,0.05281,0.03234,0.03630,0.05215,0.03894,0.06997, 1.000,0.03960,0.09571,0.04752,0.06139,0.04554,0.01848,0.06205,0.05545,0.01122
0.02706,0.02376,0.04422,0.02376,0.02970,0.02640,0.03102,0.04620,0.03498,0.03960, 1.000,0.02310,0.04092,0.01650,0.02574,0.03168,0.01848,0.03828,0.02772
0.03234,0.06865,0.01980,0.06535,0.03696,0.03366,0.1102,0.04620,0.09637,0.09571,0.02310, 1.000,0.02970,0.07591,0.03498,0.04224,0.09703,0.04356,0.02772
0.05281,0.03630,0.02310,0.04950,0.03630,0.05083,0.03498,0.1043,0.01980,0.04752,0.04092,0.02970, 1.000,0.06337,0.02310,0.02046,0.02508,0.05413,0.03630
0.08119,0.1050,0.03366,0.05083,0.04026,0.08845,0.04620,0.03300,0.05809,0.06139,0.01650,0.07591,0.06337, 1.000,0.06403,0.03102,0.04290,0.08515,0.03432
0.05017,0.1036,0.03696,0.02244,0.04422,0.06865,0.07195,0.02112,0.01980,0.04554,0.02574,0.03498,0.02310,0.06403, 1.000,0.05017,0.03828,0.06271,0.03300
0.09175,0.07525,0.04884,0.04752,0.04422,0.04686,0.03168,0.07261,0.01914,0.01848,0.03168,0.04224,0.02046,0.03102,0.05017, 1.000,0.06931,0.06997,0.06799
0.06931,0.04026,0.05017,0.09967,0.1069,0.04818,0.03630,0.03036,0.06139,0.06205,0.01848,0.09703,0.02508,0.04290,0.03828,0.06931, 1.000,0.07657,0.1538
0.1043,0.05215,0.05215,0.1050,0.1188,0.06007,0.02904,0.04884,0.04026,0.05545,0.03828,0.04356,0.05413,0.08515,0.06271,0.06997,0.07657, 1.000,0.1050
0.08449,0.04818,0.04884,0.07327,0.08053,0.05281,0.01452,0.06007,0.03630,0.01122,0.02772,0.02772,0.03630,0.03432,0.03300,0.06799,0.1538,0.1050, 1.000
