Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1313,0.04967,0.07832,0.06563,0.04423,0.04822,0.02357,0.01994,0.02139,0.02792,0.01849,0.02248,0.04532,0.04170,0.07759,0.02792,0.06744,0.09572
0.1313, 1.000,0.03771,0.03771,0.05838,0.09246,0.1439,0.02321,0.03662,0.02574,0.03735,0.04315,0.03082,0.1255,0.06200,0.06200,0.03046,0.04423,0.03880
0.04967,0.03771, 1.000,0.03481,0.02502,0.02538,0.03553,0.07324,0.02067,0.03118,0.04822,0.02574,0.03408,0.02538,0.04641,0.05620,0.02538,0.03481,0.04460
0.07832,0.03771,0.03481, 1.000,0.07397,0.02864,0.02466,0.02030,0.03299,0.03771,0.02538,0.03118,0.02901,0.03263,0.02901,0.05076,0.05076,0.07107,0.06273
0.06563,0.05838,0.02502,0.07397, 1.000,0.1345,0.03372,0.03336,0.02139,0.06672,0.03662,0.01958,0.07723,0.03843,0.02284,0.03916,0.05910,0.1371,0.05693
0.04423,0.09246,0.02538,0.02864,0.1345, 1.000,0.05765,0.03372,0.02611,0.03299,0.04641,0.02103,0.09282,0.05076,0.02937,0.02973,0.03082,0.1095,0.05294
0.04822,0.1439,0.03553,0.02466,0.03372,0.05765, 1.000,0.02284,0.07034,0.03807,0.03481,0.03517,0.02393,0.08666,0.06200,0.03372,0.02067,0.04242,0.02502
0.02357,0.02321,0.07324,0.02030,0.03336,0.03372,0.02284, 1.000,0.02683,0.03408,0.07614,0.03009,0.09790,0.01668,0.03590,0.04677,0.03336,0.02429,0.02574
0.01994,0.03662,0.02067,0.03299,0.02139,0.02611,0.07034,0.02683, 1.000,0.05801,0.02466,0.07723,0.02175,0.04278,0.04641,0.02393,0.04786,0.02248,0.02538
0.02139,0.02574,0.03118,0.03771,0.06672,0.03299,0.03807,0.03408,0.05801, 1.000,0.05330,0.03118,0.06817,0.02792,0.05294,0.02175,0.05076,0.03662,0.03662
0.02792,0.03735,0.04822,0.02538,0.03662,0.04641,0.03481,0.07614,0.02466,0.05330, 1.000,0.01994,0.05874,0.04061,0.03916,0.03662,0.01849,0.04133,0.02393
0.01849,0.04315,0.02574,0.03118,0.01958,0.02103,0.03517,0.03009,0.07723,0.03118,0.01994, 1.000,0.02502,0.06164,0.04315,0.02647,0.03191,0.01595,0.01958
0.02248,0.03082,0.03408,0.02901,0.07723,0.09282,0.02393,0.09790,0.02175,0.06817,0.05874,0.02502, 1.000,0.02901,0.01994,0.02175,0.03771,0.06998,0.03263
0.04532,0.1255,0.02538,0.03263,0.03843,0.05076,0.08666,0.01668,0.04278,0.02792,0.04061,0.06164,0.02901, 1.000,0.1236,0.02756,0.02321,0.04351,0.02574
0.04170,0.06200,0.04641,0.02901,0.02284,0.02937,0.06200,0.03590,0.04641,0.05294,0.03916,0.04315,0.01994,0.1236, 1.000,0.02683,0.02248,0.03553,0.02792
0.07759,0.06200,0.05620,0.05076,0.03916,0.02973,0.03372,0.04677,0.02393,0.02175,0.03662,0.02647,0.02175,0.02756,0.02683, 1.000,0.04387,0.02864,0.04206
0.02792,0.03046,0.02538,0.05076,0.05910,0.03082,0.02067,0.03336,0.04786,0.05076,0.01849,0.03191,0.03771,0.02321,0.02248,0.04387, 1.000,0.03154,0.07397
0.06744,0.04423,0.03481,0.07107,0.1371,0.1095,0.04242,0.02429,0.02248,0.03662,0.04133,0.01595,0.06998,0.04351,0.03553,0.02864,0.03154, 1.000,0.1117
0.09572,0.03880,0.04460,0.06273,0.05693,0.05294,0.02502,0.02574,0.02538,0.03662,0.02393,0.01958,0.03263,0.02574,0.02792,0.04206,0.07397,0.1117, 1.000
