Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1154,0.03184,0.07363,0.03085,0.08458,0.08259,0.03582,0.02587,0.01891,0.03881,0.06866,0.07065,0.07861,0.04876,0.01791,0.04478,0.04478,0.04975
0.1154, 1.000,0.07861,0.04279,0.04179,0.07662,0.07363,0.03980,0.05672,0.04876,0.05373,0.07363,0.03383,0.09652,0.03980,0.03980,0.03284,0.03781,0.04776
0.03184,0.07861, 1.000,0.04080,0.01891,0.07662,0.05274,0.03682,0.01194,0.03184,0.05075,0.02886,0.03980,0.07463,0.04677,0.03881,0.03781,0.03483,0.03881
0.07363,0.04279,0.04080, 1.000,0.04080,0.04478,0.01194,0.03582,0.03383,0.03483,0.03184,0.05373,0.003980,0.04179,0.03980,0.03383,0.04080,0.04478,0.06169
0.03085,0.04179,0.01891,0.04080, 1.000,0.04080,0.03383,0.03184,0.04179,0.05274,0.03781,0.03582,0.02388,0.03085,0.004975,0.03483,0.03582,0.03582,0.04577
0.08458,0.07662,0.07662,0.04478,0.04080, 1.000,0.04478,0.04179,0.03781,0.02886,0.07562,0.05871,0.04577,0.05572,0.06368,0.05970,0.04179,0.04279,0.06667
0.08259,0.07363,0.05274,0.01194,0.03383,0.04478, 1.000,0.01692,0.04776,0.02488,0.04279,0.1801,0.03682,0.04677,0.02388,0.01493,0.02488,0.02388,0.05771
0.03582,0.03980,0.03682,0.03582,0.03184,0.04179,0.01692, 1.000,0.02687,0.009950,0.01990,0.01891,0.01990,0.03085,0.02488,0.03383,0.02488,0.03881,0.02786
0.02587,0.05672,0.01194,0.03383,0.04179,0.03781,0.04776,0.02687, 1.000,0.03881,0.02687,0.05970,0.02886,0.04378,0.04179,0.01791,0.03682,0.01891,0.02886
0.01891,0.04876,0.03184,0.03483,0.05274,0.02886,0.02488,0.009950,0.03881, 1.000,0.03284,0.05771,0.03881,0.06269,0.02488,0.01791,0.02786,0.03682,0.04677
0.03881,0.05373,0.05075,0.03184,0.03781,0.07562,0.04279,0.01990,0.02687,0.03284, 1.000,0.02985,0.03284,0.03682,0.02985,0.02886,0.02985,0.03980,0.03781
0.06866,0.07363,0.02886,0.05373,0.03582,0.05871,0.1801,0.01891,0.05970,0.05771,0.02985, 1.000,0.02189,0.06567,0.03085,0.03383,0.05075,0.03980,0.03582
0.07065,0.03383,0.03980,0.003980,0.02388,0.04577,0.03682,0.01990,0.02886,0.03881,0.03284,0.02189, 1.000,0.03682,0.01592,0.03284,0.01294,0.03085,0.04478
0.07861,0.09652,0.07463,0.04179,0.03085,0.05572,0.04677,0.03085,0.04378,0.06269,0.03682,0.06567,0.03682, 1.000,0.04876,0.02985,0.04478,0.02488,0.02587
0.04876,0.03980,0.04677,0.03980,0.004975,0.06368,0.02388,0.02488,0.04179,0.02488,0.02985,0.03085,0.01592,0.04876, 1.000,0.02488,0.02786,0.02786,0.01592
0.01791,0.03980,0.03881,0.03383,0.03483,0.05970,0.01493,0.03383,0.01791,0.01791,0.02886,0.03383,0.03284,0.02985,0.02488, 1.000,0.02388,0.01791,0.02289
0.04478,0.03284,0.03781,0.04080,0.03582,0.04179,0.02488,0.02488,0.03682,0.02786,0.02985,0.05075,0.01294,0.04478,0.02786,0.02388, 1.000,0.02388,0.03881
0.04478,0.03781,0.03483,0.04478,0.03582,0.04279,0.02388,0.03881,0.01891,0.03682,0.03980,0.03980,0.03085,0.02488,0.02786,0.01791,0.02388, 1.000,0.02189
0.04975,0.04776,0.03881,0.06169,0.04577,0.06667,0.05771,0.02786,0.02886,0.04677,0.03781,0.03582,0.04478,0.02587,0.01592,0.02289,0.03881,0.02189, 1.000
