Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1088,0.02363,0.1322,0.08651,0.04883,0.1755,0.02631,0.02363,0.02029,0.02965,0.03746,0.04169,0.02653,0.02230,0.02631,0.04348,0.03099,0.04125
0.1088, 1.000,0.01962,0.03233,0.03657,0.1933,0.2392,0.02564,0.02274,0.02140,0.04259,0.02341,0.03790,0.03501,0.03567,0.02787,0.02943,0.03478,0.04214
0.02363,0.01962, 1.000,0.02408,0.02564,0.02542,0.01851,0.05151,0.06622,0.03344,0.02074,0.03389,0.01761,0.02319,0.01962,0.02386,0.06734,0.02140,0.03857
0.1322,0.03233,0.02408, 1.000,0.03657,0.01806,0.04727,0.02185,0.02163,0.02274,0.02051,0.03657,0.02988,0.02832,0.02074,0.02720,0.02720,0.03032,0.03278
0.08651,0.03657,0.02564,0.03657, 1.000,0.03255,0.04593,0.04036,0.03567,0.02274,0.03300,0.02899,0.04571,0.02653,0.02319,0.02230,0.03478,0.02631,0.03902
0.04883,0.1933,0.02542,0.01806,0.03255, 1.000,0.1233,0.05797,0.03657,0.03211,0.03278,0.05463,0.03411,0.03969,0.02074,0.02341,0.02096,0.02653,0.02787
0.1755,0.2392,0.01851,0.04727,0.04593,0.1233, 1.000,0.03746,0.03790,0.02609,0.04326,0.04548,0.04103,0.07425,0.02676,0.02520,0.02520,0.02965,0.02988
0.02631,0.02564,0.05151,0.02185,0.04036,0.05797,0.03746, 1.000,0.1706,0.03813,0.04169,0.05061,0.04058,0.03545,0.02074,0.02475,0.02564,0.02140,0.01962
0.02363,0.02274,0.06622,0.02163,0.03567,0.03657,0.03790,0.1706, 1.000,0.02742,0.03411,0.05084,0.02453,0.02943,0.02408,0.02765,0.02051,0.02118,0.02564
0.02029,0.02140,0.03344,0.02274,0.02274,0.03211,0.02609,0.03813,0.02742, 1.000,0.02832,0.01918,0.02720,0.02631,0.02051,0.02453,0.02676,0.02765,0.02742
0.02965,0.04259,0.02074,0.02051,0.03300,0.03278,0.04326,0.04169,0.03411,0.02832, 1.000,0.02564,0.03211,0.05641,0.02029,0.02520,0.02140,0.04838,0.02586
0.03746,0.02341,0.03389,0.03657,0.02899,0.05463,0.04548,0.05061,0.05084,0.01918,0.02564, 1.000,0.02631,0.03612,0.02341,0.02609,0.02118,0.02542,0.01962
0.04169,0.03790,0.01761,0.02988,0.04571,0.03411,0.04103,0.04058,0.02453,0.02720,0.03211,0.02631, 1.000,0.03032,0.02163,0.02386,0.01784,0.04080,0.01984
0.02653,0.03501,0.02319,0.02832,0.02653,0.03969,0.07425,0.03545,0.02943,0.02631,0.05641,0.03612,0.03032, 1.000,0.02252,0.02207,0.02297,0.02096,0.01873
0.02230,0.03567,0.01962,0.02074,0.02319,0.02074,0.02676,0.02074,0.02408,0.02051,0.02029,0.02341,0.02163,0.02252, 1.000,0.01895,0.02029,0.02118,0.02319
0.02631,0.02787,0.02386,0.02720,0.02230,0.02341,0.02520,0.02475,0.02765,0.02453,0.02520,0.02609,0.02386,0.02207,0.01895, 1.000,0.02787,0.01761,0.03344
0.04348,0.02943,0.06734,0.02720,0.03478,0.02096,0.02520,0.02564,0.02051,0.02676,0.02140,0.02118,0.01784,0.02297,0.02029,0.02787, 1.000,0.02274,0.04103
0.03099,0.03478,0.02140,0.03032,0.02631,0.02653,0.02965,0.02140,0.02118,0.02765,0.04838,0.02542,0.04080,0.02096,0.02118,0.01761,0.02274, 1.000,0.03344
0.04125,0.04214,0.03857,0.03278,0.03902,0.02787,0.02988,0.01962,0.02564,0.02742,0.02586,0.01962,0.01984,0.01873,0.02319,0.03344,0.04103,0.03344, 1.000
