Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09383,0.1252,0.04691,0.03598,0.04480,0.05608,0.02187,0.02399,0.02187,0.02787,0.02328,0.04515,0.04480,0.05115,0.07090,0.03915,0.1467,0.03668
0.09383, 1.000,0.08078,0.02928,0.03139,0.2624,0.2850,0.02363,0.02610,0.02822,0.02575,0.02892,0.04056,0.1164,0.1019,0.05644,0.03880,0.05397,0.05044
0.1252,0.08078, 1.000,0.06349,0.01975,0.04374,0.05256,0.02751,0.02646,0.02681,0.03704,0.02681,0.02046,0.02751,0.08325,0.2215,0.07090,0.03880,0.06455
0.04691,0.02928,0.06349, 1.000,0.04480,0.02751,0.02504,0.01869,0.07866,0.05432,0.02434,0.05538,0.02822,0.02116,0.02787,0.07160,0.04903,0.03739,0.03986
0.03598,0.03139,0.01975,0.04480, 1.000,0.04374,0.02928,0.03457,0.02751,0.04268,0.02293,0.02116,0.05926,0.02998,0.02540,0.02363,0.02504,0.03704,0.04233
0.04480,0.2624,0.04374,0.02751,0.04374, 1.000,0.1090,0.03845,0.02646,0.02681,0.02681,0.03492,0.07337,0.09242,0.06596,0.04092,0.03280,0.05291,0.05891
0.05608,0.2850,0.05256,0.02504,0.02928,0.1090, 1.000,0.01975,0.03774,0.03845,0.03034,0.04268,0.02575,0.05538,0.07866,0.03563,0.02928,0.03069,0.02998
0.02187,0.02363,0.02751,0.01869,0.03457,0.03845,0.01975, 1.000,0.02646,0.05150,0.04762,0.02257,0.08254,0.02751,0.02646,0.02187,0.02152,0.02399,0.01764
0.02399,0.02610,0.02646,0.07866,0.02751,0.02646,0.03774,0.02646, 1.000,0.04515,0.01905,0.3108,0.02187,0.04832,0.02328,0.02293,0.03563,0.01940,0.02575
0.02187,0.02822,0.02681,0.05432,0.04268,0.02681,0.03845,0.05150,0.04515, 1.000,0.02857,0.05397,0.02681,0.01728,0.03104,0.02434,0.02152,0.02575,0.02540
0.02787,0.02575,0.03704,0.02434,0.02293,0.02681,0.03034,0.04762,0.01905,0.02857, 1.000,0.02081,0.02540,0.02504,0.02187,0.03069,0.01869,0.02399,0.02046
0.02328,0.02892,0.02681,0.05538,0.02116,0.03492,0.04268,0.02257,0.3108,0.05397,0.02081, 1.000,0.02328,0.06667,0.03104,0.02257,0.02998,0.01940,0.01869
0.04515,0.04056,0.02046,0.02822,0.05926,0.07337,0.02575,0.08254,0.02187,0.02681,0.02540,0.02328, 1.000,0.03527,0.02540,0.01940,0.02257,0.05750,0.01975
0.04480,0.1164,0.02751,0.02116,0.02998,0.09242,0.05538,0.02751,0.04832,0.01728,0.02504,0.06667,0.03527, 1.000,0.03915,0.02399,0.02081,0.05855,0.02998
0.05115,0.1019,0.08325,0.02787,0.02540,0.06596,0.07866,0.02646,0.02328,0.03104,0.02187,0.03104,0.02540,0.03915, 1.000,0.1644,0.02787,0.03104,0.05079
0.07090,0.05644,0.2215,0.07160,0.02363,0.04092,0.03563,0.02187,0.02293,0.02434,0.03069,0.02257,0.01940,0.02399,0.1644, 1.000,0.05291,0.03175,0.08571
0.03915,0.03880,0.07090,0.04903,0.02504,0.03280,0.02928,0.02152,0.03563,0.02152,0.01869,0.02998,0.02257,0.02081,0.02787,0.05291, 1.000,0.03845,0.1136
0.1467,0.05397,0.03880,0.03739,0.03704,0.05291,0.03069,0.02399,0.01940,0.02575,0.02399,0.01940,0.05750,0.05855,0.03104,0.03175,0.03845, 1.000,0.04832
0.03668,0.05044,0.06455,0.03986,0.04233,0.05891,0.02998,0.01764,0.02575,0.02540,0.02046,0.01869,0.01975,0.02998,0.05079,0.08571,0.1136,0.04832, 1.000
