Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.05792,0.1002,0.1002,0.07534,0.03056,0.1002,0.1002,0.05864,0.04726,0.1002,0.1002,0.08955,0.06468,0.08102,0.1002,0.1002,0.1027,0.1105
0.05792, 1.000,0.06610,0.06610,0.3291,0.1620,0.06610,0.06610,0.09666,0.07925,0.06610,0.06610,0.2011,0.09666,0.1446,0.06610,0.06610,0.2278,0.2605
0.1002,0.06610, 1.000, 1.000,0.05721,0.03767, 1.000, 1.000,0.1485,0.1421,0.9996, 1.000,0.1059,0.05792,0.1084,0.9996,0.9996,0.08778,0.08102
0.1002,0.06610, 1.000, 1.000,0.05721,0.03767, 1.000, 1.000,0.1485,0.1421,0.9996, 1.000,0.1059,0.05792,0.1084,0.9996,0.9996,0.08778,0.08102
0.07534,0.3291,0.05721,0.05721, 1.000,0.1244,0.05721,0.05721,0.1009,0.07818,0.05721,0.05721,0.1677,0.08493,0.1478,0.05721,0.05721,0.2189,0.2090
0.03056,0.1620,0.03767,0.03767,0.1244, 1.000,0.03767,0.03767,0.05970,0.05579,0.03767,0.03767,0.1290,0.05864,0.07605,0.03767,0.03767,0.1173,0.1066
0.1002,0.06610, 1.000, 1.000,0.05721,0.03767, 1.000, 1.000,0.1485,0.1421,0.9996, 1.000,0.1059,0.05792,0.1084,0.9996,0.9996,0.08778,0.08102
0.1002,0.06610, 1.000, 1.000,0.05721,0.03767, 1.000, 1.000,0.1485,0.1421,0.9996, 1.000,0.1059,0.05792,0.1084,0.9996,0.9996,0.08778,0.08102
0.05864,0.09666,0.1485,0.1485,0.1009,0.05970,0.1485,0.1485, 1.000,0.1393,0.1485,0.1485,0.08991,0.04158,0.1521,0.1485,0.1485,0.09559,0.1169
0.04726,0.07925,0.1421,0.1421,0.07818,0.05579,0.1421,0.1421,0.1393, 1.000,0.1421,0.1421,0.07107,0.03980,0.1368,0.1421,0.1421,0.07889,0.08422
0.1002,0.06610,0.9996,0.9996,0.05721,0.03767,0.9996,0.9996,0.1485,0.1421, 1.000,0.9996,0.1059,0.05792,0.1084, 1.000, 1.000,0.08778,0.08102
0.1002,0.06610, 1.000, 1.000,0.05721,0.03767, 1.000, 1.000,0.1485,0.1421,0.9996, 1.000,0.1059,0.05792,0.1084,0.9996,0.9996,0.08778,0.08102
0.08955,0.2011,0.1059,0.1059,0.1677,0.1290,0.1059,0.1059,0.08991,0.07107,0.1059,0.1059, 1.000,0.07605,0.1208,0.1059,0.1059,0.2903,0.2950
0.06468,0.09666,0.05792,0.05792,0.08493,0.05864,0.05792,0.05792,0.04158,0.03980,0.05792,0.05792,0.07605, 1.000,0.04229,0.05792,0.05792,0.07356,0.07356
0.08102,0.1446,0.1084,0.1084,0.1478,0.07605,0.1084,0.1084,0.1521,0.1368,0.1084,0.1084,0.1208,0.04229, 1.000,0.1084,0.1084,0.1237,0.1393
0.1002,0.06610,0.9996,0.9996,0.05721,0.03767,0.9996,0.9996,0.1485,0.1421, 1.000,0.9996,0.1059,0.05792,0.1084, 1.000, 1.000,0.08778,0.08102
0.1002,0.06610,0.9996,0.9996,0.05721,0.03767,0.9996,0.9996,0.1485,0.1421, 1.000,0.9996,0.1059,0.05792,0.1084, 1.000, 1.000,0.08778,0.08102
0.1027,0.2278,0.08778,0.08778,0.2189,0.1173,0.08778,0.08778,0.09559,0.07889,0.08778,0.08778,0.2903,0.07356,0.1237,0.08778,0.08778, 1.000,0.2719
0.1105,0.2605,0.08102,0.08102,0.2090,0.1066,0.08102,0.08102,0.1169,0.08422,0.08102,0.08102,0.2950,0.07356,0.1393,0.08102,0.08102,0.2719, 1.000
