Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.07849,0.01622,0.09942,0.07535,0.01622,0.03192,0.01622,0.01832,0.1952,0.01622,0.01622,0.1261,0.06907,0.01622,0.1324,0.1486,0.01622,0.1392
0.07849, 1.000,0.02512,0.03349,0.6541,0.02512,0.05076,0.02512,0.03401,0.03035,0.02512,0.02512,0.1293,0.09785,0.02512,0.1183,0.1204,0.02512,0.1141
0.01622,0.02512, 1.000,0.3925,0.02564,0.9990,0.01988, 1.000,0.02198,0.01675,0.9990, 1.000,0.02198,0.01047,0.9990,0.01047,0.02302,0.9990,0.02198
0.09942,0.03349,0.3925, 1.000,0.03768,0.3925,0.03035,0.3925,0.02355,0.1099,0.3925,0.3925,0.05442,0.03401,0.3925,0.05128,0.07012,0.3925,0.06227
0.07535,0.6541,0.02564,0.03768, 1.000,0.02564,0.05442,0.02564,0.03663,0.03087,0.02564,0.02564,0.1324,0.09471,0.02564,0.1177,0.1167,0.02564,0.1052
0.01622,0.02512,0.9990,0.3925,0.02564, 1.000,0.01988,0.9990,0.02198,0.01675, 1.000,0.9990,0.02198,0.01047, 1.000,0.01047,0.02302, 1.000,0.02198
0.03192,0.05076,0.01988,0.03035,0.05442,0.01988, 1.000,0.01988,0.02983,0.02407,0.01988,0.01988,0.06593,0.06122,0.01988,0.05756,0.06070,0.01988,0.05442
0.01622,0.02512, 1.000,0.3925,0.02564,0.9990,0.01988, 1.000,0.02198,0.01675,0.9990, 1.000,0.02198,0.01047,0.9990,0.01047,0.02302,0.9990,0.02198
0.01832,0.03401,0.02198,0.02355,0.03663,0.02198,0.02983,0.02198, 1.000,0.01622,0.02198,0.02198,0.01727,0.01779,0.02198,0.02250,0.01518,0.02198,0.01622
0.1952,0.03035,0.01675,0.1099,0.03087,0.01675,0.02407,0.01675,0.01622, 1.000,0.01675,0.01675,0.1083,0.03297,0.01675,0.1198,0.1209,0.01675,0.1298
0.01622,0.02512,0.9990,0.3925,0.02564, 1.000,0.01988,0.9990,0.02198,0.01675, 1.000,0.9990,0.02198,0.01047, 1.000,0.01047,0.02302, 1.000,0.02198
0.01622,0.02512, 1.000,0.3925,0.02564,0.9990,0.01988, 1.000,0.02198,0.01675,0.9990, 1.000,0.02198,0.01047,0.9990,0.01047,0.02302,0.9990,0.02198
0.1261,0.1293,0.02198,0.05442,0.1324,0.02198,0.06593,0.02198,0.01727,0.1083,0.02198,0.02198, 1.000,0.07640,0.02198,0.4186,0.5024,0.02198,0.4898
0.06907,0.09785,0.01047,0.03401,0.09471,0.01047,0.06122,0.01047,0.01779,0.03297,0.01047,0.01047,0.07640, 1.000,0.01047,0.07221,0.08425,0.01047,0.08425
0.01622,0.02512,0.9990,0.3925,0.02564, 1.000,0.01988,0.9990,0.02198,0.01675, 1.000,0.9990,0.02198,0.01047, 1.000,0.01047,0.02302, 1.000,0.02198
0.1324,0.1183,0.01047,0.05128,0.1177,0.01047,0.05756,0.01047,0.02250,0.1198,0.01047,0.01047,0.4186,0.07221,0.01047, 1.000,0.5160,0.01047,0.4898
0.1486,0.1204,0.02302,0.07012,0.1167,0.02302,0.06070,0.02302,0.01518,0.1209,0.02302,0.02302,0.5024,0.08425,0.02302,0.5160, 1.000,0.02302,0.5704
0.01622,0.02512,0.9990,0.3925,0.02564, 1.000,0.01988,0.9990,0.02198,0.01675, 1.000,0.9990,0.02198,0.01047, 1.000,0.01047,0.02302, 1.000,0.02198
0.1392,0.1141,0.02198,0.06227,0.1052,0.02198,0.05442,0.02198,0.01622,0.1298,0.02198,0.02198,0.4898,0.08425,0.02198,0.4898,0.5704,0.02198, 1.000
