Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.01822,0.02242,0.02162,0.02002,0.9936,0.02242,0.01942,0.02563,0.01862,0.02222,0.02162,0.01762,0.01802,0.02042,0.02122,0.02042,0.02102,0.01842
0.01822, 1.000,0.02182,0.02262,0.02503,0.01862,0.02142,0.02402,0.02222,0.02663,0.02322,0.01902,0.02362,0.02543,0.01762,0.02402,0.02202,0.02082,0.01922
0.02242,0.02182, 1.000,0.01982,0.02362,0.02222,0.01882,0.02222,0.02142,0.02182,0.02142,0.02202,0.02002,0.02342,0.02482,0.02202,0.02422,0.02022,0.01942
0.02162,0.02262,0.01982, 1.000,0.02382,0.02162,0.01942,0.02422,0.02162,0.02603,0.02222,0.02583,0.01942,0.02282,0.02282,0.02683,0.02402,0.02062,0.01982
0.02002,0.02503,0.02362,0.02382, 1.000,0.02022,0.02362,0.02362,0.02362,0.02362,0.02402,0.02482,0.02002,0.02142,0.02202,0.02623,0.02442,0.02202,0.02563
0.9936,0.01862,0.02222,0.02162,0.02022, 1.000,0.02262,0.01962,0.02563,0.01802,0.02182,0.02162,0.01742,0.01802,0.02042,0.02082,0.02042,0.02142,0.01842
0.02242,0.02142,0.01882,0.01942,0.02362,0.02262, 1.000,0.02623,0.02222,0.02142,0.01982,0.02022,0.02322,0.02182,0.02262,0.02082,0.02342,0.01822,0.01882
0.01942,0.02402,0.02222,0.02422,0.02362,0.01962,0.02623, 1.000,0.02503,0.01982,0.02382,0.02302,0.01742,0.02282,0.02262,0.02042,0.01982,0.02182,0.02362
0.02563,0.02222,0.02142,0.02162,0.02362,0.02563,0.02222,0.02503, 1.000,0.02222,0.02462,0.02202,0.02182,0.02442,0.02082,0.01842,0.02402,0.02102,0.02262
0.01862,0.02663,0.02182,0.02603,0.02362,0.01802,0.02142,0.01982,0.02222, 1.000,0.02202,0.02102,0.02182,0.01982,0.02062,0.01782,0.01962,0.02102,0.02282
0.02222,0.02322,0.02142,0.02222,0.02402,0.02182,0.01982,0.02382,0.02462,0.02202, 1.000,0.01882,0.02042,0.02182,0.02322,0.01922,0.01982,0.02402,0.02142
0.02162,0.01902,0.02202,0.02583,0.02482,0.02162,0.02022,0.02302,0.02202,0.02102,0.01882, 1.000,0.02222,0.02002,0.02102,0.02262,0.02222,0.02262,0.01902
0.01762,0.02362,0.02002,0.01942,0.02002,0.01742,0.02322,0.01742,0.02182,0.02182,0.02042,0.02222, 1.000,0.02022,0.02002,0.02162,0.02462,0.02062,0.01862
0.01802,0.02543,0.02342,0.02282,0.02142,0.01802,0.02182,0.02282,0.02442,0.01982,0.02182,0.02002,0.02022, 1.000,0.01982,0.02482,0.02042,0.02202,0.02222
0.02042,0.01762,0.02482,0.02282,0.02202,0.02042,0.02262,0.02262,0.02082,0.02062,0.02322,0.02102,0.02002,0.01982, 1.000,0.02002,0.02222,0.02402,0.02262
0.02122,0.02402,0.02202,0.02683,0.02623,0.02082,0.02082,0.02042,0.01842,0.01782,0.01922,0.02262,0.02162,0.02482,0.02002, 1.000,0.02102,0.02182,0.02022
0.02042,0.02202,0.02422,0.02402,0.02442,0.02042,0.02342,0.01982,0.02402,0.01962,0.01982,0.02222,0.02462,0.02042,0.02222,0.02102, 1.000,0.01822,0.02002
0.02102,0.02082,0.02022,0.02062,0.02202,0.02142,0.01822,0.02182,0.02102,0.02102,0.02402,0.02262,0.02062,0.02202,0.02402,0.02182,0.01822, 1.000,0.02042
0.01842,0.01922,0.01942,0.01982,0.02563,0.01842,0.01882,0.02362,0.02262,0.02282,0.02142,0.01902,0.01862,0.02222,0.02262,0.02022,0.02002,0.02042, 1.000
