Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02434,0.05339,0.05671,0.02656,0.01494,0.02296,0.03485,0.02573,0.02905,0.01964,0.02158,0.02988,0.02822,0.02241,0.01798,0.02185,0.02711,0.02130
0.02434, 1.000,0.02268,0.01826,0.02351,0.03015,0.03402,0.04011,0.02019,0.02351,0.02185,0.04260,0.03873,0.02656,0.02711,0.02490,0.02877,0.02324,0.02434
0.05339,0.02268, 1.000,0.05643,0.02462,0.02351,0.02130,0.02683,0.02628,0.02268,0.02185,0.02545,0.02324,0.02794,0.01715,0.02185,0.02379,0.02047,0.01826
0.05671,0.01826,0.05643, 1.000,0.02877,0.01770,0.02130,0.03375,0.02628,0.01992,0.01549,0.02213,0.03292,0.02324,0.02241,0.01992,0.02573,0.02407,0.02241
0.02656,0.02351,0.02462,0.02877, 1.000,0.02711,0.02351,0.02739,0.02241,0.01909,0.02324,0.02268,0.02849,0.01909,0.02268,0.01992,0.01936,0.01992,0.02296
0.01494,0.03015,0.02351,0.01770,0.02711, 1.000,0.02545,0.03762,0.01826,0.02130,0.02739,0.02075,0.03845,0.02656,0.02130,0.02379,0.03402,0.02379,0.02849
0.02296,0.03402,0.02130,0.02130,0.02351,0.02545, 1.000,0.03347,0.02019,0.01964,0.02407,0.02988,0.03956,0.02268,0.02296,0.02517,0.02766,0.02434,0.02379
0.03485,0.04011,0.02683,0.03375,0.02739,0.03762,0.03347, 1.000,0.02656,0.03292,0.03181,0.03541,0.3585,0.02434,0.03651,0.04288,0.03707,0.02822,0.03845
0.02573,0.02019,0.02628,0.02628,0.02241,0.01826,0.02019,0.02656, 1.000,0.02158,0.02351,0.02185,0.03071,0.02324,0.02241,0.02379,0.02047,0.02379,0.02185
0.02905,0.02351,0.02268,0.01992,0.01909,0.02130,0.01964,0.03292,0.02158, 1.000,0.02379,0.02407,0.03320,0.02102,0.02379,0.01853,0.02102,0.02019,0.01992
0.01964,0.02185,0.02185,0.01549,0.02324,0.02739,0.02407,0.03181,0.02351,0.02379, 1.000,0.02600,0.03071,0.02130,0.02075,0.02490,0.02379,0.02185,0.02434
0.02158,0.04260,0.02545,0.02213,0.02268,0.02075,0.02988,0.03541,0.02185,0.02407,0.02600, 1.000,0.04066,0.01909,0.02988,0.03071,0.03264,0.02158,0.02213
0.02988,0.03873,0.02324,0.03292,0.02849,0.03845,0.03956,0.3585,0.03071,0.03320,0.03071,0.04066, 1.000,0.02407,0.03181,0.03900,0.03292,0.02296,0.03651
0.02822,0.02656,0.02794,0.02324,0.01909,0.02656,0.02268,0.02434,0.02324,0.02102,0.02130,0.01909,0.02407, 1.000,0.02130,0.02379,0.02324,0.1676,0.01992
0.02241,0.02711,0.01715,0.02241,0.02268,0.02130,0.02296,0.03651,0.02241,0.02379,0.02075,0.02988,0.03181,0.02130, 1.000,0.02822,0.02351,0.02296,0.02185
0.01798,0.02490,0.02185,0.01992,0.01992,0.02379,0.02517,0.04288,0.02379,0.01853,0.02490,0.03071,0.03900,0.02379,0.02822, 1.000,0.02434,0.02075,0.02268
0.02185,0.02877,0.02379,0.02573,0.01936,0.03402,0.02766,0.03707,0.02047,0.02102,0.02379,0.03264,0.03292,0.02324,0.02351,0.02434, 1.000,0.02351,0.02600
0.02711,0.02324,0.02047,0.02407,0.01992,0.02379,0.02434,0.02822,0.02379,0.02019,0.02185,0.02158,0.02296,0.1676,0.02296,0.02075,0.02351, 1.000,0.02434
0.02130,0.02434,0.01826,0.02241,0.02296,0.02849,0.02379,0.03845,0.02185,0.01992,0.02434,0.02213,0.03651,0.01992,0.02185,0.02268,0.02600,0.02434, 1.000
