Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2981,0.09678,0.02783,0.3191,0.2693,0.2192,0.05906,0.03463,0.02597,0.02783,0.02752,0.02876,0.03061,0.03030,0.1169,0.1153,0.02783,0.1156
0.2981, 1.000,0.06741,0.02226,0.3321,0.3432,0.3207,0.03865,0.03030,0.02319,0.02257,0.02876,0.02876,0.04082,0.03278,0.08287,0.08071,0.04360,0.07823
0.09678,0.06741, 1.000,0.02814,0.08565,0.05875,0.05999,0.1855,0.02814,0.02845,0.02814,0.04793,0.02412,0.04298,0.03401,0.1506,0.1528,0.03432,0.1484
0.02783,0.02226,0.02814, 1.000,0.02536,0.02783,0.03030,0.02597,0.02010,0.07236,0.9963,0.02505,0.4363,0.02876,0.02628,0.03741,0.04020,0.02968,0.03927
0.3191,0.3321,0.08565,0.02536, 1.000,0.3006,0.2557,0.04051,0.02690,0.02968,0.02566,0.03123,0.02566,0.03370,0.03061,0.1085,0.1107,0.02783,0.1042
0.2693,0.3432,0.05875,0.02783,0.3006, 1.000,0.2866,0.04082,0.02690,0.01824,0.02814,0.02659,0.02907,0.03741,0.02938,0.08256,0.08349,0.03711,0.08442
0.2192,0.3207,0.05999,0.03030,0.2557,0.2866, 1.000,0.03556,0.02968,0.01948,0.03061,0.02752,0.03463,0.04762,0.04731,0.05999,0.05875,0.04143,0.05751
0.05906,0.03865,0.1855,0.02597,0.04051,0.04082,0.03556, 1.000,0.02999,0.02938,0.02597,0.06772,0.03618,0.05690,0.04886,0.08844,0.09153,0.05195,0.08967
0.03463,0.03030,0.02814,0.02010,0.02690,0.02690,0.02968,0.02999, 1.000,0.04607,0.02010,0.05875,0.02165,0.02072,0.02103,0.03494,0.04051,0.01824,0.03525
0.02597,0.02319,0.02845,0.07236,0.02968,0.01824,0.01948,0.02938,0.04607, 1.000,0.07205,0.03216,0.03309,0.02288,0.01979,0.03711,0.03525,0.02072,0.03309
0.02783,0.02257,0.02814,0.9963,0.02566,0.02814,0.03061,0.02597,0.02010,0.07205, 1.000,0.02505,0.4382,0.02845,0.02597,0.03772,0.04051,0.02999,0.03958
0.02752,0.02876,0.04793,0.02505,0.03123,0.02659,0.02752,0.06772,0.05875,0.03216,0.02505, 1.000,0.04793,0.08565,0.08318,0.04453,0.04298,0.08844,0.04391
0.02876,0.02876,0.02412,0.4363,0.02566,0.02907,0.03463,0.03618,0.02165,0.03309,0.4382,0.04793, 1.000,0.2279,0.2294,0.02165,0.02752,0.2211,0.02721
0.03061,0.04082,0.04298,0.02876,0.03370,0.03741,0.04762,0.05690,0.02072,0.02288,0.02845,0.08565,0.2279, 1.000,0.3442,0.02226,0.02443,0.3352,0.02226
0.03030,0.03278,0.03401,0.02628,0.03061,0.02938,0.04731,0.04886,0.02103,0.01979,0.02597,0.08318,0.2294,0.3442, 1.000,0.02752,0.02845,0.3667,0.02257
0.1169,0.08287,0.1506,0.03741,0.1085,0.08256,0.05999,0.08844,0.03494,0.03711,0.03772,0.04453,0.02165,0.02226,0.02752, 1.000,0.6178,0.02814,0.6095
0.1153,0.08071,0.1528,0.04020,0.1107,0.08349,0.05875,0.09153,0.04051,0.03525,0.04051,0.04298,0.02752,0.02443,0.02845,0.6178, 1.000,0.02103,0.6327
0.02783,0.04360,0.03432,0.02968,0.02783,0.03711,0.04143,0.05195,0.01824,0.02072,0.02999,0.08844,0.2211,0.3352,0.3667,0.02814,0.02103, 1.000,0.02288
0.1156,0.07823,0.1484,0.03927,0.1042,0.08442,0.05751,0.08967,0.03525,0.03309,0.03958,0.04391,0.02721,0.02226,0.02257,0.6095,0.6327,0.02288, 1.000
