Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4186,0.09869,0.1549,0.1829,0.3699,0.1018,0.05418,0.09972,0.05141,0.1018,0.03278,0.1018,0.1970,0.2177,0.2208,0.2350,0.08454,0.2191
0.4186, 1.000,0.07971,0.2088,0.2433,0.7864,0.2233,0.06315,0.1418,0.07039,0.2233,0.03796,0.2233,0.1667,0.1815,0.1781,0.2181,0.1598,0.1884
0.09869,0.07971, 1.000,0.08592,0.08661,0.07798,0.04417,0.1360,0.02622,0.05625,0.04417,0.04624,0.04417,0.2305,0.2188,0.2212,0.2119,0.04658,0.2119
0.1549,0.2088,0.08592, 1.000,0.3192,0.2236,0.08420,0.07350,0.05072,0.1118,0.08420,0.07143,0.08420,0.1215,0.1173,0.1266,0.1339,0.1011,0.1287
0.1829,0.2433,0.08661,0.3192, 1.000,0.2795,0.1322,0.1342,0.05141,0.1273,0.1322,0.04658,0.1322,0.09972,0.1039,0.1146,0.1211,0.1166,0.1146
0.3699,0.7864,0.07798,0.2236,0.2795, 1.000,0.2488,0.06660,0.1156,0.07315,0.2488,0.03830,0.2488,0.1529,0.1646,0.1639,0.1950,0.2005,0.1694
0.1018,0.2233,0.04417,0.08420,0.1322,0.2488, 1.000,0.05935,0.1294,0.06453,0.9990,0.04244,0.9990,0.04520,0.05141,0.04106,0.05832,0.2384,0.04796
0.05418,0.06315,0.1360,0.07350,0.1342,0.06660,0.05935, 1.000,0.03623,0.07315,0.05935,0.03796,0.05935,0.04279,0.04348,0.04796,0.04934,0.03520,0.05280
0.09972,0.1418,0.02622,0.05072,0.05141,0.1156,0.1294,0.03623, 1.000,0.04175,0.1294,0.03244,0.1294,0.06798,0.06694,0.06418,0.07729,0.08040,0.06763
0.05141,0.07039,0.05625,0.1118,0.1273,0.07315,0.06453,0.07315,0.04175, 1.000,0.06487,0.06211,0.06487,0.04210,0.04003,0.04417,0.04831,0.08247,0.04417
0.1018,0.2233,0.04417,0.08420,0.1322,0.2488,0.9990,0.05935,0.1294,0.06487, 1.000,0.04279, 1.000,0.04520,0.05141,0.04106,0.05866,0.2384,0.04831
0.03278,0.03796,0.04624,0.07143,0.04658,0.03830,0.04244,0.03796,0.03244,0.06211,0.04279, 1.000,0.04279,0.03347,0.03485,0.03451,0.03796,0.04762,0.03830
0.1018,0.2233,0.04417,0.08420,0.1322,0.2488,0.9990,0.05935,0.1294,0.06487, 1.000,0.04279, 1.000,0.04520,0.05141,0.04106,0.05866,0.2384,0.04831
0.1970,0.1667,0.2305,0.1215,0.09972,0.1529,0.04520,0.04279,0.06798,0.04210,0.04520,0.03347,0.04520, 1.000,0.6836,0.7022,0.6318,0.06211,0.5914
0.2177,0.1815,0.2188,0.1173,0.1039,0.1646,0.05141,0.04348,0.06694,0.04003,0.05141,0.03485,0.05141,0.6836, 1.000,0.7295,0.7271,0.05556,0.7036
0.2208,0.1781,0.2212,0.1266,0.1146,0.1639,0.04106,0.04796,0.06418,0.04417,0.04106,0.03451,0.04106,0.7022,0.7295, 1.000,0.7785,0.05728,0.7484
0.2350,0.2181,0.2119,0.1339,0.1211,0.1950,0.05832,0.04934,0.07729,0.04831,0.05866,0.03796,0.05866,0.6318,0.7271,0.7785, 1.000,0.06660,0.8406
0.08454,0.1598,0.04658,0.1011,0.1166,0.2005,0.2384,0.03520,0.08040,0.08247,0.2384,0.04762,0.2384,0.06211,0.05556,0.05728,0.06660, 1.000,0.05694
0.2191,0.1884,0.2119,0.1287,0.1146,0.1694,0.04796,0.05280,0.06763,0.04417,0.04831,0.03830,0.04831,0.5914,0.7036,0.7484,0.8406,0.05694, 1.000
