Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000, 1.000,0.05714, 1.000,0.02963,0.02540,0.04550,0.04127,0.03704,0.04127, 1.000,0.06667,0.02328,0.04868, 1.000,0.06772,0.02646, 1.000, 1.000
 1.000, 1.000,0.05714, 1.000,0.02963,0.02540,0.04550,0.04127,0.03704,0.04127, 1.000,0.06667,0.02328,0.04868, 1.000,0.06772,0.02646, 1.000, 1.000
0.05714,0.05714, 1.000,0.05714,0.03492,0.02646,0.03175,0.2275,0.02540,0.03704,0.05714,0.04127,0.02116,0.04550,0.05714,0.1312,0.03492,0.05714,0.05714
 1.000, 1.000,0.05714, 1.000,0.02963,0.02540,0.04550,0.04127,0.03704,0.04127, 1.000,0.06667,0.02328,0.04868, 1.000,0.06772,0.02646, 1.000, 1.000
0.02963,0.02963,0.03492,0.02963, 1.000,0.2529,0.03915,0.02963,0.04021,0.1132,0.02963,0.04656,0.1079,0.06455,0.02963,0.06243,0.08254,0.02963,0.02963
0.02540,0.02540,0.02646,0.02540,0.2529, 1.000,0.06667,0.03598,0.04762,0.06772,0.02540,0.03386,0.1577,0.08360,0.02540,0.04127,0.06772,0.02540,0.02540
0.04550,0.04550,0.03175,0.04550,0.03915,0.06667, 1.000,0.01376,0.06984,0.03598,0.04550,0.08042,0.06561,0.1101,0.04550,0.03175,0.03598,0.04550,0.04550
0.04127,0.04127,0.2275,0.04127,0.02963,0.03598,0.01376, 1.000,0.03280,0.05291,0.04127,0.03915,0.05820,0.02963,0.04127,0.07831,0.02328,0.04127,0.04127
0.03704,0.03704,0.02540,0.03704,0.04021,0.04762,0.06984,0.03280, 1.000,0.08889,0.03704,0.1270,0.04656,0.06243,0.03704,0.03280,0.07619,0.03704,0.03704
0.04127,0.04127,0.03704,0.04127,0.1132,0.06772,0.03598,0.05291,0.08889, 1.000,0.04127,0.04127,0.08148,0.03175,0.04127,0.03280,0.04974,0.04127,0.04127
 1.000, 1.000,0.05714, 1.000,0.02963,0.02540,0.04550,0.04127,0.03704,0.04127, 1.000,0.06667,0.02328,0.04868, 1.000,0.06772,0.02646, 1.000, 1.000
0.06667,0.06667,0.04127,0.06667,0.04656,0.03386,0.08042,0.03915,0.1270,0.04127,0.06667, 1.000,0.03598,0.07513,0.06667,0.03386,0.09312,0.06667,0.06667
0.02328,0.02328,0.02116,0.02328,0.1079,0.1577,0.06561,0.05820,0.04656,0.08148,0.02328,0.03598, 1.000,0.06561,0.02328,0.02857,0.04550,0.02328,0.02328
0.04868,0.04868,0.04550,0.04868,0.06455,0.08360,0.1101,0.02963,0.06243,0.03175,0.04868,0.07513,0.06561, 1.000,0.04868,0.02540,0.03704,0.04868,0.04868
 1.000, 1.000,0.05714, 1.000,0.02963,0.02540,0.04550,0.04127,0.03704,0.04127, 1.000,0.06667,0.02328,0.04868, 1.000,0.06772,0.02646, 1.000, 1.000
0.06772,0.06772,0.1312,0.06772,0.06243,0.04127,0.03175,0.07831,0.03280,0.03280,0.06772,0.03386,0.02857,0.02540,0.06772, 1.000,0.07725,0.06772,0.06772
0.02646,0.02646,0.03492,0.02646,0.08254,0.06772,0.03598,0.02328,0.07619,0.04974,0.02646,0.09312,0.04550,0.03704,0.02646,0.07725, 1.000,0.02646,0.02646
 1.000, 1.000,0.05714, 1.000,0.02963,0.02540,0.04550,0.04127,0.03704,0.04127, 1.000,0.06667,0.02328,0.04868, 1.000,0.06772,0.02646, 1.000, 1.000
 1.000, 1.000,0.05714, 1.000,0.02963,0.02540,0.04550,0.04127,0.03704,0.04127, 1.000,0.06667,0.02328,0.04868, 1.000,0.06772,0.02646, 1.000, 1.000
