Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2555,0.1003,0.1263,0.07552,0.1091,0.08555,0.09735,0.1150,0.08024,0.06608,0.1121,0.09971,0.09263,0.08319,0.08319,0.04130,0.08083,0.04897
0.2555, 1.000,0.1239,0.09853,0.08083,0.08614,0.08378,0.09027,0.1345,0.09086,0.07198,0.07611,0.08083,0.09558,0.08201,0.08614,0.05841,0.06667,0.04661
0.1003,0.1239, 1.000,0.2307,0.08496,0.09558,0.08319,0.1817,0.1894,0.1434,0.1032,0.07788,0.1617,0.1457,0.1345,0.09735,0.04543,0.1345,0.06667
0.1263,0.09853,0.2307, 1.000,0.1027,0.1091,0.1204,0.1646,0.1605,0.1050,0.09912,0.1068,0.1469,0.1457,0.1268,0.08319,0.04897,0.1345,0.07198
0.07552,0.08083,0.08496,0.1027, 1.000,0.6071,0.1687,0.08614,0.1086,0.6407,0.09853,0.5888,0.08555,0.08968,0.09912,0.5758,0.04012,0.07375,0.04602
0.1091,0.08614,0.09558,0.1091,0.6071, 1.000,0.1516,0.08437,0.1221,0.5971,0.08968,0.6348,0.06313,0.1009,0.05782,0.6000,0.03363,0.06844,0.03481
0.08555,0.08378,0.08319,0.1204,0.1687,0.1516, 1.000,0.09263,0.1086,0.1139,0.07552,0.1481,0.1003,0.09912,0.09027,0.1204,0.04189,0.07788,0.04130
0.09735,0.09027,0.1817,0.1646,0.08614,0.08437,0.09263, 1.000,0.1923,0.1251,0.1434,0.1245,0.1847,0.1941,0.1369,0.1168,0.04307,0.1581,0.07906
0.1150,0.1345,0.1894,0.1605,0.1086,0.1221,0.1086,0.1923, 1.000,0.1445,0.1068,0.09086,0.1628,0.1876,0.1493,0.1121,0.03658,0.1563,0.06549
0.08024,0.09086,0.1434,0.1050,0.6407,0.5971,0.1139,0.1251,0.1445, 1.000,0.1204,0.5864,0.08319,0.1156,0.09440,0.6189,0.03953,0.09499,0.06490
0.06608,0.07198,0.1032,0.09912,0.09853,0.08968,0.07552,0.1434,0.1068,0.1204, 1.000,0.1251,0.08673,0.1068,0.05487,0.1280,0.04189,0.08555,0.08496
0.1121,0.07611,0.07788,0.1068,0.5888,0.6348,0.1481,0.1245,0.09086,0.5864,0.1251, 1.000,0.07375,0.09204,0.05959,0.6283,0.03599,0.06785,0.04720
0.09971,0.08083,0.1617,0.1469,0.08555,0.06313,0.1003,0.1847,0.1628,0.08319,0.08673,0.07375, 1.000,0.1723,0.1581,0.07257,0.03540,0.2277,0.07788
0.09263,0.09558,0.1457,0.1457,0.08968,0.1009,0.09912,0.1941,0.1876,0.1156,0.1068,0.09204,0.1723, 1.000,0.1475,0.1074,0.04484,0.1776,0.1009
0.08319,0.08201,0.1345,0.1268,0.09912,0.05782,0.09027,0.1369,0.1493,0.09440,0.05487,0.05959,0.1581,0.1475, 1.000,0.07965,0.05900,0.1239,0.07080
0.08319,0.08614,0.09735,0.08319,0.5758,0.6000,0.1204,0.1168,0.1121,0.6189,0.1280,0.6283,0.07257,0.1074,0.07965, 1.000,0.04189,0.07611,0.06254
0.04130,0.05841,0.04543,0.04897,0.04012,0.03363,0.04189,0.04307,0.03658,0.03953,0.04189,0.03599,0.03540,0.04484,0.05900,0.04189, 1.000,0.03599,0.2448
0.08083,0.06667,0.1345,0.1345,0.07375,0.06844,0.07788,0.1581,0.1563,0.09499,0.08555,0.06785,0.2277,0.1776,0.1239,0.07611,0.03599, 1.000,0.1044
0.04897,0.04661,0.06667,0.07198,0.04602,0.03481,0.04130,0.07906,0.06549,0.06490,0.08496,0.04720,0.07788,0.1009,0.07080,0.06254,0.2448,0.1044, 1.000
