Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2405,0.6897,0.1516,0.2851,0.2468,0.04489,0.5313,0.1191,0.1462,0.2064,0.1115,0.06211,0.1287,0.5299,0.2261,0.1894,0.1516,0.1657
0.2405, 1.000,0.1920,0.1324,0.4139,0.4613,0.09373,0.1225,0.1206,0.2137,0.1629,0.07623,0.1101,0.2352,0.1378,0.1553,0.1429,0.2417,0.2473
0.6897,0.1920, 1.000,0.1587,0.2222,0.1925,0.04376,0.5822,0.1214,0.1454,0.2369,0.1197,0.06183,0.1078,0.5663,0.2665,0.2180,0.1225,0.1361
0.1516,0.1324,0.1587, 1.000,0.1443,0.1403,0.07199,0.1389,0.1796,0.1914,0.1587,0.1335,0.07566,0.09458,0.1474,0.1542,0.1609,0.09458,0.1067
0.2851,0.4139,0.2222,0.1443, 1.000,0.4139,0.07962,0.1440,0.1200,0.2233,0.1663,0.08046,0.08780,0.2095,0.1660,0.1657,0.1578,0.2244,0.2267
0.2468,0.4613,0.1925,0.1403,0.4139, 1.000,0.09176,0.1259,0.1121,0.2117,0.1443,0.08187,0.09091,0.2188,0.1471,0.1536,0.1440,0.2321,0.2434
0.04489,0.09373,0.04376,0.07199,0.07962,0.09176, 1.000,0.04800,0.07340,0.09684,0.06465,0.05110,0.6657,0.09345,0.05138,0.06635,0.06014,0.06945,0.07566
0.5313,0.1225,0.5822,0.1389,0.1440,0.1259,0.04800, 1.000,0.1533,0.1265,0.2973,0.1629,0.04997,0.08216,0.6059,0.2998,0.2857,0.08046,0.09994
0.1191,0.1206,0.1214,0.1796,0.1200,0.1121,0.07340,0.1533, 1.000,0.1940,0.2010,0.2558,0.08046,0.08950,0.1635,0.1931,0.2163,0.07425,0.09204
0.1462,0.2137,0.1454,0.1914,0.2233,0.2117,0.09684,0.1265,0.1940, 1.000,0.1649,0.1448,0.1149,0.1403,0.1637,0.1813,0.1869,0.1245,0.1282
0.2064,0.1629,0.2369,0.1587,0.1663,0.1443,0.06465,0.2973,0.2010,0.1649, 1.000,0.2182,0.07792,0.09006,0.3975,0.4370,0.4382,0.08018,0.1070
0.1115,0.07623,0.1197,0.1335,0.08046,0.08187,0.05110,0.1629,0.2558,0.1448,0.2182, 1.000,0.06748,0.06239,0.1875,0.2236,0.2990,0.05280,0.07425
0.06211,0.1101,0.06183,0.07566,0.08780,0.09091,0.6657,0.04997,0.08046,0.1149,0.07792,0.06748, 1.000,0.09627,0.06239,0.08837,0.08837,0.1033,0.09768
0.1287,0.2352,0.1078,0.09458,0.2095,0.2188,0.09345,0.08216,0.08950,0.1403,0.09006,0.06239,0.09627, 1.000,0.08724,0.1039,0.1005,0.4351,0.4599
0.5299,0.1378,0.5663,0.1474,0.1660,0.1471,0.05138,0.6059,0.1635,0.1637,0.3975,0.1875,0.06239,0.08724, 1.000,0.4082,0.3834,0.08075,0.1098
0.2261,0.1553,0.2665,0.1542,0.1657,0.1536,0.06635,0.2998,0.1931,0.1813,0.4370,0.2236,0.08837,0.1039,0.4082, 1.000,0.4483,0.09994,0.1208
0.1894,0.1429,0.2180,0.1609,0.1578,0.1440,0.06014,0.2857,0.2163,0.1869,0.4382,0.2990,0.08837,0.1005,0.3834,0.4483, 1.000,0.1008,0.1189
0.1516,0.2417,0.1225,0.09458,0.2244,0.2321,0.06945,0.08046,0.07425,0.1245,0.08018,0.05280,0.1033,0.4351,0.08075,0.09994,0.1008, 1.000,0.4822
0.1657,0.2473,0.1361,0.1067,0.2267,0.2434,0.07566,0.09994,0.09204,0.1282,0.1070,0.07425,0.09768,0.4599,0.1098,0.1208,0.1189,0.4822, 1.000
