Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000, 1.000,0.06009,0.05922,0.03541,0.02293, 1.000, 1.000, 1.000,0.03657,0.02177,0.03657, 1.000,0.03251,0.03774,0.03309,0.03425,0.02903,0.03454
 1.000, 1.000,0.06009,0.05922,0.03541,0.02293, 1.000, 1.000, 1.000,0.03657,0.02177,0.03657, 1.000,0.03251,0.03774,0.03309,0.03425,0.02903,0.03454
0.06009,0.06009, 1.000,0.8061,0.1231,0.04644,0.06009,0.06009,0.06009,0.02845,0.04151,0.2157,0.06009,0.1657,0.1907,0.2099,0.2081,0.1689,0.2026
0.05922,0.05922,0.8061, 1.000,0.1179,0.04528,0.05922,0.05922,0.05922,0.02845,0.04296,0.2203,0.05922,0.1666,0.1913,0.2096,0.2046,0.1692,0.2032
0.03541,0.03541,0.1231,0.1179, 1.000,0.1327,0.03541,0.03541,0.03541,0.03541,0.1300,0.3060,0.03541,0.3385,0.3419,0.3126,0.3289,0.3364,0.3260
0.02293,0.02293,0.04644,0.04528,0.1327, 1.000,0.02293,0.02293,0.02293,0.07954,0.7266,0.1463,0.02293,0.1814,0.1562,0.1402,0.1530,0.1756,0.1480
 1.000, 1.000,0.06009,0.05922,0.03541,0.02293, 1.000, 1.000, 1.000,0.03657,0.02177,0.03657, 1.000,0.03251,0.03774,0.03309,0.03425,0.02903,0.03454
 1.000, 1.000,0.06009,0.05922,0.03541,0.02293, 1.000, 1.000, 1.000,0.03657,0.02177,0.03657, 1.000,0.03251,0.03774,0.03309,0.03425,0.02903,0.03454
 1.000, 1.000,0.06009,0.05922,0.03541,0.02293, 1.000, 1.000, 1.000,0.03657,0.02177,0.03657, 1.000,0.03251,0.03774,0.03309,0.03425,0.02903,0.03454
0.03657,0.03657,0.02845,0.02845,0.03541,0.07954,0.03657,0.03657,0.03657, 1.000,0.08128,0.04819,0.03657,0.03832,0.04383,0.04064,0.04180,0.04557,0.04093
0.02177,0.02177,0.04151,0.04296,0.1300,0.7266,0.02177,0.02177,0.02177,0.08128, 1.000,0.1361,0.02177,0.1701,0.1486,0.1260,0.1419,0.1687,0.1431
0.03657,0.03657,0.2157,0.2203,0.3060,0.1463,0.03657,0.03657,0.03657,0.04819,0.1361, 1.000,0.03657,0.5463,0.6264,0.6714,0.7408,0.5509,0.7065
 1.000, 1.000,0.06009,0.05922,0.03541,0.02293, 1.000, 1.000, 1.000,0.03657,0.02177,0.03657, 1.000,0.03251,0.03774,0.03309,0.03425,0.02903,0.03454
0.03251,0.03251,0.1657,0.1666,0.3385,0.1814,0.03251,0.03251,0.03251,0.03832,0.1701,0.5463,0.03251, 1.000,0.6752,0.5669,0.5806,0.6914,0.6096
0.03774,0.03774,0.1907,0.1913,0.3419,0.1562,0.03774,0.03774,0.03774,0.04383,0.1486,0.6264,0.03774,0.6752, 1.000,0.6334,0.6665,0.6784,0.6882
0.03309,0.03309,0.2099,0.2096,0.3126,0.1402,0.03309,0.03309,0.03309,0.04064,0.1260,0.6714,0.03309,0.5669,0.6334, 1.000,0.7013,0.5623,0.6972
0.03425,0.03425,0.2081,0.2046,0.3289,0.1530,0.03425,0.03425,0.03425,0.04180,0.1419,0.7408,0.03425,0.5806,0.6665,0.7013, 1.000,0.5791,0.7405
0.02903,0.02903,0.1689,0.1692,0.3364,0.1756,0.02903,0.02903,0.02903,0.04557,0.1687,0.5509,0.02903,0.6914,0.6784,0.5623,0.5791, 1.000,0.6183
0.03454,0.03454,0.2026,0.2032,0.3260,0.1480,0.03454,0.03454,0.03454,0.04093,0.1431,0.7065,0.03454,0.6096,0.6882,0.6972,0.7405,0.6183, 1.000
