Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1256,0.3333,0.03454,0.1251,0.1099,0.1224,0.3736,0.2412,0.04657,0.1204,0.1240,0.06122,0.05285,0.07849,0.06541,0.05442,0.06227,0.05285
0.1256, 1.000,0.1381,0.09681,0.3888,0.3783,0.3747,0.1366,0.1544,0.05704,0.4328,0.4003,0.2684,0.2376,0.2533,0.2114,0.2564,0.2611,0.2339
0.3333,0.1381, 1.000,0.04448,0.1266,0.1240,0.1476,0.1952,0.1920,0.06541,0.1439,0.1308,0.08739,0.06960,0.09890,0.05861,0.06541,0.07431,0.06227
0.03454,0.09681,0.04448, 1.000,0.08530,0.1015,0.08425,0.04657,0.04396,0.1026,0.08948,0.1010,0.1224,0.1151,0.1156,0.09262,0.1397,0.1282,0.1261
0.1251,0.3888,0.1266,0.08530, 1.000,0.3569,0.3815,0.1366,0.1512,0.05338,0.4249,0.3804,0.2669,0.2480,0.2841,0.1957,0.2747,0.2344,0.2538
0.1099,0.3783,0.1240,0.1015,0.3569, 1.000,0.3642,0.1439,0.1528,0.06646,0.4181,0.3862,0.2726,0.2407,0.2616,0.2334,0.2711,0.2533,0.2564
0.1224,0.3747,0.1476,0.08425,0.3815,0.3642, 1.000,0.1559,0.1606,0.06489,0.3998,0.3679,0.2282,0.2219,0.2428,0.1790,0.2308,0.1941,0.2360
0.3736,0.1366,0.1952,0.04657,0.1366,0.1439,0.1559, 1.000,0.2088,0.04500,0.1491,0.1371,0.07483,0.06646,0.09785,0.07849,0.06750,0.06384,0.06960
0.2412,0.1544,0.1920,0.04396,0.1512,0.1528,0.1606,0.2088, 1.000,0.05181,0.1591,0.1507,0.08687,0.08059,0.09890,0.07535,0.06698,0.07378,0.09158
0.04657,0.05704,0.06541,0.1026,0.05338,0.06646,0.06489,0.04500,0.05181, 1.000,0.06384,0.06436,0.06750,0.06332,0.06907,0.05547,0.05913,0.06175,0.07902
0.1204,0.4328,0.1439,0.08948,0.4249,0.4181,0.3998,0.1491,0.1591,0.06384, 1.000,0.4014,0.2742,0.2391,0.2664,0.2187,0.2559,0.2543,0.2674
0.1240,0.4003,0.1308,0.1010,0.3804,0.3862,0.3679,0.1371,0.1507,0.06436,0.4014, 1.000,0.2883,0.2449,0.2595,0.2062,0.2852,0.2601,0.2501
0.06122,0.2684,0.08739,0.1224,0.2669,0.2726,0.2282,0.07483,0.08687,0.06750,0.2742,0.2883, 1.000,0.2355,0.2543,0.2041,0.2789,0.2737,0.2831
0.05285,0.2376,0.06960,0.1151,0.2480,0.2407,0.2219,0.06646,0.08059,0.06332,0.2391,0.2449,0.2355, 1.000,0.1858,0.1486,0.2418,0.1983,0.2161
0.07849,0.2533,0.09890,0.1156,0.2841,0.2616,0.2428,0.09785,0.09890,0.06907,0.2664,0.2595,0.2543,0.1858, 1.000,0.1978,0.2439,0.1832,0.2428
0.06541,0.2114,0.05861,0.09262,0.1957,0.2334,0.1790,0.07849,0.07535,0.05547,0.2187,0.2062,0.2041,0.1486,0.1978, 1.000,0.2323,0.1983,0.2025
0.05442,0.2564,0.06541,0.1397,0.2747,0.2711,0.2308,0.06750,0.06698,0.05913,0.2559,0.2852,0.2789,0.2418,0.2439,0.2323, 1.000,0.2784,0.2847
0.06227,0.2611,0.07431,0.1282,0.2344,0.2533,0.1941,0.06384,0.07378,0.06175,0.2543,0.2601,0.2737,0.1983,0.1832,0.1983,0.2784, 1.000,0.2538
0.05285,0.2339,0.06227,0.1261,0.2538,0.2564,0.2360,0.06960,0.09158,0.07902,0.2674,0.2501,0.2831,0.2161,0.2428,0.2025,0.2847,0.2538, 1.000
