Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000, 1.000, 1.000, 1.000,0.07526, 1.000, 1.000,0.9988, 1.000,0.9988,0.07689,0.03845,0.9988,0.9988,0.9988,0.02904,0.9988,0.9988,0.9988
 1.000, 1.000, 1.000, 1.000,0.07526, 1.000, 1.000,0.9988, 1.000,0.9988,0.07689,0.03845,0.9988,0.9988,0.9988,0.02904,0.9988,0.9988,0.9988
 1.000, 1.000, 1.000, 1.000,0.07526, 1.000, 1.000,0.9988, 1.000,0.9988,0.07689,0.03845,0.9988,0.9988,0.9988,0.02904,0.9988,0.9988,0.9988
 1.000, 1.000, 1.000, 1.000,0.07526, 1.000, 1.000,0.9988, 1.000,0.9988,0.07689,0.03845,0.9988,0.9988,0.9988,0.02904,0.9988,0.9988,0.9988
0.07526,0.07526,0.07526,0.07526, 1.000,0.07526,0.07526,0.07566,0.07526,0.07566,0.3493,0.04172,0.07566,0.07566,0.07566,0.05562,0.07566,0.07566,0.07566
 1.000, 1.000, 1.000, 1.000,0.07526, 1.000, 1.000,0.9988, 1.000,0.9988,0.07689,0.03845,0.9988,0.9988,0.9988,0.02904,0.9988,0.9988,0.9988
 1.000, 1.000, 1.000, 1.000,0.07526, 1.000, 1.000,0.9988, 1.000,0.9988,0.07689,0.03845,0.9988,0.9988,0.9988,0.02904,0.9988,0.9988,0.9988
0.9988,0.9988,0.9988,0.9988,0.07566,0.9988,0.9988, 1.000,0.9988, 1.000,0.07689,0.03845, 1.000, 1.000, 1.000,0.02904, 1.000, 1.000, 1.000
 1.000, 1.000, 1.000, 1.000,0.07526, 1.000, 1.000,0.9988, 1.000,0.9988,0.07689,0.03845,0.9988,0.9988,0.9988,0.02904,0.9988,0.9988,0.9988
0.9988,0.9988,0.9988,0.9988,0.07566,0.9988,0.9988, 1.000,0.9988, 1.000,0.07689,0.03845, 1.000, 1.000, 1.000,0.02904, 1.000, 1.000, 1.000
0.07689,0.07689,0.07689,0.07689,0.3493,0.07689,0.07689,0.07689,0.07689,0.07689, 1.000,0.03722,0.07689,0.07689,0.07689,0.05194,0.07689,0.07689,0.07689
0.03845,0.03845,0.03845,0.03845,0.04172,0.03845,0.03845,0.03845,0.03845,0.03845,0.03722, 1.000,0.03845,0.03845,0.03845,0.1722,0.03845,0.03845,0.03845
0.9988,0.9988,0.9988,0.9988,0.07566,0.9988,0.9988, 1.000,0.9988, 1.000,0.07689,0.03845, 1.000, 1.000, 1.000,0.02904, 1.000, 1.000, 1.000
0.9988,0.9988,0.9988,0.9988,0.07566,0.9988,0.9988, 1.000,0.9988, 1.000,0.07689,0.03845, 1.000, 1.000, 1.000,0.02904, 1.000, 1.000, 1.000
0.9988,0.9988,0.9988,0.9988,0.07566,0.9988,0.9988, 1.000,0.9988, 1.000,0.07689,0.03845, 1.000, 1.000, 1.000,0.02904, 1.000, 1.000, 1.000
0.02904,0.02904,0.02904,0.02904,0.05562,0.02904,0.02904,0.02904,0.02904,0.02904,0.05194,0.1722,0.02904,0.02904,0.02904, 1.000,0.02904,0.02904,0.02904
0.9988,0.9988,0.9988,0.9988,0.07566,0.9988,0.9988, 1.000,0.9988, 1.000,0.07689,0.03845, 1.000, 1.000, 1.000,0.02904, 1.000, 1.000, 1.000
0.9988,0.9988,0.9988,0.9988,0.07566,0.9988,0.9988, 1.000,0.9988, 1.000,0.07689,0.03845, 1.000, 1.000, 1.000,0.02904, 1.000, 1.000, 1.000
0.9988,0.9988,0.9988,0.9988,0.07566,0.9988,0.9988, 1.000,0.9988, 1.000,0.07689,0.03845, 1.000, 1.000, 1.000,0.02904, 1.000, 1.000, 1.000
