Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000, 1.000, 1.000, 1.000,0.07730, 1.000, 1.000,0.9988, 1.000,0.9988,0.08712,0.04417,0.9988,0.9988,0.9988,0.03067,0.9988,0.9988,0.9988
 1.000, 1.000, 1.000, 1.000,0.07730, 1.000, 1.000,0.9988, 1.000,0.9988,0.08712,0.04417,0.9988,0.9988,0.9988,0.03067,0.9988,0.9988,0.9988
 1.000, 1.000, 1.000, 1.000,0.07730, 1.000, 1.000,0.9988, 1.000,0.9988,0.08712,0.04417,0.9988,0.9988,0.9988,0.03067,0.9988,0.9988,0.9988
 1.000, 1.000, 1.000, 1.000,0.07730, 1.000, 1.000,0.9988, 1.000,0.9988,0.08712,0.04417,0.9988,0.9988,0.9988,0.03067,0.9988,0.9988,0.9988
0.07730,0.07730,0.07730,0.07730, 1.000,0.07730,0.07730,0.07730,0.07730,0.07730,0.5706,0.04540,0.07730,0.07730,0.07730,0.03926,0.07730,0.07730,0.07730
 1.000, 1.000, 1.000, 1.000,0.07730, 1.000, 1.000,0.9988, 1.000,0.9988,0.08712,0.04417,0.9988,0.9988,0.9988,0.03067,0.9988,0.9988,0.9988
 1.000, 1.000, 1.000, 1.000,0.07730, 1.000, 1.000,0.9988, 1.000,0.9988,0.08712,0.04417,0.9988,0.9988,0.9988,0.03067,0.9988,0.9988,0.9988
0.9988,0.9988,0.9988,0.9988,0.07730,0.9988,0.9988, 1.000,0.9988, 1.000,0.08712,0.04417, 1.000, 1.000, 1.000,0.03067, 1.000, 1.000, 1.000
 1.000, 1.000, 1.000, 1.000,0.07730, 1.000, 1.000,0.9988, 1.000,0.9988,0.08712,0.04417,0.9988,0.9988,0.9988,0.03067,0.9988,0.9988,0.9988
0.9988,0.9988,0.9988,0.9988,0.07730,0.9988,0.9988, 1.000,0.9988, 1.000,0.08712,0.04417, 1.000, 1.000, 1.000,0.03067, 1.000, 1.000, 1.000
0.08712,0.08712,0.08712,0.08712,0.5706,0.08712,0.08712,0.08712,0.08712,0.08712, 1.000,0.04908,0.08712,0.08712,0.08712,0.02209,0.08712,0.08712,0.08712
0.04417,0.04417,0.04417,0.04417,0.04540,0.04417,0.04417,0.04417,0.04417,0.04417,0.04908, 1.000,0.04417,0.04417,0.04417,0.1656,0.04417,0.04417,0.04417
0.9988,0.9988,0.9988,0.9988,0.07730,0.9988,0.9988, 1.000,0.9988, 1.000,0.08712,0.04417, 1.000, 1.000, 1.000,0.03067, 1.000, 1.000, 1.000
0.9988,0.9988,0.9988,0.9988,0.07730,0.9988,0.9988, 1.000,0.9988, 1.000,0.08712,0.04417, 1.000, 1.000, 1.000,0.03067, 1.000, 1.000, 1.000
0.9988,0.9988,0.9988,0.9988,0.07730,0.9988,0.9988, 1.000,0.9988, 1.000,0.08712,0.04417, 1.000, 1.000, 1.000,0.03067, 1.000, 1.000, 1.000
0.03067,0.03067,0.03067,0.03067,0.03926,0.03067,0.03067,0.03067,0.03067,0.03067,0.02209,0.1656,0.03067,0.03067,0.03067, 1.000,0.03067,0.03067,0.03067
0.9988,0.9988,0.9988,0.9988,0.07730,0.9988,0.9988, 1.000,0.9988, 1.000,0.08712,0.04417, 1.000, 1.000, 1.000,0.03067, 1.000, 1.000, 1.000
0.9988,0.9988,0.9988,0.9988,0.07730,0.9988,0.9988, 1.000,0.9988, 1.000,0.08712,0.04417, 1.000, 1.000, 1.000,0.03067, 1.000, 1.000, 1.000
0.9988,0.9988,0.9988,0.9988,0.07730,0.9988,0.9988, 1.000,0.9988, 1.000,0.08712,0.04417, 1.000, 1.000, 1.000,0.03067, 1.000, 1.000, 1.000
