Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.8578,0.04711,0.05422,0.1230,0.05600,0.03496,0.02667,0.02252,0.02311,0.01689,0.02548,0.04356,0.06015,0.06963,0.07141,0.04148,0.05481,0.05541
0.8578, 1.000,0.04741,0.05541,0.1298,0.05570,0.03615,0.02667,0.02281,0.02578,0.01985,0.02519,0.04385,0.06311,0.07407,0.06874,0.04000,0.05511,0.05659
0.04711,0.04741, 1.000,0.02548,0.02163,0.02548,0.03378,0.1040,0.02430,0.01719,0.01926,0.01956,0.02222,0.02252,0.02459,0.03674,0.02252,0.04000,0.03881
0.05422,0.05541,0.02548, 1.000,0.1161,0.03822,0.02370,0.02548,0.05185,0.06015,0.02104,0.02904,0.03319,0.02578,0.03052,0.04267,0.04000,0.04919,0.05037
0.1230,0.1298,0.02163,0.1161, 1.000,0.1307,0.02756,0.02993,0.02489,0.03941,0.02607,0.02667,0.04859,0.04356,0.04948,0.04237,0.04000,0.05956,0.06044
0.05600,0.05570,0.02548,0.03822,0.1307, 1.000,0.03170,0.02756,0.02281,0.02874,0.04089,0.01926,0.04800,0.04385,0.04207,0.03822,0.02756,0.03496,0.03407
0.03496,0.03615,0.03378,0.02370,0.02756,0.03170, 1.000,0.02548,0.02548,0.02104,0.02252,0.02607,0.03378,0.03319,0.03141,0.02341,0.02578,0.02874,0.02904
0.02667,0.02667,0.1040,0.02548,0.02993,0.02756,0.02548, 1.000,0.02430,0.02222,0.02519,0.01896,0.02874,0.02667,0.02193,0.02222,0.02074,0.02667,0.02667
0.02252,0.02281,0.02430,0.05185,0.02489,0.02281,0.02548,0.02430, 1.000,0.04474,0.02726,0.02341,0.02133,0.02252,0.02133,0.02667,0.03081,0.02874,0.02933
0.02311,0.02578,0.01719,0.06015,0.03941,0.02874,0.02104,0.02222,0.04474, 1.000,0.03615,0.02430,0.02548,0.02252,0.03111,0.02696,0.03289,0.04237,0.04059
0.01689,0.01985,0.01926,0.02104,0.02607,0.04089,0.02252,0.02519,0.02726,0.03615, 1.000,0.02459,0.03467,0.02578,0.01956,0.02548,0.02311,0.03704,0.03496
0.02548,0.02519,0.01956,0.02904,0.02667,0.01926,0.02607,0.01896,0.02341,0.02430,0.02459, 1.000,0.02133,0.01807,0.02074,0.02489,0.02726,0.02993,0.02874
0.04356,0.04385,0.02222,0.03319,0.04859,0.04800,0.03378,0.02874,0.02133,0.02548,0.03467,0.02133, 1.000,0.09215,0.03852,0.02370,0.02667,0.03348,0.03467
0.06015,0.06311,0.02252,0.02578,0.04356,0.04385,0.03319,0.02667,0.02252,0.02252,0.02578,0.01807,0.09215, 1.000,0.08178,0.02489,0.02667,0.02252,0.02430
0.06963,0.07407,0.02459,0.03052,0.04948,0.04207,0.03141,0.02193,0.02133,0.03111,0.01956,0.02074,0.03852,0.08178, 1.000,0.06519,0.02370,0.02726,0.02963
0.07141,0.06874,0.03674,0.04267,0.04237,0.03822,0.02341,0.02222,0.02667,0.02696,0.02548,0.02489,0.02370,0.02489,0.06519, 1.000,0.05156,0.02933,0.02933
0.04148,0.04000,0.02252,0.04000,0.04000,0.02756,0.02578,0.02074,0.03081,0.03289,0.02311,0.02726,0.02667,0.02667,0.02370,0.05156, 1.000,0.02726,0.02815
0.05481,0.05511,0.04000,0.04919,0.05956,0.03496,0.02874,0.02667,0.02874,0.04237,0.03704,0.02993,0.03348,0.02252,0.02726,0.02933,0.02726, 1.000,0.9327
0.05541,0.05659,0.03881,0.05037,0.06044,0.03407,0.02904,0.02667,0.02933,0.04059,0.03496,0.02874,0.03467,0.02430,0.02963,0.02933,0.02815,0.9327, 1.000
