Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3782,0.06635,0.07340,0.1198,0.1110,0.04580,0.03347,0.03230,0.03641,0.02819,0.01644,0.1668,0.1538,0.1803,0.1515,0.1427,0.2484,0.2032
0.3782, 1.000,0.04639,0.07046,0.1145,0.1374,0.05989,0.02819,0.03230,0.04052,0.02408,0.01351,0.1574,0.1709,0.1832,0.1398,0.1421,0.2419,0.2231
0.06635,0.04639, 1.000,0.1033,0.04228,0.02760,0.03288,0.02760,0.03053,0.02995,0.01820,0.03406,0.04463,0.04580,0.03993,0.06518,0.08397,0.05872,0.06224
0.07340,0.07046,0.1033, 1.000,0.09630,0.03934,0.005872,0.01351,0.04228,0.04815,0.02701,0.01938,0.05637,0.04345,0.06166,0.1339,0.1615,0.09102,0.1280
0.1198,0.1145,0.04228,0.09630, 1.000,0.1069,0.03288,0.03464,0.02290,0.05461,0.04287,0.01762,0.1597,0.1145,0.08749,0.1010,0.1368,0.1791,0.1709
0.1110,0.1374,0.02760,0.03934,0.1069, 1.000,0.1116,0.06518,0.03288,0.04580,0.06400,0.03230,0.1691,0.1221,0.09219,0.08397,0.07281,0.1527,0.1368
0.04580,0.05989,0.03288,0.005872,0.03288,0.1116, 1.000,0.06224,0.01938,0.02173,0.04580,0.07751,0.09454,0.09336,0.05402,0.04287,0.02877,0.07575,0.04404
0.03347,0.02819,0.02760,0.01351,0.03464,0.06518,0.06224, 1.000,0.02995,0.03288,0.05285,0.05109,0.03464,0.03464,0.02701,0.01644,0.02877,0.02055,0.01762
0.03230,0.03230,0.03053,0.04228,0.02290,0.03288,0.01938,0.02995, 1.000,0.03641,0.01879,0.03464,0.02290,0.03347,0.02173,0.02760,0.02995,0.03230,0.03347
0.03641,0.04052,0.02995,0.04815,0.05461,0.04580,0.02173,0.03288,0.03641, 1.000,0.02936,0.04932,0.06518,0.03817,0.03523,0.03641,0.05578,0.06988,0.05402
0.02819,0.02408,0.01820,0.02701,0.04287,0.06400,0.04580,0.05285,0.01879,0.02936, 1.000,0.04463,0.06400,0.03288,0.02701,0.01879,0.02290,0.03523,0.04169
0.01644,0.01351,0.03406,0.01938,0.01762,0.03230,0.07751,0.05109,0.03464,0.04932,0.04463, 1.000,0.01996,0.03817,0.02114,0.01409,0.01996,0.01644,0.02173
0.1668,0.1574,0.04463,0.05637,0.1597,0.1691,0.09454,0.03464,0.02290,0.06518,0.06400,0.01996, 1.000,0.1585,0.1456,0.1039,0.09336,0.2349,0.1597
0.1538,0.1709,0.04580,0.04345,0.1145,0.1221,0.09336,0.03464,0.03347,0.03817,0.03288,0.03817,0.1585, 1.000,0.1315,0.09043,0.09102,0.1897,0.1327
0.1803,0.1832,0.03993,0.06166,0.08749,0.09219,0.05402,0.02701,0.02173,0.03523,0.02701,0.02114,0.1456,0.1315, 1.000,0.1169,0.06812,0.1615,0.1315
0.1515,0.1398,0.06518,0.1339,0.1010,0.08397,0.04287,0.01644,0.02760,0.03641,0.01879,0.01409,0.1039,0.09043,0.1169, 1.000,0.1486,0.1298,0.1538
0.1427,0.1421,0.08397,0.1615,0.1368,0.07281,0.02877,0.02877,0.02995,0.05578,0.02290,0.01996,0.09336,0.09102,0.06812,0.1486, 1.000,0.1462,0.2008
0.2484,0.2419,0.05872,0.09102,0.1791,0.1527,0.07575,0.02055,0.03230,0.06988,0.03523,0.01644,0.2349,0.1897,0.1615,0.1298,0.1462, 1.000,0.2419
0.2032,0.2231,0.06224,0.1280,0.1709,0.1368,0.04404,0.01762,0.03347,0.05402,0.04169,0.02173,0.1597,0.1327,0.1315,0.1538,0.2008,0.2419, 1.000
